Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3909373932553827072,175.2067514,6.1348137,14.576,1.233,0.0,0.0,0.0,5.04,5.04,7.2,2.289,,,,1.042,,Gaia_DR3,-4.038,-6.865,-4.038,0.027,-6.865,0.021
Gaia,DR3,3909382110171562880,175.2994001,6.2405343,14.923,1.32,2.253,0.1402,16.9809,5.0,-7.52,7.05,2.382,,,,1.021,,Gaia_DR3,-4.206,-7.146,-4.535,0.028,-8.229,0.026
Gaia,DR3,3897333730474109696,177.1028256,5.1999343,19.511,3.002,1.16,2.1057,17.7347,4.99,,,2.331,,,,1.041,,,-4.216,-6.937,-4.206,0.491,-7.507,0.291
Gaia,DR3,3813348801801069952,173.2884849,5.5057771,19.173,2.51,2.084,2.0094,18.0451,5.47,,,2.342,,,,1.005,,,-4.02,-7.008,-3.048,0.379,-7.347,0.282
Gaia,DR3,3896151205718263680,177.414921,4.4137683,16.238,1.964,1.079,2.7922,21.8594,5.14,,,2.319,,,,1.04,,,-4.21,-6.864,-3.986,0.064,-7.341,0.043
Gaia,DR3,3813171333752627712,172.3332534,4.6216147,19.212,2.62,2.559,3.2363,24.663,5.82,,,2.291,,,,0.96,,,-3.877,-6.819,-4.968,0.314,-6.239,0.247
Gaia,DR3,3898998494158372352,178.586542,6.1928984,10.874,0.66,2.88,3.3607,26.2983,4.52,-8.07,0.3,2.325,,,,1.015,,Gaia_DR3,-4.283,-6.949,-4.392,0.03,-8.356,0.02
Gaia,DR3,3799803196504133632,175.7289083,2.8461362,17.706,2.415,2.436,3.3296,28.5734,5.77,,,2.226,,,,1.184,,,-3.954,-6.527,-3.224,0.18,-5.647,0.137
Gaia,DR3,3911493447374956672,177.4772349,8.0628919,12.07,0.84,2.567,2.9654,28.5749,4.23,-7.42,0.89,2.204,,,,1.017,,Gaia_DR3,-4.005,-6.662,-5.165,0.017,-6.94,0.011
Gaia,DR3,3910365760761801344,173.1827611,6.8224483,17.806,2.211,0.713,2.1254,28.577,5.16,,,2.421,,,,1.028,,,-4.15,-7.309,-4.17,0.135,-6.946,0.098
Gaia,DR3,3896604032710899072,178.5691254,4.9461517,18.824,2.556,2.503,3.5514,29.2279,4.83,,,2.237,,,,1.056,,,-4.12,-6.637,-4.769,0.257,-5.651,0.154
