Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1372215976327300480,239.5775434,35.4081583,11.507,2.646,0.0,0.0,0.0,10.01,10.01,0.24,63.173,,,,1.185,,Gaia_DR3,-143.059,318.12,-143.059,0.021,318.12,0.024
Gaia,DR3,1408029509583934464,254.4724828,47.3685348,10.419,2.191,2.906,16.3128,5.2216,13.0,-9.04,0.18,55.771,,,,1.485,,Gaia_DR3,-104.893,272.589,-138.694,0.019,267.639,0.027
Gaia,DR3,4609151442264875648,267.8976426,37.8280185,14.067,3.697,1.706,22.7714,6.13,7.52,,,67.611,,,,1.22,,,-96.388,372.748,-89.94,0.027,349.296,0.03
Gaia,DR3,1605198298364601088,218.3688718,52.9098929,6.919,1.213,0.803,23.013,6.3312,19.3,11.17,0.12,75.569,,,,0.958,,Gaia_DR3,-192.268,260.681,-191.457,0.016,247.919,0.018
Gaia,DR3,2110336583235233536,277.9926863,40.6882268,10.81,2.598,1.087,30.4612,8.0253,8.03,-18.81,0.33,73.708,,,,1.152,,Gaia_DR3,-75.958,410.444,-92.679,0.02,412.877,0.02
Gaia,DR3,4575374857376398976,259.4183376,29.2281911,8.118,1.207,1.433,17.8304,10.4479,4.49,-44.68,0.13,41.11,,,,1.005,,Gaia_DR3,-70.867,229.162,-72.481,0.016,216.849,0.019
Gaia,DR3,1487434040320076800,218.0188177,38.3089227,3.022,0.48,2.783,17.4504,12.2339,14.61,,,37.913,,,,2.589,,,-96.527,165.097,-114.344,0.159,151.788,0.237
Gaia,DR3,2135110259540829824,294.0599087,50.2206356,11.793,2.642,2.927,41.562,12.3237,11.71,-26.81,0.3,54.666,,,,6.165,,Gaia_DR3,-18.653,292.993,-8.129,0.111,260.948,0.129
Gaia,DR3,2135110401277424384,294.1105138,50.2222732,4.372,0.556,2.62,41.5944,12.4028,11.71,-27.19,0.13,54.27,,,,0.843,,Gaia_DR3,-18.397,290.881,-5.854,0.113,263.66,0.127
Gaia,DR3,2266317803873109504,280.0091554,72.6825682,15.557,4.396,2.011,42.4553,12.9225,20.75,,,52.78,,,,1.132,,,-50.002,203.614,-46.129,0.119,181.58,0.13
Gaia,DR3,1600296125772490624,225.8519434,54.5377105,13.075,2.544,2.569,21.3653,17.1728,18.85,18.01,0.84,32.344,,,,1.4,,Gaia_DR3,-80.342,116.452,-93.266,0.044,104.627,0.044
Gaia,DR3,4586694604465211008,275.0940155,28.6914908,13.919,2.706,2.7,30.6705,17.8348,2.6,-15.11,1.47,33.878,,,,1.162,,Gaia_DR3,-38.885,195.57,-57.799,0.012,199.311,0.014
Gaia,DR3,2028211207952435840,297.003622,27.8705158,6.727,0.805,1.151,48.7943,19.2219,1.11,-32.88,0.12,39.191,,,,0.887,,Gaia_DR3,-8.246,231.342,-9.819,0.012,221.961,0.018
Gaia,DR3,982389862479141376,116.8076664,50.3443812,11.782,2.799,2.62,80.5294,19.3944,27.16,-15.16,0.4,70.877,,,,1.414,,Gaia_DR3,15.531,101.705,-16.793,0.023,79.619,0.02
Gaia,DR3,2096535783864546944,281.1763375,36.5631564,12.946,2.587,1.439,33.415,21.9525,5.91,-30.16,0.82,29.976,,,,1.277,,Gaia_DR3,-26.939,171.099,-33.809,0.017,177.053,0.02
Gaia,DR3,1411540834327777536,248.9272057,49.7253366,16.499,4.091,2.871,15.858,23.1929,14.52,,,26.307,,,,0.983,,,-53.666,121.691,-63.764,0.056,109.381,0.061
Gaia,DR3,553702339077648512,80.6661147,79.5750762,10.43,1.967,2.907,64.3908,23.218,26.49,-11.33,0.15,39.756,,,,1.129,,Gaia_DR3,66.876,-37.207,84.01,0.014,-54.533,0.015
Gaia,DR3,1103927786165647232,96.053355,65.9618092,12.334,2.825,2.413,74.8005,24.8502,27.52,-34.33,0.43,42.104,,,,18.761,,Gaia_DR3,46.706,2.588,39.271,0.215,-17.498,0.255
Gaia,DR3,1613399864833514368,227.0864063,58.53279,14.805,3.082,2.202,24.5524,25.3412,19.86,-71.74,3.0,25.726,,,,1.171,,Gaia_DR3,-63.541,86.443,-53.171,0.026,80.525,0.025
Gaia,DR3,6576809826101726208,319.3920411,-44.7428912,13.201,3.051,2.275,107.7872,27.272,-25.99,-8.37,1.81,55.889,,,,1.045,,Gaia_DR3,43.471,115.464,16.765,0.103,117.813,0.067
Gaia,DR3,6576809826100275456,319.3920391,-44.7426597,13.202,3.062,2.952,107.787,27.3987,-25.99,-8.87,2.49,55.419,,,,1.057,,Gaia_DR3,43.105,114.494,9.076,0.101,108.858,0.055
Gaia,DR3,770810466284247936,172.9743997,41.4397716,7.198,0.788,2.67,51.2377,27.8167,22.41,-27.82,2.6,28.704,,,,5.486,,Gaia_DR3,-57.348,84.182,-41.208,0.095,84.883,0.089
Gaia,DR3,1252527607292758144,213.3740195,21.628212,14.414,-0.135,2.972,26.7023,28.2472,8.98,,,24.109,,,,1.161,,,-61.73,120.055,-60.979,0.026,104.967,0.025
Gaia,DR3,2003499718434389504,339.4027421,55.2613209,12.583,2.427,2.633,66.6172,29.2953,15.28,-20.43,0.41,31.525,,,,1.266,,Gaia_DR3,49.369,148.217,32.235,0.019,144.675,0.015
Gaia,DR3,4495872916780771200,269.424998,11.713746,20.386,2.87,0.503,35.9197,29.573,-4.92,,,24.452,,,,1.076,,,-33.46,138.303,-32.641,0.631,140.761,0.564
Gaia,DR3,5630532113072532736,142.6166789,-32.1020063,8.002,1.233,2.657,113.053,29.6524,-3.81,39.22,0.12,50.943,,,,0.931,,Gaia_DR3,-46.554,294.682,-67.178,0.013,314.41,0.018
Gaia,DR3,5630532014287527040,142.6150444,-32.1047085,12.016,2.604,2.233,113.0555,29.6615,-3.81,38.9,0.33,50.917,,,,1.232,,Gaia_DR3,-46.527,294.532,-53.944,0.014,317.325,0.019
