Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,898130030131443584,110.168514,37.1405929,12.146,0.675,0.0,0.0,0.0,20.69,20.69,2.27,2.163,,,,1.072,,Gaia_DR3,-9.796,-13.029,-9.796,0.016,-13.029,0.014
Gaia,DR3,898012687328534912,109.6764772,36.5597547,11.56,0.771,2.678,0.7017,5.7567,21.13,-13.22,0.65,2.168,,,,0.802,,Gaia_DR3,-9.685,-13.012,-10.9,0.018,-13.165,0.015
Gaia,DR3,897257219761213440,111.4154239,36.4221852,19.35,2.392,2.699,1.2302,10.7288,20.67,,,2.144,,,,1.122,,,-10.042,-12.672,-8.846,0.452,-12.914,0.363
Gaia,DR3,898076081046311040,110.4297088,37.007004,17.98,2.313,2.361,0.2475,13.5911,20.68,,,2.102,,,,0.957,,,-9.587,-12.613,-10.49,0.137,-12.085,0.114
Gaia,DR3,898752869109301632,111.9357146,36.6461292,17.326,2.197,1.724,1.4973,14.1168,20.39,,,2.198,,,,0.998,,,-10.434,-12.971,-11.085,0.096,-12.508,0.078
Gaia,DR3,898752147554803072,111.8573491,36.5636886,14.639,1.212,2.477,1.4693,16.2969,20.46,32.05,7.31,2.217,,,,1.092,,Gaia_DR3,-10.502,-13.077,-11.558,0.024,-12.603,0.021
Gaia,DR3,899800905553140096,112.0917627,38.8237708,19.218,2.358,1.298,2.2651,20.7072,19.27,,,2.211,,,,0.985,,,-10.537,-13.381,-10.689,0.375,-13.967,0.292
Gaia,DR3,900161339207503488,112.5939579,38.9571376,17.621,2.531,2.203,2.6357,21.3989,19.05,,,2.176,,,,0.964,,,-10.504,-13.134,-10.101,0.106,-12.207,0.101
Gaia,DR3,900057920690896256,111.3686376,39.3399251,16.722,2.261,1.515,2.3927,22.1243,19.23,,,2.216,,,,1.02,,,-10.367,-13.578,-11.003,0.067,-13.268,0.061
Gaia,DR3,897222516425267712,110.977637,36.0407692,18.418,2.453,2.499,1.2774,22.6968,20.99,,,2.262,,,,1.026,,,-10.473,-13.35,-10.879,0.181,-14.47,0.161
Gaia,DR3,948064380770308224,109.9625003,39.4694444,16.193,1.886,2.691,2.3345,24.4472,19.57,,,2.24,,,,1.095,,,-10.089,-13.904,-9.258,0.058,-12.942,0.048
Gaia,DR3,896748833072324224,109.5598572,35.0906971,19.934,2.735,2.417,2.108,24.4923,21.89,,,2.25,,,,0.99,,,-10.02,-13.256,-9.362,0.46,-12.317,0.417
Gaia,DR3,897430259698545536,107.7500821,34.7976781,17.394,2.15,1.685,3.0527,25.5847,22.56,,,2.134,,,,1.018,,,-9.015,-12.687,-9.418,0.091,-12.046,0.083
Gaia,DR3,896662933727259520,109.5320707,34.6350615,19.622,,2.686,2.558,26.4016,22.12,,,2.245,,,,1.008,,,-9.99,-13.146,-11.164,0.462,-13.634,0.395
Gaia,DR3,893745139103710592,112.1507079,34.3116651,16.626,1.93,0.824,3.2544,26.5688,21.45,,,2.186,,,,0.938,,,-10.431,-12.482,-10.203,0.078,-12.785,0.071
Gaia,DR3,891587798506221824,107.0436871,34.6502061,15.898,,0.932,3.5506,29.0892,22.84,,,2.143,,,,1.9,,,-8.861,-12.78,-8.751,0.211,-13.187,0.174
Gaia,DR3,900058706668960768,111.5160742,39.3477822,11.842,0.771,2.632,2.4477,29.1542,19.18,-52.27,0.78,2.27,,,,0.994,,Gaia_DR3,-10.659,-13.891,-10.37,0.017,-12.665,0.016
Gaia,DR3,947096844898037120,105.9025947,38.5186942,18.726,2.633,2.981,3.6398,29.3895,21.18,,,2.174,,,,1.085,,,-8.668,-13.749,-7.4,0.267,-14.259,0.235
Gaia,DR3,896525151175916416,109.0242277,33.9767249,19.229,2.733,1.176,3.2979,29.5944,22.59,,,2.229,,,,1.042,,,-9.777,-12.981,-10.231,0.35,-12.667,0.297
