Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5064574724769475968,42.98499788942525,-30.81404621914154,6.264977,0.65446234,4.7453287490488667e-14,0.0,0.0,9.765036583000004,,,31.541768915847552,nan,,,0.8887221,,                             None,123.43532171633618,105.99563226536985,123.43532171633599,0.024857366,105.9956322653701,0.03730978
Gaia,DR3,5064574724769476096,42.985735901775456,-30.811812470821334,16.07532,2.7717152,1.9720451954237712,0.0023219349289199274,0.4443872352490218,9.765862863829152,,,31.990165523991685,nan,,,1.0817442,,                             None,125.1886353169016,107.50071900476757,138.136747455464,0.11599197,104.46519366446012,0.20208773
Gaia,DR3,2458168323630090240,20.9538313053213,-12.043425026974534,13.909309,2.9649687,0.5487465893595963,27.689036059926146,14.740505910292997,6.384427751214661,,,36.26872691862942,nan,,,1.7108506,,                             None,179.05808060974837,78.31997486125064,183.2451453584052,0.05720796,78.05228139864603,0.015225289
Gaia,DR3,4728487967576289024,45.75414630852298,-55.41387808548455,13.559914,3.0384808,1.9312788399980774,24.67806854520058,14.822410224669671,2.7450928667406105,,,45.169764260288154,nan,,,1.306706,,                             None,168.94337203293117,183.62762144278372,158.44617283320284,0.015208759,168.52779945774495,0.020981928
Gaia,DR3,4927943877980823296,19.221294821528847,-50.85330340820415,12.893955,2.6234999,1.1683778522550776,26.68504577037707,15.249652061732005,-1.889939054813845,,,29.595043060636627,nan,,,1.2122297,,                             None,147.62513253484164,71.33580014116322,141.6133826092812,0.01563399,75.45825815399455,0.019701479
Gaia,DR3,5044088143080835840,45.20707777973636,-40.981264276095445,11.246569,1.9042873,1.5725556665631644,10.324262093214038,17.35590063118345,7.333270629568675,,,21.01275020519503,nan,,,5.0625157,,                             None,79.3254599079838,79.19965529743028,85.50285586868182,0.056602344,75.98030567482502,0.06815498
Gaia,DR3,4774152506544281216,70.07625788356181,-58.94313278389464,7.232904,0.840085,2.0689530851245106,33.563272863821474,18.075136482975815,4.523046903367833,,,32.433214030340366,nan,,,0.89593905,,                             None,61.441220164624795,166.49240802246354,50.448804528241375,0.018842626,175.3960328206839,0.018293696
Gaia,DR3,5045132816566806784,46.57723901873511,-37.61640948530761,9.221127,1.1167774,2.875918919113902,7.420953695218036,18.146459859212303,8.704390458101708,,,20.35960998634015,nan,,,1.1106638,,                             None,75.0659091238221,75.86583959090717,63.79532939567775,0.011142146,80.899265729955,0.014561398
Gaia,DR3,4876208179402504960,76.90545801570572,-29.483201318798017,11.786265,2.109808,2.533427032143759,29.25001383544029,18.265262769954532,16.692778077903,,,26.782058341327353,nan,,,1.2276235,,                             None,34.80349734504407,109.65052830732154,42.69852624629027,0.011671477,121.57780349880476,0.014807867
Gaia,DR3,4936830165315867008,32.337174681243276,-51.43959643845064,11.563533,2.029584,0.2961929299582737,22.076222169495022,18.915528772394747,1.213283088426554,,,22.691041564981905,nan,,,1.0367062,,                             None,101.90469761684832,73.9342491357899,102.2003569385793,0.015056788,72.54860213090618,0.017011601
Gaia,DR3,4809663983342875264,83.42409869580378,-36.912169138309,14.097168,3.0025568,0.10895348176869611,33.871562234216434,19.387731998574537,14.477903260801378,,,29.15230814657856,nan,,,1.0764003,,                             None,20.825035226730915,133.63381379976548,20.292856180467496,0.041705117,133.22745334950662,0.048083935
Gaia,DR3,3206632861053251328,79.1001925724544,-8.730877900464499,15.223538,3.662921,0.7070132613960847,40.225166285162366,20.497731785417205,22.70241730863424,,,39.70162384634086,nan,,,1.0622836,,                             None,43.83050724091033,102.74103923286512,43.49637679081852,0.033211652,108.6489465321705,0.02687434
Gaia,DR3,2306661939218648320,2.294061069561891,-38.399506923947676,12.288687,2.2108583,2.755297921100732,34.05232109586735,21.04578430219752,-5.037298940352828,,,26.616213508060536,nan,,,1.415029,,                             None,139.55013075975975,39.76507305748702,154.95042304930104,0.015019581,38.40900682484627,0.016975472
Gaia,DR3,2419154936657147008,359.1712878190119,-14.874785425161521,13.203446,3.0845947,0.6872488155612516,43.0748765342494,21.688627453812643,-3.1010014576535543,,,40.962783571649496,nan,,,1.2973771,,                             None,214.66348949256087,70.48166334349376,220.5291057346103,0.02379686,71.3841938214577,0.015714573
Gaia,DR3,4807783337422997632,85.48128397656093,-40.19003289301123,10.326162,1.5950089,2.9863598661025463,35.481337862427594,22.257920704150674,13.292453796806612,,,26.08401157110257,nan,,,0.9405753,,                             None,13.756884482196181,124.30346263605223,25.324474278640025,0.0149479285,112.64797767178601,0.018414794
Gaia,DR3,3171631420210205056,68.81802669744249,-16.114491965535613,14.606592,4.8214226,1.8290003675783395,27.771036832263977,22.861798814696037,19.665261846324672,,,94.30540423531323,nan,,,5.617265,,                             None,188.73410523281552,292.75017105464815,160.0832155532233,0.17161411,315.1395556446462,0.16831104
Gaia,DR3,2889597032599946368,90.14062884903358,-33.24020126684659,17.295767,4.5913353,1.7867205322009303,39.71336706606654,23.037317021813024,16.029770935397387,,,28.28102814625312,nan,,,1.0979999,,                             None,2.8805276033234364,124.58451988242274,-7.39985348806348,0.09600028,127.37470354886472,0.11994278
Gaia,DR3,4865580128209290880,67.51912778010595,-38.482845952766596,17.0444,3.8496141,1.2607824542741826,21.509369055544973,23.17876578595906,12.41239408909546,,,20.181957568420977,nan,,,0.90048784,,                             None,42.597362596144734,89.21233640624,47.22271740801426,0.07817432,91.92883816509614,0.10039328
Gaia,DR3,6498271470011750912,354.60188990905647,-52.856488634985446,13.271974,2.612589,2.6321819311901535,41.171653746702894,23.711856305471517,-8.657140865461827,,,28.475096009994093,nan,,,1.1820023,,                             None,148.3158405331755,17.69241059042138,138.4983978878604,0.009204736,30.072856273084042,0.012166355
