Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,369669965470499456,15.598142362366204,37.18543794001851,8.7093525,0.75263405,1.1408995782442521e-15,0.0,0.0,10.26952553,,,14.771393926601345,nan,,,1.0757327,,                             None,-9.721069826749076,-10.089455273932536,-9.721069826749076,0.01400696,-10.08945527393254,0.011785285
Gaia,DR3,369669969766045952,15.59757200564258,37.18475550318657,15.434468,--,0.26796540448864425,0.0008198753812435955,1.410510407390945,10.269588836727532,,,15.08570766372618,nan,,,1.0431318,,                             None,-9.927598849207158,-10.303814653047695,-10.707787114862587,0.46621814,-10.646643609907336,0.1783072
Gaia,DR3,313815981666087680,18.89711282328125,33.055834645997365,16.329844,3.2622013,1.8670419131254812,4.932171600328633,7.640827898154934,10.311484997752865,,,16.00062847809866,nan,,,1.0077571,,                             None,-12.481860932824514,-8.043060484371194,-10.204744082765476,0.06121702,-13.914674069780318,0.046934683
Gaia,DR3,319117341403234560,24.35220409109557,36.62977040498564,12.784433,2.090849,2.3165323676547747,7.019287289159475,10.896011615830089,9.824632678206244,,,16.638901017023898,nan,,,1.4766897,,                             None,-16.238476043649907,-9.77326863625196,-20.6442540889915,0.01993497,-2.9458126977441856,0.015859973
Gaia,DR3,378837388481358464,5.672985375952464,38.196580410754756,15.721725,3.0682774,1.877136328070465,7.914861886699397,11.16003095629592,10.51412775762844,,,13.663268430209857,nan,,,0.98681444,,                             None,-3.8204935655411116,-10.541371737022759,-2.6156691560007075,0.034734976,-5.270501282011281,0.03053208
Gaia,DR3,2862248738146858496,5.965531326546249,31.068593739747854,12.969609,2.027751,1.5549886308913299,10.040263066103549,12.068053751681008,10.880778076278474,,,14.45522991304873,nan,,,1.1918608,,                             None,-4.205748665273258,-7.076996770424526,-3.0312280851330247,0.03145067,-11.66765654513458,0.021319112
Gaia,DR3,382932107223862272,2.7884781278032063,39.859202988863416,20.225142,2.1953373,1.8872948889162051,10.36198503543533,12.441934480675528,10.444554499131595,,,15.615509822083192,nan,,,2.0544953,,                             None,-2.6162128993573925,-13.160038707531223,-4.756660030013194,1.0084952,-7.327599574247045,0.8986231
Gaia,DR3,2805547305754459008,13.1928036279488,25.998877090549673,12.947176,2.282136,2.7487626507695757,11.371380529102108,13.568721729813127,10.812235746364607,,,14.533351137011415,nan,,,1.2308034,,                             None,-8.251479338861122,-3.79411453463523,-14.150796791167092,0.028197171,-9.804214716208499,0.019363008
Gaia,DR3,344145357086497408,29.18061758565421,40.100411818042765,19.410368,2.259529,2.91825943523906,10.989230600330673,13.89727396933363,9.314272622411298,,,13.963721332472467,nan,,,3.015555,,                             None,-15.946067844409706,-9.13569199009569,-8.104334641749398,1.4287642,-5.62809882732971,1.2051555
Gaia,DR3,2805547301463975552,13.192116726268603,25.9988479334667,16.395477,3.1030226,2.4414149308848714,11.371513975324474,13.9681989885589,10.81226537720737,,,14.187385315799162,nan,,,1.6729583,,                             None,-8.054685065691354,-3.7038216589336743,-12.831857813487185,0.13604829,-9.226159368565817,0.08846143
Gaia,DR3,355832031815383552,30.341581942579808,45.78623565246295,20.159039,2.1650677,1.7549023009447733,13.96041722249404,16.33434307478483,8.883385859501955,,,15.162029192697586,nan,,,1.3640398,,                             None,-17.902104491615717,-12.566637270162463,-12.785603398258452,1.9358928,-10.26780363230311,1.174404
Gaia,DR3,403783692410478464,20.18979442033623,50.74792717045946,17.09074,3.5227518,2.5716034724758097,13.95227702627166,17.018633456420698,9.045233463835286,,,14.18097065414657,nan,,,1.0044398,,                             None,-11.73052233497196,-15.966403766374237,-18.843941440642237,0.066409595,-13.050701791047178,0.04868538
Gaia,DR3,325417165074161280,32.217066425913394,31.918034825531638,18.244083,3.8484917,1.3140343760214253,14.640726660961647,17.201315254647618,9.406591190848108,,,14.868101003929668,nan,,,0.9379747,,                             None,-18.4705883449717,-4.973812378186486,-17.26125958101512,0.22191367,-1.0367200070515707,0.20354421
Gaia,DR3,2874421298234820992,1.4299959599478071,34.16131929208183,15.534853,2.8503761,0.8529490724977347,11.887242985015883,17.560092692274008,10.802711344806927,,,13.000724435185033,nan,,,1.0835562,,                             None,-1.489761774521834,-8.08282416785732,0.7835190818537237,0.04574279,-7.537971937772019,0.024366101
Gaia,DR3,308506921051776896,19.835621135229708,27.552101186737588,16.182762,3.30752,2.552797632384778,10.273388495074897,17.881961430431446,10.437610343943248,,,18.718695216231637,nan,,,12.304368,,                             None,-15.24326098926347,-5.347721876779805,-21.228331885488657,0.70238173,-13.450540771229731,0.5308763
Gaia,DR3,351643648429100544,32.597692341754126,43.32820076617587,17.343397,3.5331097,2.4659161523908333,14.318312313150237,18.207388464691437,8.878354120184955,,,13.74552402449265,nan,,,1.0268744,,                             None,-17.245587273590196,-9.825111151375843,-12.588195285227702,0.13338849,-4.406027430202183,0.14161465
Gaia,DR3,2803483762947226496,11.27708439878512,24.408572065881362,16.383867,2.9600096,1.7838312631221895,13.300574577407643,18.81210507406066,10.919126330191077,,,13.0832535972546,nan,,,1.0057139,,                             None,-6.4773590851632905,-2.682152245838453,-2.036158952773299,0.06238209,-0.5651576581882772,0.043540437
Gaia,DR3,2876185185467343616,3.915063242567418,34.77085563744916,17.652334,4.231161,0.9548254402532972,9.750647462511605,18.986509394537723,10.743215158878602,,,19.384847264937065,nan,,,1.003938,,                             None,-4.097558044469128,-12.443064181838926,-6.935641424954012,0.1733931,-9.765338612182626,0.13882738
Gaia,DR3,2803483762947226368,11.27770643188282,24.409588502881128,16.190508,2.8491879,1.5983433478833937,13.299445558569014,19.022200827890543,10.919085885337473,,,13.019827331783514,nan,,,0.97293526,,                             None,-6.446265973607186,-2.6696525488699905,-2.3348776308591406,0.056941,-1.1392394710223996,0.039322954
Gaia,DR3,1919167623247449216,355.4531647524752,37.63954710865186,12.527088,1.9522209,1.4168102791414598,15.976493252331359,19.193863137990878,10.603193605168197,,,14.34977133872998,nan,,,1.067313,,                             None,1.7037258413571241,-10.887151362841854,-2.465792105497096,0.014536226,-11.879402644519711,0.013891062
Gaia,DR3,1919167691966925696,355.45125209327455,37.640486681544466,14.62213,2.6881132,0.7351892346392368,15.97792851863433,19.275183598582753,10.603119742114082,,,14.28388906088534,nan,,,1.1345457,,                             None,1.6969692282906412,-10.837655910539546,0.6943699858919429,0.025173342,-12.811401609930915,0.023396755
Gaia,DR3,105266388544797184,29.59762118564098,25.79028242650132,11.853948,1.73981,0.8071337022266897,16.467283162806407,19.47046205617307,9.756158543627922,,,16.225710918424966,nan,,,38.358345,,                             None,-18.7559374320957,-2.3471500322672085,-17.197982486730496,0.6575113,-4.626401845469006,0.66519254
Gaia,DR3,389900124727164544,10.219251990910694,46.51540277791401,17.753252,2.975192,2.451854874020567,10.147679684408251,20.928457658524277,9.779264596931913,,,11.92800040130932,nan,,,4.915699,,                             None,-5.423851973415773,-12.681141886268621,0.6446208277759657,0.7152851,-11.592806257448629,0.56767
Gaia,DR3,1927220648272528896,359.01304452914826,46.79966444299569,8.98685,0.8716335,1.6712466879525865,15.578064244947202,21.057291924407373,9.90535039328336,,,13.186344245139482,nan,,,1.0200174,,                             None,-0.2669779727563464,-14.60162796003255,2.8772563582249218,0.015039999,-18.0216904508516,0.013310884
Gaia,DR3,393733468939766016,2.0740603612265676,49.66753309304847,13.441297,2.2729273,2.9735212062629275,15.831945455905808,21.631045957956644,9.617196853002556,,,13.09065105559636,nan,,,1.0314051,,                             None,-1.828814013062734,-15.803425544277752,-10.032443368708806,0.012421101,-15.994334240372734,0.011200621
Gaia,DR3,289697678714664320,20.606492869824283,22.075439653695852,16.098454,3.5421343,2.7982970042304567,15.717637990798197,21.887274065228237,10.47026158628638,,,18.789796303387494,nan,,,1.2088873,,                             None,-15.826664048062383,-1.3163189433680067,-21.1333971243468,0.07536024,-11.047694870065255,0.051094547
Gaia,DR3,289697747434140544,20.60293964863014,22.08660467884599,7.0993576,0.73041964,2.4498275829602254,15.706001866523458,22.02458599066248,10.47042610627476,,,18.884145175191023,nan,,,0.97713476,,                             None,-15.903706335502957,-1.3314271552934254,-19.73069917959773,0.02553078,-10.301877184365622,0.016624207
Gaia,DR3,353160527798762880,33.86026111586795,46.617853034444984,14.343021,2.463397,2.624845126283124,16.48013330820509,22.48072557129341,8.57780648987854,,,13.054329088859832,nan,,,1.1308557,,                             None,-16.907378028577806,-10.452112939577244,-13.445586813451587,0.027689103,-4.112128427426416,0.025896719
Gaia,DR3,409986136283290112,20.832092424023976,52.28493301556621,12.251868,1.7642927,2.989058588371709,15.54016229225336,22.820261464369207,8.87154902569294,,,12.646574927315848,nan,,,1.1662109,,                             None,-10.755370697160302,-14.786873948016416,-16.738912603831395,0.014425028,-9.523730827857118,0.009248575
Gaia,DR3,370873076005751552,15.517848641633824,39.24667227093069,18.922058,3.156376,1.944624834317613,2.062199193581037,22.83021309642043,10.149798228609118,,,11.06752430766851,nan,,,5.160874,,                             None,-7.250370780576359,-8.423478840163723,-6.7112593672888075,1.1789339,-3.918529782552443,0.81521547
Gaia,DR3,2881884817524504448,0.8377524988169602,39.68771725451261,19.582657,2.7861156,1.9824113516939108,11.814727492125234,22.92559353238121,10.472551934750893,,,11.830832273906706,nan,,,2.0587656,,                             None,-1.0823467057763476,-9.925741274900737,-5.216011034715349,0.67977816,-7.213099994462322,0.6385866
