Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3606324613561098368,204.1418678,-14.9478265,15.128,2.273,0.0,0.0,0.0,-18.48,-18.48,4.49,7.861,,,,1.039,,Gaia_DR3,-52.705,-49.953,-52.705,0.041,-49.953,0.032
Gaia,DR3,3602964093709697408,202.2617442,-18.8470734,17.304,3.154,2.124,4.294,10.525,-15.39,,,8.172,,,,0.942,,,-56.208,-53.385,-59.224,0.148,-51.313,0.099
Gaia,DR3,3612747032776748800,208.9902094,-12.2855259,19.492,0.702,0.769,5.4117,12.0111,-22.4,,,7.933,,,,0.946,,,-49.37,-49.84,-49.041,0.467,-48.598,0.443
Gaia,DR3,3612555133638813824,209.1592525,-12.3778814,13.913,1.921,2.225,5.5108,12.7806,-22.43,11.48,2.59,7.67,,,,1.241,,Gaia_DR3,-47.601,-48.279,-44.289,0.026,-46.874,0.026
Gaia,DR3,3506556234126717952,199.5706426,-20.1493243,15.436,2.469,0.723,6.7848,16.4653,-13.22,51.03,4.46,7.516,,,,1.068,,Gaia_DR3,-53.471,-48.794,-53.19,0.038,-49.904,0.029
Gaia,DR3,3613086266474839808,206.4697252,-12.7867176,10.247,0.774,2.159,3.1269,16.9434,-20.84,-49.11,0.48,7.019,,,,0.844,,Gaia_DR3,-45.477,-43.952,-46.915,0.023,-41.1,0.019
Gaia,DR3,6288328555140011392,207.7669943,-22.2551943,16.359,2.951,2.692,8.0734,18.307,-16.31,,,8.2,,,,0.978,,,-52.065,-57.033,-47.885,0.088,-54.987,0.071
Gaia,DR3,3621836798483548160,197.1846765,-11.9426089,15.009,2.624,1.504,7.4028,18.3294,-16.08,17.42,6.99,8.479,,,,1.018,,Gaia_DR3,-61.979,-50.576,-63.373,0.043,-48.277,0.029
Gaia,DR3,6291707865472659584,206.5012987,-20.8748226,19.64,0.785,2.627,6.3375,18.7103,-16.47,,,8.767,,,,0.989,,,-56.777,-59.788,-55.288,0.47,-55.167,0.402
Gaia,DR3,6289375560791605120,210.5648439,-21.2678596,18.592,3.519,1.537,8.784,21.6671,-18.22,,,8.612,,,,1.021,,,-52.168,-60.324,-51.964,0.237,-57.54,0.234
Gaia,DR3,6302269469226753408,211.5211899,-13.9366399,16.776,2.807,2.893,7.2169,22.3696,-22.77,,,7.05,,,,1.101,,,-41.978,-45.69,-46.191,0.101,-46.545,0.071
Gaia,DR3,3633300787751103616,203.783951,-5.6470127,17.244,3.057,2.554,9.3075,23.8138,-22.91,,,8.807,,,,0.987,,,-59.346,-49.644,-62.487,0.119,-46.093,0.069
Gaia,DR3,3631466282664673024,201.2015738,-6.8028162,17.311,2.819,2.213,8.6408,23.8379,-20.91,,,7.142,,,,1.039,,,-49.803,-40.685,-52.527,0.116,-42.603,0.057
Gaia,DR3,6291722640159728640,206.2040225,-20.8499113,11.969,1.258,2.527,6.2194,23.9434,-16.34,-36.58,3.78,6.847,,,,2.205,,Gaia_DR3,-44.547,-46.606,-47.975,0.036,-45.356,0.032
Gaia,DR3,3643647226528234496,210.9991012,-5.9332352,14.15,2.064,1.47,11.2532,25.1129,-26.57,-46.3,2.88,8.267,,,,0.975,,Gaia_DR3,-49.693,-47.483,-47.636,0.023,-45.956,0.019
Gaia,DR3,3643647226528234752,211.0004524,-5.9303703,14.32,2.125,2.477,11.2563,25.2542,-26.57,-49.16,2.77,8.322,,,,1.037,,Gaia_DR3,-50.026,-47.801,-46.83,0.024,-44.855,0.02
Gaia,DR3,6194217742850694656,199.5279232,-24.0827287,16.167,2.751,2.941,10.1145,25.9645,-11.06,,,7.222,,,,1.018,,,-51.405,-48.14,-53.179,0.062,-44.029,0.055
Gaia,DR3,6290937799311904256,209.5727911,-18.606379,15.778,2.554,2.228,6.3568,26.183,-19.26,,,9.583,,,,1.044,,,-59.057,-65.019,-57.498,0.051,-69.242,0.054
Gaia,DR3,6276302779854709376,213.953087,-22.4792663,18.109,3.385,1.979,11.9534,26.6076,-19.03,,,7.802,,,,0.919,,,-44.359,-56.312,-44.793,0.214,-53.085,0.25
Gaia,DR3,3627618580378395136,194.1553497,-7.583145,13.975,2.328,0.981,12.2477,26.9906,-16.34,40.29,6.25,8.078,,,,1.188,,Gaia_DR3,-60.91,-45.543,-59.915,0.029,-44.201,0.023
Gaia,DR3,3609739937195026432,202.0845574,-13.6201806,17.678,3.521,1.892,2.3953,27.4024,-18.05,,,9.979,,,,0.996,,,-68.795,-61.916,-69.841,0.156,-58.075,0.095
Gaia,DR3,3636299602636673024,200.8046797,-3.4223041,11.593,1.101,2.97,11.9855,27.6353,-22.24,-24.94,0.41,7.544,,,,1.196,,Gaia_DR3,-52.869,-40.916,-55.959,0.029,-37.343,0.02
Gaia,DR3,3603875721992736896,204.0788198,-16.6700487,14.625,2.569,1.572,1.7233,28.1332,-17.53,-0.25,4.18,10.073,,,,3.605,,Gaia_DR3,-67.592,-65.136,-68.384,0.096,-68.38,0.06
Gaia,DR3,6196228788272961664,200.4154834,-21.7198261,15.721,2.66,2.845,7.6389,28.2629,-12.83,-1.06,4.46,6.724,,,,0.996,,Gaia_DR3,-47.347,-44.406,-51.055,0.053,-45.99,0.029
Gaia,DR3,3638370979464151040,202.3014622,-2.0256592,16.057,2.724,2.592,13.0492,29.5257,-23.72,,,8.541,,,,1.017,,,-58.718,-45.387,-57.37,0.062,-40.918,0.032
Gaia,DR3,6186427432385401344,199.1188831,-27.4113684,15.537,2.597,1.723,13.3097,29.9643,-8.99,-56.58,6.97,8.514,,,,6.612,,Gaia_DR3,-60.896,-57.611,-62.113,0.235,-54.769,0.184
