Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6339097679918871168,225.6867249,-3.0314907,6.572,0.271,0.0,0.0,0.0,-24.26,-25.06,0.28,10.1,,,,1.232,,Gaia_DR3,-50.473,-23.755,-50.473,0.032,-23.755,0.026
Gaia,DR3,6339097675623770496,225.6891984,-3.03063,14.407,2.43,0.57,0.0026,2.8983,-24.26,-51.71,15.47,9.812,,,,1.152,,Gaia_DR3,-49.035,-23.078,-49.691,0.09,-24.058,0.079
Gaia,DR3,6334530446056179840,228.0730136,-6.086011,17.185,3.163,2.555,3.8713,6.7447,-24.59,,,10.215,,,,0.942,,,-48.78,-26.999,-53.991,0.1,-28.762,0.089
Gaia,DR3,1153867879176603136,225.3329206,2.5446753,13.815,2.183,1.325,5.5874,9.7233,-25.08,-29.0,2.06,10.019,,,,1.126,,Gaia_DR3,-50.392,-18.485,-47.652,0.017,-17.92,0.015
Gaia,DR3,4413931739706856704,230.1116426,-3.1907253,19.635,2.79,2.527,4.4213,11.0728,-25.98,,,9.369,,,,1.022,,,-42.895,-22.361,-46.945,0.451,-19.444,0.381
Gaia,DR3,4419596737145946496,226.5436968,0.4141685,16.785,3.057,0.884,3.5505,12.5853,-25.24,,,11.385,,,,0.965,,,-56.0,-23.222,-55.069,0.072,-21.316,0.064
Gaia,DR3,4413977511173558016,230.6233751,-3.2101898,14.818,2.595,2.648,4.9326,13.5568,-26.17,-26.28,3.47,11.351,,,,1.121,,Gaia_DR3,-51.403,-27.14,-47.404,0.032,-22.225,0.027
Gaia,DR3,3642200028707842048,218.1609745,-4.2283143,11.027,1.205,1.621,7.6053,14.4592,-20.71,-23.44,0.52,9.592,,,,2.383,,Gaia_DR3,-54.099,-23.086,-56.873,0.061,-24.834,0.056
Gaia,DR3,3649245351325902848,218.9477419,-2.3128647,9.926,0.86,1.009,6.7699,14.9507,-21.45,5.93,0.23,9.288,,,,0.975,,Gaia_DR3,-51.801,-21.014,-51.932,0.019,-19.043,0.015
Gaia,DR3,3649245351328514304,218.9493382,-2.3128124,14.581,2.362,1.27,6.7683,15.1782,-21.45,4.44,3.58,9.257,,,,1.205,,Gaia_DR3,-51.626,-20.944,-50.291,0.032,-18.856,0.025
Gaia,DR3,3652030414279168640,222.8567583,1.074151,18.615,3.271,2.457,4.9859,15.3666,-23.8,,,8.979,,,,0.938,,,-47.139,-17.817,-51.671,0.242,-16.778,0.199
Gaia,DR3,3641625327724140288,216.9468455,-5.4435445,15.275,2.764,1.281,9.0429,15.882,-19.9,-6.77,4.73,9.906,,,,1.041,,Gaia_DR3,-56.807,-24.64,-54.54,0.039,-26.062,0.034
Gaia,DR3,1157551380568592768,222.1219628,3.2956578,8.268,0.673,0.314,7.2614,16.7059,-23.82,-6.62,0.17,9.15,,,,1.024,,Gaia_DR3,-48.618,-16.399,-48.019,0.02,-16.482,0.019
Gaia,DR3,1159208512099009408,221.6589628,5.3871591,17.123,3.029,2.23,9.3306,16.7402,-23.91,,,9.761,,,,0.959,,,-52.248,-15.731,-55.631,0.107,-12.629,0.091
Gaia,DR3,6323871707321680128,221.4550711,-11.7611822,17.19,3.527,1.274,9.6841,17.0223,-20.51,,,9.89,,,,1.605,,,-53.108,-29.9,-51.385,0.178,-27.88,0.158
Gaia,DR3,6325430990903946496,222.0139713,-11.1161516,13.161,1.864,1.419,8.867,17.1072,-20.91,-8.39,6.7,9.473,,,,1.071,,Gaia_DR3,-50.423,-28.274,-51.745,0.018,-30.782,0.015
Gaia,DR3,6315024456944548736,231.2683511,-11.6467972,9.986,0.866,2.67,10.2376,17.636,-24.46,-3.45,0.41,10.142,,,,0.857,,Gaia_DR3,-45.28,-32.305,-39.588,0.018,-31.881,0.012
