Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2582617711154563968,13.0800326,10.7947054,11.944,0.938,0.0,0.0,0.0,-14.79,-14.79,0.56,4.085,,,,1.052,,Gaia_DR3,61.006,2.063,61.006,0.021,2.063,0.015
Gaia,DR3,2580914086606820480,13.7227819,8.6572254,18.288,2.809,4.409,2.2294,9.6268,-14.08,,,4.065,,,,0.94,,,60.84,1.476,64.193,0.2,3.219,0.161
Gaia,DR3,2582889015648932224,16.6099187,10.0996306,19.097,3.183,3.148,3.5402,17.3722,-10.5,,,3.955,,,,0.995,,,59.71,1.206,58.031,0.475,-0.812,0.301
Gaia,DR3,2749702212531059968,9.1458278,8.6417444,18.523,2.663,4.271,4.4351,18.9518,-19.63,,,4.082,,,,0.992,,,59.925,2.205,58.497,0.232,5.592,0.167
Gaia,DR3,2577337066044248960,16.4511669,6.8594409,17.824,2.932,2.928,5.1554,22.0342,-10.76,,,4.08,,,,1.048,,,61.577,0.752,60.479,0.141,-1.515,0.111
Gaia,DR3,2552400730737295488,15.4097904,5.6957508,15.83,2.016,2.705,5.5957,24.6164,-12.07,,,4.006,,,,1.035,,,60.283,0.662,59.335,0.06,-1.416,0.049
Gaia,DR3,2780597630278245760,9.7662178,15.7167837,18.39,2.764,1.385,5.8842,25.5978,-18.44,,,4.024,,,,0.963,,,59.246,4.036,58.102,0.22,3.77,0.136
Gaia,DR3,2579582646745041280,18.9145943,9.1324405,11.032,0.71,2.972,5.9819,25.9247,-7.67,27.57,0.63,4.031,,,,1.072,,Gaia_DR3,61.179,0.688,60.202,0.026,3.018,0.022
Gaia,DR3,2583846312319744128,18.9461117,12.6194724,16.39,2.213,4.841,6.0266,26.0214,-7.57,,,4.178,,,,1.003,,,63.414,1.116,62.892,0.07,5.347,0.063
Gaia,DR3,2747915098114548096,7.9347733,6.9320062,18.583,3.251,3.35,6.3839,27.2166,-21.16,,,4.113,,,,1.064,,,60.004,1.866,62.446,0.247,3.44,0.181
Gaia,DR3,2584624285516254464,17.0463877,12.9726828,19.513,2.699,3.339,4.4504,27.3134,-9.88,,,3.793,,,,1.141,,,57.328,1.478,55.102,0.572,0.005,0.345
Gaia,DR3,2582208147368825856,12.3680695,10.260611,14.879,1.705,4.251,0.8805,28.05,-15.67,-25.09,4.37,3.669,,,,0.96,,Gaia_DR3,54.642,1.867,56.289,0.041,4.713,0.028
Gaia,DR3,2778960663622728448,8.8813988,13.3365687,18.519,2.923,4.33,4.8286,28.2762,-19.67,,,4.454,,,,1.013,,,65.295,3.977,69.316,0.247,3.377,0.177
Gaia,DR3,2750990603936027648,6.3722684,10.0569164,17.372,3.028,2.546,6.638,28.3582,-22.86,,,4.145,,,,1.011,,,59.948,3.174,58.085,0.136,4.39,0.095
Gaia,DR3,2747908810282430464,7.9494082,6.7728765,14.179,1.699,0.518,6.4709,28.5509,-21.14,20.36,2.07,4.24,,,,0.967,,Gaia_DR3,61.862,1.87,62.019,0.025,2.306,0.019
Gaia,DR3,2581328774289368320,16.5451655,9.678777,17.942,2.908,0.917,3.5879,30.1006,-10.59,,,3.701,,,,1.031,,,55.87,1.079,56.276,0.193,1.667,0.129
Gaia,DR3,2781488062897864960,10.7110945,16.3330678,19.022,2.897,4.055,5.9976,31.4833,-17.28,,,4.443,,,,0.979,,,65.709,4.339,69.363,0.383,3.305,0.201
Gaia,DR3,2750969777639197184,6.4882378,9.8030141,17.378,2.603,2.904,6.5608,32.1681,-22.74,,,4.4,,,,1.034,,,63.673,3.253,60.982,0.118,3.367,0.097
Gaia,DR3,2780597630278191744,9.7642309,15.7144685,12.748,1.054,2.262,5.8833,33.133,-18.44,-21.03,0.89,3.772,,,,1.92,,Gaia_DR3,55.54,3.784,57.241,0.041,4.369,0.023
Gaia,DR3,2554457225502560640,8.7127943,4.5631364,11.736,0.968,3.276,7.5858,33.2162,-20.29,-76.08,5.93,3.995,,,,1.834,,Gaia_DR3,58.519,1.011,59.026,0.045,-1.701,0.034
Gaia,DR3,2747915098114548224,7.9350639,6.9298703,15.888,2.247,3.609,6.385,33.2398,-21.16,,,4.461,,,,0.945,,,65.079,2.024,61.804,0.05,2.914,0.037
Gaia,DR3,2750282174850289920,10.3088143,9.9557076,14.394,1.803,3.342,2.8521,33.6013,-18.17,-5.05,2.31,4.691,,,,0.941,,Gaia_DR3,69.257,2.737,66.173,0.034,3.925,0.022
Gaia,DR3,2555148582093944320,7.2042477,5.4095669,16.737,2.594,0.704,7.9254,33.8281,-22.08,,,4.164,,,,1.018,,,60.51,1.468,60.336,0.09,0.876,0.062
Gaia,DR3,2552820465005679488,11.8322543,4.9966,19.55,2.717,2.91,5.9283,33.9513,-16.48,,,3.758,,,,1.042,,,55.839,0.81,57.471,0.472,-0.818,0.464
Gaia,DR3,2792234826986524544,5.7483974,14.6341136,17.737,2.922,3.06,8.1157,34.5555,-23.22,,,4.124,,,,1.004,,,59.417,4.898,60.606,0.139,2.518,0.105
Gaia,DR3,2784573979720320640,16.0287506,16.9519842,16.739,2.548,1.891,6.7895,34.6747,-10.94,,,3.814,,,,1.033,,,57.504,2.332,58.578,0.09,1.256,0.069
Gaia,DR3,2579671127366972672,18.3528153,9.6056415,17.062,2.658,3.575,5.3238,35.1036,-8.36,,,4.609,,,,0.959,,,69.877,0.963,66.788,0.086,2.552,0.071
Gaia,DR3,2557212434138713088,9.3920588,6.8870284,19.357,3.166,3.785,5.3427,36.0839,-19.41,,,4.635,,,,1.039,,,68.132,1.88,70.808,0.425,4.434,0.314
Gaia,DR3,2580291900464938880,19.1301258,10.4709725,16.979,2.481,4.149,5.9549,36.456,-7.38,,,3.709,,,,0.981,,,56.312,0.735,59.556,0.101,0.772,0.069
Gaia,DR3,2751293755612218880,9.267692,10.566911,18.662,3.263,2.758,3.7532,36.8554,-19.39,,,3.604,,,,1.009,,,52.947,2.427,54.961,0.303,3.005,0.21
Gaia,DR3,2553266591849168128,13.3526842,5.5864909,17.818,2.944,3.968,5.2152,38.2226,-14.61,,,4.702,,,,0.979,,,70.282,1.001,74.191,0.163,1.432,0.122
Gaia,DR3,2784913492590374400,16.866359,16.9784388,17.783,2.652,4.656,7.1926,39.5197,-9.94,,,4.589,,,,2.275,,,69.339,2.515,73.818,0.419,2.038,0.368
Gaia,DR3,2550979229706044160,11.9558515,3.7614183,17.2,2.605,4.935,7.121,39.9548,-16.35,,,3.719,,,,0.973,,,55.295,0.515,52.478,0.12,-2.137,0.103
