Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2557342829345854208,9.8217476,7.2769906,13.764,2.067,0.0,0.0,0.0,6.84,6.84,1.46,8.07,,,,1.066,,Gaia_DR3,-31.166,-23.175,-31.166,0.021,-23.175,0.017
Gaia,DR3,2556690372273888640,12.1051914,7.079026,17.35,2.872,1.824,2.2742,6.1495,6.16,,,7.843,,,,0.966,,,-30.824,-22.332,-32.27,0.118,-19.686,0.11
Gaia,DR3,2555942257690306944,11.9418247,5.6692456,14.871,2.429,3.714,2.6499,7.9703,6.54,4.52,2.97,7.733,,,,1.056,,Gaia_DR3,-30.356,-21.774,-27.629,0.037,-16.367,0.03
Gaia,DR3,2553343115281446656,13.1103198,5.9253616,16.922,3.042,4.973,3.5353,8.6257,6.1,,,8.356,,,,1.088,,,-33.078,-23.511,-24.389,0.109,-24.634,0.085
Gaia,DR3,2775405736371453440,10.2041398,11.4890044,18.302,3.399,3.087,4.2289,9.3256,5.7,,,7.972,,,,0.963,,,-30.882,-23.635,-29.298,0.183,-18.694,0.157
Gaia,DR3,2551080865812009984,10.3412155,3.4215922,11.966,1.364,4.5,3.8899,10.0763,7.58,-13.05,0.87,8.47,,,,2.042,,Gaia_DR3,-32.845,-23.427,-28.668,0.04,-16.562,0.033
Gaia,DR3,2774818841976010496,13.0590041,11.2421886,17.323,3.198,4.229,5.0918,11.031,4.86,,,8.046,,,,1.467,,,-31.839,-23.506,-29.254,0.184,-16.814,0.144
Gaia,DR3,2551830114267024128,14.3284567,4.5392838,16.278,2.499,4.453,5.2523,12.4365,6.02,,,8.454,,,,1.035,,,-33.739,-23.459,-25.848,0.069,-22.62,0.047
Gaia,DR3,2551830049842753024,14.3273515,4.5377419,14.081,1.951,4.666,5.2521,12.7417,6.02,17.91,2.19,8.505,,,,0.994,,Gaia_DR3,-33.941,-23.599,-25.738,0.026,-21.957,0.018
Gaia,DR3,2751919416384472064,3.3677,8.2624302,12.336,1.422,3.88,6.4701,14.0763,8.59,12.13,0.65,8.006,,,,0.902,,Gaia_DR3,-29.106,-23.672,-27.15,0.021,-29.921,0.014
Gaia,DR3,2748957778734992896,5.414349,7.6059235,14.916,2.414,4.48,4.3826,14.0847,8.13,8.06,5.82,8.84,,,,1.01,,Gaia_DR3,-32.818,-25.799,-24.513,0.034,-24.945,0.026
Gaia,DR3,2552019058468043392,15.968221,4.5967047,19.165,3.385,4.963,6.6747,14.9752,5.47,,,7.863,,,,0.997,,,-31.704,-21.758,-28.432,0.394,-14.209,0.303
Gaia,DR3,2748882118591524736,4.1431296,8.2810235,16.316,2.942,2.834,5.7151,15.0442,8.35,,,7.582,,,,1.611,,,-27.788,-22.367,-26.99,0.099,-17.908,0.099
