Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,385697172809355392,4.8592752,44.0275953,13.4,1.096,0.0,0.0,0.0,-29.14,-29.14,1.54,3.057,,,,1.019,,Gaia_DR3,0.923,-8.921,0.923,0.011,-8.921,0.009
Gaia,DR3,385690575741247232,5.2864108,44.5258478,9.352,0.406,4.493,0.5846,4.2798,-29.25,17.89,1.56,3.032,,,,2.524,,Gaia_DR3,0.97,-8.691,3.012,0.058,-6.672,0.04
Gaia,DR3,385650748505788288,5.3358108,44.0074056,19.022,2.965,3.203,0.3433,4.4412,-29.13,,,3.094,,,,0.97,,,0.996,-9.043,0.488,0.184,-7.016,0.151
Gaia,DR3,382755223290812288,6.0879838,44.1631671,16.759,2.358,3.19,0.8928,5.1028,-29.15,,,3.055,,,,0.97,,,1.079,-8.886,2.318,0.055,-7.248,0.039
Gaia,DR3,391836429125647104,5.3805002,45.3919017,19.867,2.949,4.225,1.4137,8.1177,-29.45,,,3.066,,,,1.024,,,0.993,-8.502,3.664,0.396,-7.936,0.268
Gaia,DR3,382601081206864896,6.2403445,43.2534268,19.044,2.232,4.43,1.2642,8.9856,-28.93,,,3.108,,,,1.41,,,1.118,-9.346,-1.244,0.28,-11.033,0.193
Gaia,DR3,386331247421019648,2.7388087,44.4695413,14.329,1.367,4.913,1.5819,9.2585,-29.28,-28.16,3.04,3.077,,,,0.937,,Gaia_DR3,0.657,-8.813,-0.048,0.019,-5.706,0.013
Gaia,DR3,383877236249450112,3.3157969,42.6606339,19.82,2.521,3.953,1.7687,10.4517,-28.83,,,3.033,,,,1.041,,,0.72,-9.279,0.712,0.371,-6.752,0.299
Gaia,DR3,386083131452922496,4.327525,45.5604805,19.207,2.542,4.47,1.5786,10.7896,-29.51,,,3.003,,,,1.042,,,0.841,-8.262,-0.796,0.218,-10.571,0.179
Gaia,DR3,385796094496097024,5.326007,44.8991066,19.149,2.812,1.187,0.933,11.5372,-29.34,,,2.964,,,,1.069,,,0.953,-8.378,0.455,0.216,-8.928,0.175
Gaia,DR3,383865519579997056,3.4505552,42.4612243,19.224,3.025,3.772,1.8725,12.1058,-28.78,,,3.006,,,,0.97,,,0.731,-9.261,0.182,0.25,-6.935,0.175
