Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,428360006379022592,4.523958,59.766198,11.91,1.01,0.0,0.0,0.0,-48.52,-48.52,0.44,2.749,K1.0,,,0.917,,Gaia_DR3,-7.728,-1.837,-7.728,0.01,-1.837,0.011
Gaia,DR3,429048919133189376,3.105957,59.6365601,17.462,2.624,4.176,0.727,5.6874,-48.35,,,2.724,M3.3,,,0.999,,,-7.965,-2.05,-6.249,0.08,-0.374,0.088
Gaia,DR3,428216971089096448,4.3739749,58.8921127,16.764,2.232,3.676,0.8774,5.9523,-48.45,,,2.765,M1.9,,,0.979,,,-7.807,-2.297,-9.756,0.045,-3.188,0.047
Gaia,DR3,428283452880896896,5.7902505,59.2295271,17.921,2.934,4.434,0.8373,5.9899,-48.64,,,2.77,M4.0,,,0.988,,,-7.506,-1.971,-5.918,0.081,0.074,0.088
Gaia,DR3,428182954947588224,5.6091502,58.9610319,18.953,2.183,3.743,0.9768,6.5903,-48.6,,,2.767,M1.6,,,1.714,,,-7.536,-2.122,-5.92,0.345,-0.653,0.358
Gaia,DR3,422933645912756096,3.7849642,58.7077986,18.396,,4.636,1.1239,7.9983,-48.37,,,2.777,,,,1.13,,,-7.97,-2.467,-9.824,0.243,-4.45,0.339
Gaia,DR3,429015761984631040,4.2172157,59.7022052,17.249,2.566,2.649,0.1673,8.7984,-48.48,,,2.817,M3.2,,,1.058,,,-7.987,-1.951,-9.426,0.065,-1.316,0.073
Gaia,DR3,428805617827246208,5.2832656,60.7883573,18.282,2.807,2.034,1.0893,9.1027,-48.66,,,2.706,M3.7,,,1.04,,,-7.441,-1.226,-6.28,0.111,-1.234,0.111
Gaia,DR3,429292770196502784,1.8055855,60.3528565,18.481,1.569,3.408,1.478,9.3991,-48.23,,,2.754,K5.4,,,3.932,,,-8.332,-1.883,-6.392,0.48,-2.277,0.473
Gaia,DR3,429083454972607360,3.1586926,59.9475262,11.608,0.8,4.75,0.7091,9.9263,-48.37,-16.07,1.14,2.818,G0.9,,,0.849,,Gaia_DR3,-8.226,-1.958,-5.572,0.01,-1.0,0.011
Gaia,DR3,428925468898658176,4.9400908,61.313632,18.872,2.208,3.588,1.5609,10.3205,-48.64,,,2.772,M1.7,,,1.831,,,-7.7,-1.036,-7.127,0.315,-3.052,0.32
Gaia,DR3,423239756829090944,1.792837,59.540049,17.778,3.004,2.475,1.3982,10.7202,-48.18,,,2.796,M4.1,,,1.016,,,-8.461,-2.317,-9.888,0.101,-2.621,0.101
Gaia,DR3,429105578342836096,2.2756857,60.2407112,19.757,2.919,4.528,1.22,11.1303,-48.28,,,2.691,M3.9,,,1.13,,,-8.041,-1.835,-9.535,0.399,-3.924,0.462
Gaia,DR3,429119189100247168,4.2716975,59.9972011,11.095,0.753,2.902,0.2634,11.421,-48.51,-4.08,0.91,2.837,F9.4,,,0.963,,Gaia_DR3,-8.033,-1.809,-7.484,0.013,-3.456,0.013
Gaia,DR3,428043901079625600,7.6396306,59.069105,19.802,2.837,4.587,1.7315,11.45,-48.84,,,2.775,M3.8,,,1.007,,,-7.098,-1.852,-4.415,0.304,-1.835,0.29
Gaia,DR3,428433781037646592,8.074211,59.4365116,16.496,2.35,2.858,1.8262,12.4774,-48.9,,,2.716,M2.5,,,2.4,,,-6.85,-1.588,-6.064,0.103,-0.153,0.101
Gaia,DR3,430184405406554624,7.3585604,61.1739195,19.786,2.834,2.488,1.983,13.0711,-48.89,,,2.778,M3.8,,,1.047,,,-7.17,-0.832,-8.06,0.348,0.321,0.401
Gaia,DR3,429433134023008256,1.8375076,61.1034999,19.958,2.53,2.247,1.8826,13.0907,-48.27,,,2.792,M3.1,,,0.987,,,-8.438,-1.532,-7.558,0.4,-2.52,0.392
Gaia,DR3,423259337575619072,1.6346055,59.7172369,18.416,2.735,3.829,1.4566,13.7955,-48.17,,,2.83,M3.6,,,0.998,,,-8.597,-2.276,-9.44,0.117,-4.399,0.122
Gaia,DR3,428462677572232192,7.9273272,59.6540956,20.174,,2.217,1.72,14.1358,-48.9,,,2.684,,,,1.047,,,-6.802,-1.479,-6.441,0.432,-0.278,0.545
Gaia,DR3,422079359742548864,5.8319168,57.7106023,10.687,0.832,2.329,2.1647,14.2009,-48.54,-47.0,0.36,2.779,G3.0,,,0.914,,Gaia_DR3,-7.518,-2.727,-6.158,0.011,-2.622,0.011
Gaia,DR3,429583079928939648,4.1850325,61.303285,17.533,2.48,2.826,1.5461,14.4191,-48.55,,,2.673,M3.0,,,1.255,,,-7.585,-1.09,-8.876,0.097,-0.16,0.093
Gaia,DR3,428750406027444224,6.1650813,60.5940594,17.485,2.536,4.39,1.1624,14.4593,-48.75,,,2.847,M3.1,,,0.983,,,-7.627,-1.286,-5.006,0.069,-1.017,0.075
Gaia,DR3,422096505247103360,5.4349481,57.8431577,10.628,0.695,3.335,1.98,14.5317,-48.5,-17.8,0.77,2.807,F8.0,,,1.48,,Gaia_DR3,-7.686,-2.734,-9.423,0.017,-3.669,0.019
Gaia,DR3,429645030538745728,2.9723102,61.5262934,16.752,2.279,4.727,1.9173,14.541,-48.42,,,2.692,M2.2,,,0.99,,,-7.897,-1.135,-10.437,0.049,-0.274,0.049
Gaia,DR3,425406958665148672,8.9186194,59.0255654,13.461,1.164,4.112,2.3562,14.9651,-48.97,-36.24,5.86,2.756,K2.5,,,1.073,,Gaia_DR3,-6.757,-1.729,-8.494,0.012,-3.368,0.016
