Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2581916673708201216,13.1943664,9.6929178,14.12,1.24,0.0,0.0,0.0,-4.6,-4.6,2.56,2.448,,,,1.0,,Gaia_DR3,-11.003,-1.781,-11.003,0.024,-1.781,0.02
Gaia,DR3,2581001360342309632,14.1884911,8.7396579,19.055,2.912,4.663,1.3681,10.0471,-4.91,,,2.434,,,,1.03,,,-10.905,-1.781,-8.556,0.392,-1.323,0.287
Gaia,DR3,2774815062404718336,12.6607028,11.3711193,19.638,-0.004,2.587,1.7583,14.2529,-4.51,,,2.491,,,,1.075,,,-11.214,-1.76,-10.061,0.516,-1.041,0.39
Gaia,DR3,2557728105092006016,11.983088,8.4230615,15.011,1.475,4.243,1.7445,14.9803,-4.08,-11.31,3.48,2.4,,,,1.068,,Gaia_DR3,-10.828,-1.83,-9.58,0.033,-3.577,0.031
Gaia,DR3,2556612852408860800,13.5096689,7.4580682,19.475,2.248,4.925,2.2565,16.2554,-4.58,,,2.436,,,,1.068,,,-10.937,-1.855,-12.476,0.603,-3.862,0.405
Gaia,DR3,2580768882352974720,15.2259963,8.5715447,18.874,2.987,4.595,2.298,17.2135,-5.28,,,2.482,,,,1.204,,,-11.077,-1.793,-8.885,0.37,-0.805,0.276
Gaia,DR3,2581096506753317632,13.9715221,9.1727314,11.433,0.736,4.687,0.9265,17.7971,-4.86,38.4,0.54,2.353,,,,1.4,,Gaia_DR3,-10.549,-1.709,-8.968,0.036,-3.414,0.025
Gaia,DR3,2577712171308375680,15.1047817,8.0353335,19.334,2.415,2.577,2.512,18.0863,-5.2,,,2.435,,,,0.988,,,-10.872,-1.788,-9.552,0.483,-1.697,0.372
Gaia,DR3,2556549394267230464,13.5644363,7.0609121,16.237,2.043,3.049,2.6573,19.1421,-4.58,,,2.467,,,,1.351,,,-11.077,-1.894,-9.948,0.097,-0.781,0.064
Gaia,DR3,2557895162139889024,10.5397705,8.7125838,14.498,1.242,4.935,2.7978,23.2965,-3.56,-4.66,3.23,2.525,,,,1.009,,Gaia_DR3,-11.437,-1.959,-11.012,0.034,0.634,0.022
Gaia,DR3,2775042833110345600,13.5554313,12.3907998,12.027,0.843,3.253,2.7211,23.9706,-4.89,-16.96,0.64,2.538,,,,1.219,,Gaia_DR3,-11.396,-1.713,-10.384,0.023,-3.129,0.019
