Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,430269136520563200,8.3862553,61.8607664,12.26,1.161,0.0,0.0,0.0,-24.87,-24.87,1.23,1.672,,,,0.854,,Gaia_DR3,-0.471,3.857,-0.471,0.009,3.857,0.009
Gaia,DR3,430351226241103104,8.3788274,62.2730525,15.802,1.755,3.892,0.4123,5.2712,-24.79,,,1.664,,,,0.989,,,-0.469,3.9,-1.242,0.028,5.025,0.031
Gaia,DR3,430692074845010560,9.6055918,62.362713,19.681,1.67,4.377,0.7597,8.0102,-24.78,,,1.675,,,,1.04,,,-0.311,3.948,-1.176,0.32,2.667,0.338
Gaia,DR3,430676647321301120,8.9718212,62.2580878,15.651,1.389,1.851,0.4828,8.7411,-24.8,,,1.692,,,,0.985,,,-0.399,3.969,0.259,0.027,3.913,0.03
Gaia,DR3,430248937287996800,8.8819343,61.56448,19.759,2.651,3.641,0.3781,10.9698,-24.93,,,1.644,,,,0.937,,,-0.399,3.75,-0.625,0.291,2.509,0.331
Gaia,DR3,427109002664833152,9.6875499,60.628731,17.29,1.95,4.785,1.3819,14.8201,-25.11,,,1.682,,,,0.978,,,-0.301,3.697,-1.334,0.062,2.35,0.075
Gaia,DR3,430572434236276352,6.4038287,62.7153279,15.897,1.763,4.482,1.2569,14.9164,-24.67,,,1.693,,,,1.402,,,-0.74,4.017,-1.344,0.038,5.498,0.046
Gaia,DR3,430755395540408448,7.6917827,62.8203861,19.78,2.506,1.43,1.0123,15.9737,-24.67,,,1.639,,,,1.103,,,-0.551,3.919,-1.043,0.373,3.972,0.411
Gaia,DR3,430752960301955200,7.4491602,62.8177708,17.936,2.467,1.945,1.0512,16.1498,-24.67,,,1.706,,,,1.006,,,-0.606,4.076,-0.997,0.096,3.496,0.108
Gaia,DR3,427111515230624256,9.7964933,60.7697965,14.956,1.312,4.137,1.2838,16.3549,-25.08,-46.31,9.18,1.699,,,,0.972,,Gaia_DR3,-0.29,3.757,0.51,0.02,2.51,0.022
