Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2862548428079638912,5.1669528,31.9899727,11.532,0.752,0.0,0.0,0.0,-13.9,-13.9,0.59,2.611,,,,1.073,,Gaia_DR3,-4.692,-3.32,-4.692,0.022,-3.32,0.02
Gaia,DR3,2862296399398759936,6.5616635,31.7638322,11.503,0.785,4.263,1.2058,8.5068,-14.05,-16.36,0.41,2.593,,,,1.312,,Gaia_DR3,-4.544,-3.268,-5.272,0.033,-1.055,0.026
Gaia,DR3,2862247196254449536,6.7619823,31.6485836,18.86,1.994,3.274,1.3976,11.6652,-14.06,,,2.66,,,,2.169,,,-4.645,-3.36,-2.973,0.519,-4.121,0.393
Gaia,DR3,2862619307924315520,6.8127619,31.6437468,18.777,2.88,3.296,1.4407,12.2471,-14.07,,,2.664,,,,0.998,,,-4.648,-3.364,-6.495,0.242,-3.238,0.227
Gaia,DR3,2862527090682185088,5.8630938,32.2840675,16.586,0.788,3.926,0.6588,12.4356,-14.02,,,2.693,,,,5.071,,,-4.78,-3.353,-3.358,0.393,-1.636,0.211
Gaia,DR3,2860815352941342464,4.7619047,30.5803906,19.395,2.344,3.879,1.4515,12.6095,-13.7,,,2.558,,,,0.926,,,-4.63,-3.453,-5.91,0.393,-1.799,0.307
Gaia,DR3,2862672741613105024,6.6860316,31.8763351,16.16,2.231,1.995,1.2942,13.3077,-14.08,,,2.682,,,,1.074,,,-4.69,-3.36,-4.178,0.062,-4.365,0.045
Gaia,DR3,2862717581072820096,7.2938798,32.4229042,19.935,2.203,4.897,1.851,14.1643,-14.21,,,2.66,,,,1.048,,,-4.598,-3.23,-5.625,0.456,-0.683,0.435
Gaia,DR3,2862663292685201536,7.332561,32.163216,16.374,2.26,2.811,1.8431,14.7899,-14.19,,,2.669,,,,1.225,,,-4.611,-3.276,-5.525,0.07,-4.567,0.067
Gaia,DR3,2864033799569429632,4.7339893,33.9904588,15.56,1.714,0.774,2.0332,15.5661,-14.05,,,2.562,,,,1.018,,,-4.639,-3.013,-4.284,0.039,-2.791,0.034
Gaia,DR3,2863733662959453056,5.6696966,33.0462928,19.765,1.76,2.879,1.1382,15.7433,-14.07,,,2.709,,,,1.224,,,-4.825,-3.275,-3.408,0.511,-4.108,0.441
Gaia,DR3,2863204900945715328,4.4956417,31.9635228,19.376,2.438,2.095,0.5701,16.3645,-13.81,,,2.507,,,,0.968,,,-4.558,-3.219,-4.746,0.384,-2.128,0.287
Gaia,DR3,2863838842413946624,5.597417,33.718812,17.905,2.448,4.686,1.7662,18.1206,-14.13,,,2.522,,,,0.995,,,-4.497,-2.963,-5.118,0.14,-0.551,0.107
Gaia,DR3,365074659701900288,7.6941169,33.6379118,18.503,2.785,4.368,2.6881,18.971,-14.38,,,2.573,,,,0.98,,,-4.413,-2.943,-6.319,0.219,-4.351,0.168
Gaia,DR3,2874079521916909824,1.92998,32.658996,14.077,1.189,2.789,2.8158,19.1799,-13.55,-40.35,2.72,2.589,,,,1.356,,Gaia_DR3,-4.91,-3.349,-3.497,0.025,-2.784,0.014
