Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2980392087185289216,71.8244358,-17.1151738,12.472,0.775,0.0,0.0,0.0,34.12,34.12,0.85,1.956,,,,0.943,,Gaia_DR3,7.562,-1.933,7.562,0.009,-1.933,0.01
Gaia,DR3,2980607350945859840,71.4194187,-16.7346836,19.901,2.372,2.775,0.5431,4.9179,33.97,,,1.959,,,,1.025,,,7.666,-2.046,6.526,0.321,-1.929,0.378
Gaia,DR3,3172822431822699392,70.63913,-16.5667772,19.695,2.604,2.777,1.2601,14.1492,33.71,,,1.924,,,,1.038,,,7.699,-2.079,8.71,0.299,-1.581,0.311
Gaia,DR3,2979662904817405568,73.2450268,-17.3964025,18.437,2.252,0.652,1.3855,15.2224,34.57,,,1.923,,,,1.002,,,7.119,-1.779,7.382,0.105,-1.754,0.105
Gaia,DR3,2978820648847652736,70.9238647,-18.0212676,12.985,0.785,2.7,1.2482,15.8627,33.92,52.41,1.65,2.0,,,,0.94,,Gaia_DR3,7.941,-1.788,7.472,0.013,-0.75,0.013
Gaia,DR3,2981199339175661312,72.0303246,-15.66589,11.463,0.748,1.975,1.4627,16.6518,34.06,0.71,0.41,1.997,,,,1.057,,Gaia_DR3,7.673,-2.329,7.009,0.014,-1.83,0.014
Gaia,DR3,2978605488164371456,70.6796052,-19.0220598,19.92,2.506,2.84,2.1956,20.6666,33.91,,,1.983,,,,1.01,,,7.926,-1.535,8.311,0.355,-0.412,0.357
Gaia,DR3,2981084745150587264,73.6885791,-15.4792712,18.84,2.696,2.147,2.4243,22.6749,34.53,,,1.932,,,,0.966,,,7.051,-2.243,6.988,0.149,-3.115,0.142
Gaia,DR3,2981045785505885056,73.5077311,-15.7051313,15.873,1.461,2.736,2.1437,25.3041,34.5,,,1.896,,,,1.085,,,6.96,-2.152,6.667,0.028,-1.099,0.028
Gaia,DR3,2980918310875674368,72.7395648,-16.2307425,17.123,2.05,2.356,1.2453,26.0383,34.32,,,2.051,,,,1.025,,,7.712,-2.22,6.813,0.053,-2.699,0.056
Gaia,DR3,3173521923078781312,72.2935357,-14.625989,19.968,2.325,1.585,2.5297,26.1048,34.03,,,1.909,,,,1.014,,,7.277,-2.466,7.785,0.31,-2.081,0.3
Gaia,DR3,2979756917358910720,74.8622851,-17.5170774,13.373,1.137,1.14,2.9278,26.5411,35.04,34.91,2.06,1.977,,,,2.599,,Gaia_DR3,6.942,-1.738,6.522,0.023,-1.959,0.025
Gaia,DR3,2976314140294223488,74.4256007,-18.3102355,13.52,0.861,1.096,2.7509,26.577,34.97,-27.84,1.76,1.998,,,,0.963,,Gaia_DR3,7.12,-1.569,6.769,0.009,-1.268,0.01
Gaia,DR3,2979910848987835520,74.7659046,-17.1226647,19.829,2.401,2.177,2.8111,28.3512,34.98,,,1.909,,,,1.095,,,6.725,-1.778,7.367,0.27,-2.374,0.284
Gaia,DR3,3171618462292442240,68.6542771,-16.2251318,18.785,2.524,2.512,3.1646,29.323,33.03,,,1.99,,,,0.971,,,8.406,-2.314,7.887,0.139,-3.23,0.153
