Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,990291507088739072,110.388024,58.2681103,10.515,0.653,0.0,0.0,0.0,1.74,1.74,0.33,3.781,,,,1.002,,Gaia_DR3,-17.008,5.463,-17.008,0.012,5.463,0.012
Gaia,DR3,1086924830979274240,110.3374758,60.6843507,18.374,3.124,2.646,2.4164,11.8848,2.04,,,3.727,,,,1.002,,,-16.766,5.309,-16.022,0.162,3.368,0.15
Gaia,DR3,986230563970138368,114.7930983,56.6799074,11.045,0.68,2.753,2.8509,13.1573,0.66,-1.81,0.37,3.781,,,,0.992,,Gaia_DR3,-16.658,6.582,-17.349,0.014,4.499,0.014
Gaia,DR3,985995440280808320,115.8509126,56.2831375,14.798,1.909,2.77,3.5567,17.0726,0.39,16.13,3.15,3.722,,,,8.135,,Gaia_DR3,-16.298,6.733,-16.474,0.154,8.899,0.154
Gaia,DR3,1086978397810938752,110.0530986,61.2718663,18.585,2.681,0.49,3.0085,20.8014,2.16,,,3.577,,,,0.981,,,-16.109,5.009,-15.788,0.141,4.825,0.139
Gaia,DR3,985564053765776000,113.2533606,54.7196405,16.929,2.432,1.056,3.8842,20.9894,0.7,,,3.954,,,,1.021,,,-17.557,6.513,-16.717,0.061,6.775,0.05
Gaia,DR3,987541078751310464,106.9808058,53.9623008,13.452,1.159,1.692,4.7048,23.6289,1.98,13.93,1.7,3.664,,,,1.016,,Gaia_DR3,-16.676,4.582,-17.381,0.012,3.482,0.009
Gaia,DR3,988417836196201600,107.1929935,56.1525172,13.358,1.264,1.376,2.7325,23.6471,2.16,34.91,1.55,4.096,,,,1.033,,Gaia_DR3,-18.63,5.111,-17.461,0.012,5.326,0.01
Gaia,DR3,1087688068142568960,117.0606301,61.4464135,10.422,0.768,2.016,4.6142,25.2909,0.95,-14.1,0.21,4.001,,,,1.005,,Gaia_DR3,-17.394,7.502,-15.999,0.012,8.475,0.014
Gaia,DR3,1089171274969453312,112.5046498,63.6479652,17.019,2.776,1.86,5.4763,25.3166,2.03,,,3.77,,,,1.475,,,-16.803,5.852,-17.586,0.095,4.598,0.08
Gaia,DR3,1088178519047777280,115.0569055,63.245745,12.666,0.918,2.306,5.4719,25.5775,1.56,-0.13,0.81,3.738,,,,0.896,,Gaia_DR3,-16.443,6.472,-17.616,0.01,5.084,0.01
Gaia,DR3,985080062490983040,117.8357341,55.0964715,16.518,2.246,1.953,5.1715,26.1954,-0.2,,,3.646,,,,0.991,,,-15.774,7.052,-16.265,0.044,8.47,0.046
Gaia,DR3,1002944029769884160,105.3535789,60.3932521,18.089,2.518,2.995,3.3317,27.2024,2.93,,,3.491,,,,0.982,,,-15.959,3.782,-18.161,0.119,3.704,0.114
