Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6220602384081327104,215.1227581711482,-31.202069907166052,10.862703,0.62539005,1.2212481156818567e-14,0.0,0.0,-26.614616389999995,,,2.7763696114929735,nan,,,1.0709726,,                             None,-21.785863751619445,-0.9062014722355043,-21.785863751619452,0.021760698,-0.9062014722355051,0.018731577
Gaia,DR3,6219497851636189056,216.53285058503357,-32.38644720513442,19.243244,2.9972038,2.8702566526377,1.6849408445909113,11.327785221120537,-27.34391631896547,,,2.7469022531940137,nan,,,1.1266872,,                             None,-21.21206711277795,-1.4970561639407682,-19.86685922436559,0.47746927,-0.5208553991613446,0.3258924
Gaia,DR3,6220675359869238784,214.74382810890808,-30.78184876978632,16.162428,2.1934748,1.8484457002055106,0.5311325102850009,12.897156592164215,-26.41345347320061,,,2.8759628451863275,nan,,,1.009377,,                             None,-22.661422577393505,-0.7437192358113389,-22.47143576927236,0.07267428,-1.8481768771326474,0.064418904
Gaia,DR3,6219549704777275392,216.2083800510311,-32.172006683551906,16.057838,2.017233,2.3339112952850587,1.3394443764337725,14.867471276887306,-27.17758727424055,,,2.6857324329467707,nan,,,1.0544077,,                             None,-20.817894924466756,-1.3430714290078392,-20.31869927120419,0.04990553,-2.566564212945046,0.044739116
Gaia,DR3,6220868706414137344,215.65305137096138,-29.581039814615185,14.400592,1.137146,2.871575808485782,1.684323946521131,16.392936497227648,-26.946259790369318,,,2.877606528679391,nan,,,17.111753,,                             None,-22.446891422967077,-0.5847074312730021,-23.8644415759503,0.37523517,-1.5971518240733447,0.37044612
Gaia,DR3,6123670259313992448,215.45245341507697,-32.21503826230062,16.215912,2.1966085,2.309075366374985,1.0510808104772231,18.143853010603806,-26.763867131827745,,,2.9135500500682388,nan,,,2.7841697,,                             None,-22.778579890170512,-1.310014645676027,-21.36425281223957,0.14916888,-1.4153887887432193,0.15211228
Gaia,DR3,6220650036741971584,215.30120516967503,-30.8331752008599,17.452824,2.6447697,1.0405833382560306,0.3993380982314214,18.224986482190516,-26.72340675871227,,,2.922928994375144,nan,,,0.9665283,,                             None,-22.89053196087621,-0.8849388638696372,-23.531649783407715,0.11571818,-0.87534784822835,0.09655289
Gaia,DR3,6220886844059179648,214.47426322423917,-30.390309082269972,11.953628,0.7307415,1.9855940358611703,0.9845061465735429,22.44938039265228,-26.26940024067529,,,2.6197972642761447,nan,,,0.81885695,,                             None,-20.70334608922407,-0.5285033033408615,-19.667671591793606,0.015273446,-0.8889427582294027,0.015001931
Gaia,DR3,6120263594334807424,216.74082980755256,-33.87050064338162,17.52483,2.3122444,1.3442169509041395,2.996757360159994,25.10653485311581,-27.378029619602913,,,2.9147389081592,nan,,,0.9759286,,                             None,-22.453358636836523,-2.06890193274143,-21.630653924385975,0.118910916,-1.9956146840267903,0.101708144
Gaia,DR3,6173047024416216960,211.45408787081286,-30.40332130790378,19.442568,2.6556396,2.9600036498710436,3.2506211449452715,25.255912941075593,-24.539087447604448,,,2.670510437878867,nan,,,1.0792904,,                             None,-21.76173597803156,0.029797158549979663,-23.30370348780542,0.46937487,0.6616254356544682,0.4677355
Gaia,DR3,6124802928090884864,214.33012130076438,-30.654601921209938,19.49697,2.6938705,2.2691589768884857,0.872937644769816,25.548922347437664,-26.183571025121232,,,2.5967722150695263,nan,,,0.97698116,,                             None,-20.553216524192475,-0.5638878345759037,-20.757950404742253,0.40887645,0.6613201740819095,0.3767224
Gaia,DR3,6119816196181673600,214.90060633627778,-34.6155066707097,18.53553,2.7609425,1.411432114157572,3.4185247208023575,26.535679966575607,-26.356431693745197,,,2.90733542787681,nan,,,1.5149688,,                             None,-22.869405530328265,-1.8688208694125539,-22.00435368276556,0.35570976,-1.872672817271454,0.28801733
Gaia,DR3,6270169158535099904,212.27561263604318,-28.09746930948484,17.140997,2.903616,2.0172048033173717,3.9695994528741054,27.3400382700016,-25.00376373051802,,,2.872700186461009,nan,,,1.0594699,,                             None,-23.22329584277586,0.4728701064419072,-23.328819341590247,0.110764615,1.6899112255685032,0.08711305
Gaia,DR3,6269434371233943424,213.6896661725817,-28.53151646948303,19.083607,2.9670525,1.134788404081015,2.9454580992431727,29.9011365973128,-25.834004978715583,,,2.6096619121762115,nan,,,1.0259826,,                             None,-20.795780818671354,0.0783539784755698,-20.95667780275101,0.36058208,0.6815599657753693,0.30131018
