Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1694625251248104832,223.35888818314442,68.85946942506287,12.092901,0.8660507,3.447473053546176e-14,0.0,0.0,-10.859496120000001,,,3.4240717494590003,nan,,,0.98738056,,                             None,-7.373191993610584,-18.376843497828585,-7.373191993610564,0.012212507,-18.3768434978286,0.011612178
Gaia,DR3,1670481350291461120,220.9822320644096,68.19302012757385,18.80039,2.9576054,1.9192128917536173,1.0958314454345859,8.781092115361755,-10.411916229563076,,,3.50605618559119,nan,,,1.0815746,,                             None,-6.935567262995898,-19.18796793944821,-6.920350496862276,0.20496863,-20.60639935871415,0.19655624
Gaia,DR3,1670511762954462208,219.71988876935694,68.06032079033109,16.629894,2.4170036,2.7117763099145997,1.5564733634116665,9.156918026931166,-10.27644782954337,,,3.372497725681553,nan,,,1.8348628,,                             None,-6.352851073618245,-18.607224099317342,-4.972191735100414,0.12254272,-19.952879814429934,0.12691924
Gaia,DR3,1670511762955135232,219.71933601034937,68.06029079185761,17.393602,--,2.0454423217642437,1.5566635639259105,12.506516312255329,-10.276401947955014,,,3.315538536073298,nan,,,1.0167122,,                             None,-6.245417953826781,-18.29302041008377,-5.104583556266714,0.107072584,-19.15466028373556,0.24694136
Gaia,DR3,1644972341224192384,227.57188789415312,65.54811857169082,19.87429,2.5935478,1.152890121162721,3.689883460113497,20.180605902951747,-9.704367135548498,,,3.519933894252466,nan,,,1.0403265,,                             None,-8.639926868814735,-18.782473911989086,-9.089275684336851,0.43415713,-19.510446936838747,0.4138354
Gaia,DR3,1645819441919065856,230.15079401592686,67.58513541561577,19.136822,2.7867184,0.8787195605958928,2.8216901945174353,20.51992165527594,-10.804338610711792,,,3.609397913930556,nan,,,1.0698054,,                             None,-9.501807685807524,-18.602976094289808,-9.8449023714011,0.2758891,-18.02910104738202,0.28951964
Gaia,DR3,1670345526245268480,218.71635834504198,66.97524117510885,18.754375,2.7151184,1.6637005194017005,2.567057275255743,21.553102668368822,-9.719363853856214,,,3.237431284184713,nan,,,1.0002946,,                             None,-5.853233668567675,-18.088046800285674,-5.025084078482697,0.16657427,-18.86484088610104,0.16930805
Gaia,DR3,1695808222680341760,234.68896624109658,70.98901926269112,18.92009,2.6469688,2.576312900300353,4.424541168671441,22.53144307597292,-12.57644545682419,,,3.4367268104633224,nan,,,1.015239,,                             None,-10.07818486560454,-16.500216602356183,-11.900064912191155,0.1968233,-16.906032547233202,0.21706413
Gaia,DR3,1699162179821292032,216.7736435159839,72.1711273276035,17.549074,2.4761944,2.8258816413748886,3.9690861454773056,23.57633387615814,-11.992667365746755,,,3.295091887870146,nan,,,1.0277693,,                             None,-5.46924642570241,-17.90716991334479,-6.614539399181498,0.08691806,-19.501390737530173,0.082298614
Gaia,DR3,1645067930017668480,227.3200634770915,66.04085100946334,13.443208,1.1006756,1.4037176757469954,3.200438151260319,24.49222139756529,-9.900847041658311,,,3.658738312155926,nan,,,0.9426199,,                             None,-8.91606062141533,-19.493946230991153,-9.841458486930371,0.012422644,-18.931943342003745,0.012452953
Gaia,DR3,1644619741590212096,234.12250685839413,66.6519324729288,16.89731,2.3461866,1.4802075407014545,4.62550264394942,24.49835919304374,-10.765119393223623,,,3.3574701298886396,nan,,,1.0285218,,                             None,-9.723296301488777,-16.8359596465404,-10.333838349604855,0.06505456,-17.687346029767042,0.06719168
Gaia,DR3,1694399752580285440,228.78577648497233,70.28713927026104,14.816702,1.7862062,1.8287956277135922,2.3704520367727566,24.825446647293283,-11.845604487607897,,,3.7021749339562167,nan,,,1.061895,,                             None,-9.39971972005915,-18.876874074282536,-8.25107591942518,0.024677454,-19.72409623236436,0.023558235
Gaia,DR3,1697945535845036800,217.10731051750557,70.06489857818178,15.855988,2.2665005,1.4956263989037983,2.5010181337481177,25.939606760479613,-11.053492037918232,,,3.7150046536309644,nan,,,1.0223559,,                             None,-6.261288638504267,-20.486940169972463,-6.138803637260296,0.037828274,-19.322046695019523,0.038499095
Gaia,DR3,1697946296055071872,217.10697814201615,70.07043723608513,13.252447,1.2135344,1.69561596593484,2.50353920315629,26.55699823725506,-11.056003280173126,,,3.7246875579764844,nan,,,1.0231819,,                             None,-6.277513419359825,-20.539532555002218,-5.986107783610849,0.013303673,-19.24041379915158,0.013858711
Gaia,DR3,1698218077289881728,215.90479581967145,70.78109408854819,18.915035,2.8485184,1.9985031207139978,3.2065863797608687,27.18803866148905,-11.32570879371728,,,3.7056276605299368,nan,,,1.0175434,,                             None,-5.902773125988496,-20.446011840799116,-5.88874842198301,0.19818194,-22.007146602481722,0.2071717
Gaia,DR3,1696511222926714624,234.94795323010973,72.56316619238645,12.74998,1.0387125,1.8575194505562276,5.310193634492309,27.322955978873786,-13.215803584704418,,,3.3921689252882956,nan,,,1.2146848,,                             None,-10.003767673632876,-15.989902851851745,-10.116426613073013,0.0148764355,-14.666370676051795,0.014284095
Gaia,DR3,1698882800788426624,222.02311475314775,72.96386602363481,18.241825,2.841238,2.7091390821879653,4.127318642710492,27.740359428050006,-12.584483673354978,,,3.232114214101299,nan,,,1.0070419,,                             None,-6.643039660982945,-16.923798028749275,-5.079056999431486,0.14022905,-15.943327264060322,0.12015426
