Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1616054670018575872,226.10691488952543,60.53623261236514,11.756448,0.7676039,1.7474941052506545e-14,0.0,0.0,-16.401220320000004,,,2.5629044238209553,nan,,,1.9178996,,                             None,-16.115998413753537,6.294567563827566,-16.115998413753545,0.02941169,6.2945675638275596,0.028126948
Gaia,DR3,1617673735250258304,222.2176802470576,60.203028729814115,16.278566,1.9091434,1.7264573986698035,1.9512020682859756,13.285580629451408,-15.443091677372482,,,2.5651709408311647,nan,,,1.013088,,                             None,-16.761256274900106,5.279294942431636,-17.236296153640822,0.04158348,6.083009246758094,0.040535823
Gaia,DR3,1615418636902182016,230.69589172864468,60.339379686770336,20.185387,2.6115723,2.084625563050268,2.272128619627207,16.063560717444343,-17.592454381694736,,,2.536749697383833,nan,,,1.1299906,,                             None,-15.121001095782628,7.2820165533414665,-14.018379617155245,0.5172097,7.117684401927194,0.5773274
Gaia,DR3,1619112205696960256,225.42739157516428,61.46456464559307,16.767338,2.466858,1.0070333351994523,0.9850388085615048,17.05019894670251,-16.040944652045184,,,2.6705881598845407,nan,,,1.0401602,,                             None,-16.913578874777016,6.532281042355143,-16.380395656056912,0.06109017,6.7250087862131345,0.05483631
Gaia,DR3,1613340044529066880,227.5333886252589,58.30876524637101,15.07254,1.4619522,2.4834342919368915,2.3425467501003747,18.65726918783212,-17.22821813813959,,,2.630375198882384,nan,,,0.94685954,,                             None,-16.283682633406446,6.449377891143143,-16.14395734281741,0.021660542,5.079396829556281,0.025558766
Gaia,DR3,1616054738738052480,226.10030293842394,60.5348742327107,14.362649,1.345171,1.6716582549698311,0.0035245862924255366,21.64513737358323,-16.39980418984726,,,2.713430304209193,nan,,,1.0283006,,                             None,-17.06373426101215,6.662326515835812,-16.13195196888955,0.018389478,6.44753128750348,0.018297281
Gaia,DR3,1615581910084753664,232.29589225847067,61.182687293048645,18.715143,2.3610973,2.851667625600469,3.0810379709568294,21.882399809232187,-17.76671027450334,,,2.608439433083363,nan,,,1.074019,,                             None,-15.226832798594486,8.005985023792178,-14.00437031059129,0.18854493,8.988070329602744,0.17405477
Gaia,DR3,1616577487798225152,229.16764858436832,62.13379976532759,19.599669,2.4829922,2.37480881433865,2.1693044827745673,21.88880354026986,-16.80205930393782,,,2.675602164127762,nan,,,1.0825423,,                             None,-16.252044128509212,7.608099445937251,-17.556533718965806,0.36259308,7.912331409279132,0.33870035
Gaia,DR3,1618627179334878464,221.38991939367568,61.39173678375663,20.041409,2.5428524,2.426690221149317,2.443379606356809,22.25913949688768,-15.022301153343733,,,2.471464170837388,nan,,,1.1777544,,                             None,-16.268842361577295,5.046786306765976,-15.983827363576573,0.56243527,6.278570905534778,0.50209576
Gaia,DR3,1614912895912464128,227.63461508601068,58.92771182915221,12.421057,0.9155874,2.6442171027353125,1.7832213408847724,24.436508444889924,-17.128399329343168,,,2.711594377298204,nan,,,1.7261139,,                             None,-16.767313166604694,6.779972427494134,-17.299049226669617,0.017780915,8.194872257525478,0.02101192
Gaia,DR3,1613265690055451648,226.10985029453948,57.86260760588905,16.809265,2.3285007,1.7859891256057712,2.6736254282581338,26.1195115159025,-16.927273416838,,,2.6952465906826615,nan,,,0.9447608,,                             None,-16.947659184209677,6.178149078624083,-17.465476443811003,0.050439116,7.050862205593255,0.06440161
Gaia,DR3,1616612912686766080,227.90787786670518,62.14227850162888,19.773424,2.4250069,1.1683475974449538,1.8234353290752578,26.820285157509534,-16.50201885752098,,,2.7306652055442973,nan,,,0.96805793,,                             None,-16.83286902453812,7.441269982285339,-16.851631163378695,0.42593184,6.768970493272253,0.34931818
Gaia,DR3,1616825530749010304,220.7982860148004,58.00287457479336,14.094236,1.2517157,1.1683239704548702,3.7096394364328322,27.38538118834945,-15.397070699333412,,,2.640258013440549,nan,,,0.95481074,,                             None,-17.469272029358088,4.734864275809159,-16.82249085701809,0.016652051,4.802238599517955,0.014688315
Gaia,DR3,1603010235865354752,232.52893687786542,58.44340239553926,14.630398,1.3195505,2.210898398566822,3.8717613908148216,27.491866850479614,-18.500573210704154,,,2.517975322028101,nan,,,2.4481921,,                             None,-14.652581420017013,7.31935091790425,-15.7736848685263,0.045669056,6.972349673264098,0.049697753
Gaia,DR3,1640843155371177472,231.228341408052,63.783917508858174,19.13004,2.7139606,2.186924710571817,4.030732796334708,27.692085072511862,-16.858678295239272,,,2.544250094007533,nan,,,1.0122482,,                             None,-15.06265571785518,7.983660053281803,-15.59737293193949,0.2398873,9.02765414803532,0.22220352
