GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 6283723285046532864 214.6830108 -20.2754350 11.121  0.900       0.000   0.0000   0.0000    -1.34      nan      nan    5.191  nan      nan    nan   1.098     nan                                None       0.088      17.350       0.088       0.027      17.350       0.021
Gaia DR3 6284197518155970432 214.8758255 -18.5513922 17.717  2.963       2.290   1.7336  10.8250    -0.87      nan      nan    5.452  nan      nan    nan   0.967     nan                                None       0.076      18.260      -1.080       0.137      15.896       0.110
Gaia DR3 6272159785681180928 217.4399141 -24.7524177 15.141  2.409       0.936   5.1502  18.0534    -2.58      nan      nan    5.357  nan      nan    nan   1.278     nan                                None      -0.139      17.731      -0.819       0.045      18.541       0.038
Gaia DR3 6297835929106126464 213.9328936 -16.1150295 16.294  2.572       2.826   4.2210  21.0263    -0.19      nan      nan    5.663  nan      nan    nan   0.944     nan                                None       0.162      18.993      -3.204       0.060      18.758       0.052
Gaia DR3 6288817833519056640 207.8160091 -21.1736541 19.014  2.901       2.042   6.4846  22.3394    -1.63      nan      nan    5.367  nan      nan    nan   0.953     nan                                None       0.663      17.895       1.336       0.349      15.685       0.271
Gaia DR3 6301455036052452480 211.3804999 -14.5668747 17.953  2.931       2.895   6.5196  22.8371     0.23      nan      nan    5.411  nan      nan    nan   0.999     nan                                None       0.370      18.143       2.898       0.157      16.019       0.129
Gaia DR3 6281665617755284224 221.2211649 -19.1165919 11.970  0.990       2.334   6.2632  23.1662    -1.04      nan      nan    4.969  nan      nan    nan   0.964     nan                                None      -0.421      16.628      -0.999       0.019      19.003       0.020
Gaia DR3 6272446487634404864 215.2646390 -25.2742923 14.640  1.887       2.945   5.0275  23.2810    -2.72      nan      nan    4.809  nan      nan    nan   1.013     nan                                None       0.038      15.895       0.582       0.030      12.959       0.030
Gaia DR3 6272211432664624640 216.8612307 -24.3907764 12.994  1.352       1.591   4.5818  23.2835    -2.48      nan      nan    5.729  nan      nan    nan   5.734     nan                                None      -0.097      18.983      -1.106       0.135      17.348       0.135
Gaia DR3 6277420124186481664 212.3225260 -21.3363719 17.891  2.870       2.808   2.4483  23.3821    -1.64      nan      nan    4.665  nan      nan    nan   1.135     nan                                None       0.251      15.563      -1.587       0.177      17.625       0.146
Gaia DR3 6292290847153598080 207.4833807 -19.4731928 11.834  1.029       1.489   6.8176  23.4813    -1.16      nan      nan    5.378  nan      nan    nan   1.080     nan                                None       0.692      17.978       1.132       0.021      19.608       0.022
Gaia DR3 6292435192414626304 206.3660537 -19.4104924 16.111  2.498       1.152   7.8699  26.5796    -1.16      nan      nan    5.332  nan      nan    nan   0.999     nan                                None       0.778      17.822       2.021       0.064      18.187       0.057
Gaia DR3 6295833507977499136 207.3091076 -15.6982958 12.261  1.091       2.900   8.3725  28.1464    -0.12      nan      nan    5.312  nan      nan    nan   1.135     nan                                None       0.698      17.805      -2.537       0.016      18.093       0.016
Gaia DR3 6303274594653546240 214.2158515 -12.4683900 18.173  2.570       2.361   7.8199  28.7008     0.82      nan      nan    5.582  nan      nan    nan   2.640     nan                                None       0.135      18.698      -1.894       0.560      20.596       0.570
Gaia DR3 6288523130043436160 205.5776060 -22.0320662 18.923  2.806       2.787   8.6700  29.1804    -1.89      nan      nan    5.173  nan      nan    nan   1.102     nan                                None       0.817      17.210      -2.189       0.503      17.662       0.263
