Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4923860051276772608,0.18555746500007905,-54.83083281791827,10.588468,1.3769226,1.8650529435542454e-14,0.0,0.0,21.18428993,,,16.164144500365733,nan,,,0.9061898,,                             None,-202.71110344692184,-71.61254357028736,-202.71110344692187,0.008062241,-71.6125435702873,0.008971466
Gaia,DR3,4923860051276772480,0.18443335873761696,-54.82999470869775,15.392372,2.5293856,0.8933083706550008,0.001059085427740662,0.5233534354375065,21.184654544006,,,16.30205237315852,nan,,,1.0422074,,                             None,-204.44091181099145,-72.22130823986308,-207.5064586719944,0.059616525,-72.38615896671534,0.06513982
Gaia,DR3,4923848227231122688,0.19672391148310403,-54.850244899489155,18.578478,3.9259987,1.9912821122197857,0.02044937488472263,1.8769672751316129,21.184733980954423,,,15.688205036122133,nan,,,1.1329734,,                             None,-196.73924095297056,-69.51156763795538,-203.32159962540482,0.1508261,-69.30400347582717,0.16901788
Gaia,DR3,6491596403638720512,345.9880745594565,-59.03761482130164,16.078835,3.2809572,2.1461747199037124,8.790169062537379,9.615723632084663,30.24733305675768,,,15.899596132487218,nan,,,1.385587,,                             None,-197.38841657197207,-22.66673173566005,-203.61397552309128,0.04676687,-26.270811230318596,0.054586038
Gaia,DR3,4702658893251422592,8.53006340828794,-69.4102798277907,15.70385,3.087902,1.61558681041197,15.05981857850253,18.399865838630028,22.773184912637554,,,14.557219895369249,nan,,,0.9618396,,                             None,-178.41315653681409,-70.69154495173954,-175.27395095742438,0.03863285,-66.85404321184504,0.038283717
Gaia,DR3,6535472552583868928,354.2668516280953,-41.856395701144415,15.996017,2.874158,2.6942928995683975,13.545711610948132,25.123031654402748,20.513844179818086,,,12.396544404213914,nan,,,0.95290756,,                             None,-155.97282876080115,-55.21339420029744,-161.07896710690957,0.04473266,-60.06144356520015,0.039417487
Gaia,DR3,6585308088911800192,327.85219639968483,-37.82719359821642,14.936476,2.8239222,1.614351866932292,27.65659127969003,29.417806921474778,39.839392382508876,,,16.344171406891547,nan,,,5.0982723,,                             None,-182.3461175919309,-21.74377728714341,-177.56617150434832,0.12443162,-24.588247872688587,0.12537086
Gaia,DR3,5033093954515880832,16.427986066619884,-28.84422147053375,12.783406,2.207017,2.8313675539901655,28.50697794272682,29.775750381369424,-4.551204270505556,,,19.79500502380281,nan,,,1.4265671,,                             None,-232.53649400030224,-150.68972161944555,-221.15780139454665,0.021143746,-147.50763826061865,0.029233491
Gaia,DR3,6392691308334691328,339.9264047568744,-64.65445105655856,18.19243,0.37038422,2.77339265694582,14.050074138740571,30.241997565758734,33.400523735064255,,,11.592388585547434,nan,,,0.9550011,,                             None,-140.58914660013951,4.406404279635055,-140.67250841611917,0.099765144,-2.370677832987671,0.12381722
Gaia,DR3,6442469090237336704,301.15787229882613,-62.402461120658025,19.129803,3.4004936,2.284356450839327,30.48449504461736,32.44456257507879,48.49707241002447,,,16.24990361873044,nan,,,0.9968301,,                             None,-119.46947954277488,100.3760869007096,-126.68850265390009,0.19551603,103.39642264976652,0.20037271
Gaia,DR3,4687800672935664384,24.23549586948678,-71.30697493314882,17.341597,3.226326,1.7690394463991352,19.453424300256064,33.98613663956247,18.644191993993353,,,11.714784776043519,nan,,,0.9667768,,                             None,-129.15785509654336,-90.62588724661225,-128.50542810758208,0.10263082,-86.30606800818933,0.07704291
Gaia,DR3,4741721930046784768,39.74440528679208,-52.95968172936649,14.8333435,2.5905075,1.5056891608957061,23.073656035117153,34.38576297160569,-1.6344933166460334,,,12.300284636966557,nan,,,1.0770148,,                             None,-110.7197910037525,-132.32123585943455,-112.02984742612117,0.018725967,-135.99917187042604,0.020343866
Gaia,DR3,5017679969726394880,29.46653589791435,-33.41094840906603,9.22614,0.8337374,2.6343661417871185,29.599710609584744,34.78642734403915,-11.690297322010284,,,14.20154553998839,nan,,,0.94716924,,                             None,-148.06676185258465,-128.66667180010938,-141.241359867303,0.009458822,-132.6183980069237,0.012038137
Gaia,DR3,6493539408187567104,345.6295006542551,-56.49402373949303,19.341932,0.67588615,0.6874837515458758,8.360484962828322,36.04495081236379,30.12082002443424,,,10.404488662032419,nan,,,0.99680966,,                             None,-129.03173096693183,-17.090751076708642,-129.6193075140019,0.17125358,-18.479468684861676,0.22762497
Gaia,DR3,2377940082591656576,349.2039779797099,-29.418760132425994,11.831179,1.5788012,1.7477055425161057,26.612358566648616,37.31520903356198,20.065780326138974,,,12.4533323585618,nan,,,1.0536991,,                             None,-155.79998397522277,-58.98541143313776,-153.02203933526613,0.012548026,-55.3337165861494,0.011899704
Gaia,DR3,4621352894595893632,82.0753999029267,-81.77734022272635,9.631953,1.4896955,0.866609288955509,34.84777493755341,40.81894841334858,20.594118928875965,,,32.93718086242006,nan,,,0.97097105,,                             None,-24.1132268840676,-438.77028017991506,-29.644311347845708,0.012079666,-441.1398593215163,0.012303089
Gaia,DR3,6473342345954736640,302.57061594162815,-53.120741911035644,16.237247,2.9961205,2.092302651807187,32.96244339586886,40.95644186976523,52.06047586899307,,,13.290898766630095,nan,,,1.0094256,,                             None,-101.03192620582497,57.13255350446282,-105.73256240667529,0.04862226,53.62956665963719,0.042104423
Gaia,DR3,4713418988918539392,29.979398665711592,-61.534938369997185,15.208553,2.6887665,2.4610820327997707,16.887999608718548,43.084835792183895,9.725057411863608,,,10.167265953838003,nan,,,1.1366063,,                             None,-105.35934312529567,-93.89035959696547,-110.06061016075014,0.030419003,-96.28276430035783,0.02695368
Gaia,DR3,6474757451779039488,310.39816597947834,-50.824773898172104,15.509204,2.45934,1.598976010085344,29.70165443221537,48.424323942883845,49.455045109065736,,,10.961965428863062,nan,,,1.0427738,,                             None,-97.52481664566979,32.66890935857563,-98.69661258090733,0.03247538,29.16457281484039,0.031700358
Gaia,DR3,5482551183847322496,94.06358275950254,-59.22018874680897,7.642215,0.63153505,0.9310405226608367,46.97062787874764,50.92872330644648,-4.910170209269312,,,15.23548732497521,nan,,,0.93722826,,                             None,28.84628170894035,-211.225527394954,26.93283738476994,0.022157518,-208.92755308889355,0.02117842
Gaia,DR3,6725883502428671616,272.5198328136881,-40.40432054362211,10.066345,1.4882727,2.2607590583061383,56.78924754379355,52.01177768158942,64.14393954025701,,,25.645634674768875,nan,,,0.88954484,,                             None,-39.94318725378693,86.40760979813005,-50.97514223339034,0.015893495,91.66924292208705,0.01199273
Gaia,DR3,5208967402089840512,123.31997346468758,-78.6123418760082,14.129404,2.4339628,2.3617644658160706,42.336832193012484,52.066485386727656,19.541719411253887,,,12.994750163693588,nan,,,1.1298401,,                             None,100.47674276991441,-142.40409255435526,94.00687952372641,0.016312044,-142.39226560896182,0.020075114
Gaia,DR3,4626674977550598656,46.44526295935303,-78.59583207908584,15.659952,2.6725378,2.08544501434511,28.35058721412321,52.114393596928196,19.66185476248491,,,10.257465852086966,nan,,,1.1161027,,                             None,-81.17468536916707,-110.97019617280091,-77.52214234059929,0.033646453,-108.32544993290159,0.036055572
Gaia,DR3,6726779325188516992,276.6224959272295,-39.497286996394976,14.709076,2.82695,2.527395418619995,55.266195575864295,52.63730575480342,63.86407212160974,,,20.45791428329175,nan,,,1.0339699,,                             None,-50.059119131217116,62.671650055879226,-51.814065334929005,0.028546747,51.91387086589992,0.023710504
Gaia,DR3,6475610668507059456,306.5329081436976,-49.850359762768626,19.439669,3.2684517,0.7170792913493265,32.33357023159319,53.296474276484844,51.459380411420916,,,10.632171132137449,nan,,,1.0591006,,                             None,-87.99646215684193,34.50451731476724,-86.81213431928566,0.3365878,33.417970215127006,0.35988352
Gaia,DR3,2486388560866377856,33.11800785372845,-8.071714161484985,13.719021,0.3147831,1.7211830703613527,53.59928248428031,53.65283031173803,-31.996076459930283,,,59.75689361890807,nan,,,0.97504884,,                             None,-594.9462490747312,-431.69489380817953,-609.2418829042279,0.02010926,-447.99701742242235,0.018775009
Gaia,DR3,5484357574075622784,99.23843480372717,-58.01618164759638,9.826643,1.0412159,2.0947855773738895,49.80743708276365,54.34621576101809,-5.733935529375134,,,14.978513409520442,nan,,,0.9149572,,                             None,45.05216018691297,-204.47710836706696,51.580967403576395,0.012181472,-205.53861929794132,0.0140438555
Gaia,DR3,4699637881974468864,33.92140890880074,-65.19661883084177,12.588522,1.6700468,2.042068567919099,19.440112446246786,54.515290556658734,11.117853524637763,,,9.189847030345582,nan,,,1.23603,,                             None,-90.49433004381041,-89.28898453351947,-88.83525860291306,0.014351657,-85.69755025231564,0.013236057
Gaia,DR3,5271650010235862144,131.5818179487506,-67.99412526750508,9.754431,0.98893166,2.36959881189597,52.03482788833003,54.88197200617724,11.791414045368471,,,15.817503631327352,nan,,,0.9443227,,                             None,143.60101403745304,-164.57894708943513,136.48249376338714,0.012411964,-168.008057574062,0.012046707
Gaia,DR3,4699637881974468992,33.92185836713285,-65.19753930217,15.992922,2.6989431,2.19964975260217,19.440547804733512,56.00299453561559,11.118439855771816,,,9.056446445433666,nan,,,1.3106756,,                             None,-89.1801501188656,-87.99315200645398,-89.28820577326752,0.050357718,-83.79499326375887,0.045698825
Gaia,DR3,4953252780224555008,37.166648330078125,-38.11030072889296,19.622221,1.0231247,2.8985112088781264,29.93981905145961,56.25945023591423,-13.105887259993267,,,9.936513711313282,nan,,,1.0077944,,                             None,-93.28227474192786,-99.90756159605274,-91.50939554647303,0.2524145,-94.10060485660163,0.40825725
Gaia,DR3,5080860106881073152,57.769329044650405,-27.17899742423909,15.697902,2.910534,1.5536029661395783,49.60396467921799,56.32252737439602,-33.57698396409344,,,14.0938305341354,nan,,,1.0228229,,                             None,-82.28451216546827,-149.5632207179064,-77.6705762781405,0.021290658,-149.42712778562426,0.030324511
Gaia,DR3,4050221848996574080,270.28079891236877,-30.083905046706064,18.651785,1.2798347,2.8217358018349383,65.75795566869145,56.623088248352886,66.17809508618733,,,32.993058969382176,nan,,,2.0354204,,                             None,-35.2510429329165,30.233614187813313,-20.521120811189295,0.6489067,17.264168821412845,0.4979254
Gaia,DR3,4062391862176231040,270.78711227021245,-29.093237490889074,18.802523,1.9141464,2.38715705255251,66.24933710294829,56.851271319925466,66.20217063341688,,,33.360575558965955,nan,,,1.8025111,,                             None,-39.33880150467231,22.352615510303792,-28.764384904334484,0.7658597,9.313153063137399,0.56197876
Gaia,DR3,4050386642522109824,270.9276274163695,-29.137787284230562,19.310555,2.1793957,2.3259027030560144,66.13744322175397,56.939641770365256,66.18755070460826,,,31.8031124702211,nan,,,2.1453958,,                             None,-38.47934133632905,21.609032111350178,-24.79459021084643,1.1170119,14.132752013916718,0.7146998
Gaia,DR3,4062820637237883520,271.56163048579737,-28.328186254136927,19.020441,2.2046986,2.9941748172309217,66.41709645222247,57.01538996617529,66.1673894154266,,,32.51603974596203,nan,,,1.8567127,,                             None,-43.84639789290711,15.457980162330294,-23.34661646197666,0.802965,16.45872674347046,0.56092197
Gaia,DR3,4062546549552946432,269.1553031476423,-29.083977478415363,18.814371,2.3995495,1.4811118085461186,67.15081281116153,57.0995875000116,66.32074508242853,,,36.75594256146667,nan,,,1.8844595,,                             None,-30.211036257070823,25.053832197549262,-23.289827273042523,0.7244161,15.899311231683177,0.50816196
Gaia,DR3,4056334446338479616,269.3556765326959,-29.405167948762724,19.117853,1.4013863,2.220380021173691,66.79087768318038,57.10872327091345,66.28940147363765,,,33.649434739379366,nan,,,1.7672155,,                             None,-29.13526565508813,25.5262596322671,-17.205551003715872,0.98630583,15.242170093674076,0.6000107
Gaia,DR3,4062254977122597120,269.95647110629176,-29.730107495046745,19.25126,--,2.246904601102991,66.20982649148272,57.30211336367686,66.2277264691936,,,29.54720108988952,nan,,,1.4612262,,                             None,-29.471652895836186,24.614061674193852,-29.16270798606709,1.0222119,10.621847220670421,0.75791097
Gaia,DR3,4044030739471950208,269.17291446443727,-31.49526379958694,19.453495,--,2.596605208932685,65.26755208503592,57.406610944525696,66.12505269632061,,,26.56968208237361,nan,,,1.2123592,,                             None,-21.94113619976467,33.73017192433559,-16.60425905859368,0.77731353,20.200744370793164,0.56985664
Gaia,DR3,4050175016764290304,270.6770783701692,-30.158834812156027,18.892887,1.6658382,2.92449875707277,65.4831536551359,57.58206612365881,66.14083965965308,,,26.44593271589722,nan,,,1.6144563,,                             None,-30.548665066595657,24.614701085735838,-27.37961556698015,0.8957147,8.621368485270299,0.5018566
Gaia,DR3,4062339914379652992,269.4552403648445,-29.318951507689686,19.18705,1.9955139,1.857910855751148,66.80369379363471,57.594539770918,66.28844045964003,,,29.841127451605832,nan,,,1.6192242,,                             None,-26.48884093855208,21.98709102388542,-28.005930396216566,0.86476123,10.398206225317441,0.6328348
Gaia,DR3,2472817529363397760,13.52165489732523,-10.750158122800931,15.529151,2.7528706,2.330231656100178,45.323652491994444,57.61561172686862,-12.732910976077447,,,12.39103605855199,nan,,,1.1231107,,                             None,-148.20879463298286,-84.57746200403477,-146.6011548619379,0.04258784,-90.44825099337281,0.040453874
Gaia,DR3,4062295796464762112,270.4855603135147,-29.340882847046252,19.43742,1.7346916,2.1663845863503868,66.22251574173778,57.860387013179945,66.21275292102818,,,27.10932261119019,nan,,,2.101881,,                             None,-30.17925606691771,19.880397365516774,-22.255067328637246,1.221507,10.367816273047781,0.9006609
Gaia,DR3,4062396539246882048,270.9023039903032,-29.112020004851637,18.932621,1.7019577,2.3455413746294833,66.17139017194401,57.91199348891407,66.1912022533476,,,26.817760133292637,nan,,,1.3130205,,                             None,-32.29897130352024,18.060237275198382,-24.047240426705187,1.0881771,7.6800939476029,0.6011106
Gaia,DR3,4702783344222728960,11.239060562904474,-68.89458624271359,19.185526,2.8327503,1.4549314754199347,14.944016428679506,58.19340106814564,21.581740805709426,,,8.640292845104204,nan,,,1.0190226,,                             None,-104.61051176820725,-46.97364914822634,-103.64604742707327,0.25508872,-44.505281247488554,0.2694256
Gaia,DR3,4063248557703531776,271.54034592214913,-26.88145598009984,19.128006,--,2.9369121620536927,67.55751252551434,58.256404363462174,66.20530945434464,,,28.76431527076499,nan,,,1.7115589,,                             None,-38.65366820342899,3.539900090801316,-20.87638157253217,1.0309626,4.600016546069785,0.65654325
Gaia,DR3,4057324973103063040,267.9647863232083,-29.12246745202925,19.20692,3.9080963,2.824943765766191,67.76915212258405,58.37247463777425,66.37805417593106,,,28.80670728931017,nan,,,1.490029,,                             None,-16.156247848079186,20.10756666088624,-8.474435846782512,0.6433425,4.768426275227576,0.40463263
Gaia,DR3,4050233707300299520,270.26324233537014,-30.04367256288469,18.86066,1.5236053,2.6782443865553427,65.79874473805054,58.51277876976435,66.18247012739046,,,24.485234914978598,nan,,,2.0463762,,                             None,-26.06688048287062,22.20133866778592,-20.89474799306357,0.7404073,9.380939422964701,0.55288565
Gaia,DR3,4188741454718209024,297.4629357734756,-13.055734991972932,15.818697,3.2343788,2.85074809743701,63.78025172228986,58.57944709632961,55.90003840644039,,,21.702903144589598,nan,,,1.0140401,,                             None,-144.94339106499973,-78.89090883104588,-157.89542904398849,0.045015216,-80.42619725574502,0.026391728
Gaia,DR3,4056190414645248768,268.68338459142973,-30.130687761805717,19.530306,--,2.8294627053884995,66.59163785633737,58.683552380754094,66.27666143072939,,,25.3628084530747,nan,,,1.4410384,,                             None,-18.22262856445931,23.847789579473854,-14.18892343486859,0.9484194,9.267072363595988,0.69236135
Gaia,DR3,4062489512600267904,270.3133253155595,-28.456073491169345,18.753946,1.4230003,2.1667509489612087,67.00603395675867,58.71823019546921,66.27225214035788,,,25.995267276423842,nan,,,1.8680797,,                             None,-27.959373375386296,13.494970937728477,-17.90678854293361,0.8590347,7.175491445503712,0.62061065
Gaia,DR3,4061724050434516352,264.6848354329383,-26.814578265817396,19.840124,3.2150784,2.0303731416124973,71.36845094984328,58.815196354455146,66.50609179572533,,,40.792689415438446,nan,,,1.7149698,,                             None,6.501105093805447,5.660692179134088,-10.352389170311534,1.2126155,1.0979379258680992,0.9515144
Gaia,DR3,4062335580891357184,269.52893513417786,-29.40716749801693,18.995832,--,2.55243391088374,66.6947004416034,58.90277217566668,66.27822633324894,,,24.9943071239345,nan,,,1.3187765,,                             None,-22.59004210889853,18.939892117517704,-17.981651451095484,0.7181821,6.305187003837062,0.4470992
Gaia,DR3,4063395823493383808,268.3668818415131,-28.260910924902916,19.253777,3.9904366,0.9110245950483985,68.22556020076874,58.9879456627269,66.40257750202063,,,27.52894412748701,nan,,,1.7529733,,                             None,-17.86805587828964,13.362034608922368,-12.585197341354284,0.944654,13.571766851614715,0.6719544
Gaia,DR3,4057390428444109056,268.1931964648909,-28.38427398030672,19.570833,--,2.2565833613617157,68.22354010334776,59.05301584680829,66.40543447577998,,,27.311266243514527,nan,,,1.4115762,,                             None,-16.686196782599513,14.104839802164769,-10.116647545957983,0.967407,2.8959279420742465,0.6467235
Gaia,DR3,4062531092001359488,269.42742254194707,-29.177239972124628,18.798862,1.8765488,1.0106479674219777,66.92937039559452,59.054640627811374,66.29865421500345,,,25.008660851036126,nan,,,1.951989,,                             None,-22.046820125624482,17.566739777610316,-22.932650314596135,0.9062245,12.312677693097264,0.5920662
Gaia,DR3,4050388940258967680,270.9985021662937,-29.049978050866514,19.164686,2.130661,1.6905593258395997,66.16665786882973,59.14212989508398,66.1861672297975,,,23.704881804164945,nan,,,2.156647,,                             None,-29.0483810180104,15.581993013460599,-24.395980188593413,1.0088426,8.530346722093885,0.67186695
Gaia,DR3,4062887952263050624,270.9994479066523,-28.057675286483036,18.833607,1.6540699,2.402804434628601,66.93853456927611,59.25597311446727,66.23012101013457,,,24.5683312336776,nan,,,1.6933372,,                             None,-30.111546350728798,10.206434026214335,-17.76742444897579,0.8008239,8.62722618870451,0.5945083
Gaia,DR3,4044185805051149568,269.37584291566856,-30.66576126190852,19.823786,1.5742817,2.619880819293414,65.79992246009381,59.26535310835184,66.19299902012818,,,23.001012051374847,nan,,,1.4485582,,                             None,-20.01699661522788,24.516608188386833,-14.884932810779947,1.5396576,12.896016295094508,1.0883576
