GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 4130539180358512768 252.4260055 -19.5430579 11.995  1.215       0.000   0.0000   0.0000    -2.02      nan      nan    6.394  nan      nan    nan   0.961     nan                                None     -16.662     -53.564     -16.662       0.018     -53.564       0.013
Gaia DR3 4130538428745313920 252.4257744 -19.5471661 17.894  3.024       0.500   0.0041   0.9797    -2.01      nan      nan    6.354  nan      nan    nan   0.997     nan                                None     -16.558     -53.231     -16.577       0.158     -53.901       0.120
Gaia DR3 4125396974945410816 252.9198151 -23.8068086 18.355  3.386       2.444   4.2884  13.0377     0.85      nan      nan    6.183  nan      nan    nan   1.042     nan                                None     -15.942     -51.908     -15.377       0.252     -48.772       0.167
Gaia DR3 4326106805331351168 249.8455794 -15.3945984 16.116  2.799       0.492   4.8234  13.5405    -4.33      nan      nan    6.552  nan      nan    nan   1.021     nan                                None     -18.002     -54.335     -18.059       0.060     -53.659       0.038
Gaia DR3 6051296899281579008 249.6077334 -22.4338293 19.113  0.998       2.368   3.9087  14.7916     0.57      nan      nan    6.014  nan      nan    nan   0.984     nan                                None     -16.599     -50.140     -16.181       0.360     -53.113       0.233
Gaia DR3 4128494161758754816 256.3625910 -19.2999838 19.394  2.857       2.866   3.7204  15.9251    -2.95      nan      nan    6.954  nan      nan    nan   1.069     nan                                None     -16.550     -58.639     -12.445       0.444     -59.531       0.313
Gaia DR3 4115561877798828032 256.8389523 -21.7360605 16.959  2.964       2.384   4.6754  15.9873    -1.34      nan      nan    6.041  nan      nan    nan   1.419     nan                                None     -14.208     -51.099     -11.913       0.131     -49.110       0.091
Gaia DR3 6052250901715293056 246.3815662 -21.1079126 14.505  2.255       1.541   5.8796  16.3060     0.36      nan      nan    6.556  nan      nan    nan   1.043     nan                                None     -19.199     -54.284     -17.284       0.031     -53.352       0.021
Gaia DR3 4140165408958514304 254.8415083 -14.5050291 16.643  2.824       0.351   5.5418  16.5667    -5.99      nan      nan    6.718  nan      nan    nan   0.963     nan                                None     -16.583     -55.988     -17.077       0.076     -56.049       0.054
Gaia DR3 4115208419179904896 257.8507690 -22.8024844 16.250  2.593       1.482   6.0167  17.9723    -0.77      nan      nan    6.139  nan      nan    nan   1.022     nan                                None     -14.066     -52.042     -15.223       0.064     -53.572       0.041
Gaia DR3 4128808415914591360 254.4884995 -19.6974770 18.427  3.079       0.626   1.9489  19.7455    -2.32      nan      nan    5.704  nan      nan    nan   1.031     nan                                None     -14.196     -47.965     -13.699       0.226     -48.529       0.162
Gaia DR3 4114905946083137024 259.1809855 -22.3441693 19.945  2.803       2.018   6.9013  20.5952    -1.32      nan      nan    6.810  nan      nan    nan   1.044     nan                                None     -15.058     -57.860     -12.677       0.683     -56.209       0.471
Gaia DR3 4131652508898490496 250.7494490 -18.5822235 13.355  1.766       2.823   1.8531  20.7691    -2.33      nan      nan    7.344  nan      nan    nan   1.013     nan                                None     -19.817     -61.277     -17.582       0.023     -65.033       0.014
Gaia DR3 4334176537780347392 252.9860650 -11.6547821 17.663  3.088       2.455   7.9067  21.5743    -7.56      nan      nan    6.523  nan      nan    nan   1.002     nan                                None     -16.793     -53.781     -13.420       0.140     -53.924       0.093
Gaia DR3 6046802542422240000 252.6469665 -24.8580543 14.378  2.157       2.761   5.3189  22.3639     1.63      nan      nan    5.789  nan      nan    nan   1.128     nan                                None     -15.013     -48.537     -14.606       0.033     -45.192       0.021
Gaia DR3 6245378469865308800 243.6091606 -20.4282886 10.793  1.158       2.492   8.3320  23.0900     0.54      nan      nan    6.652  nan      nan    nan  37.848     nan                                None     -20.396     -54.748     -19.850       0.725     -58.200       0.547
Gaia DR3 4134600780629259648 258.1422632 -18.5162737 16.478  2.555       2.341   5.5002  23.3253    -3.82      nan      nan    5.762  nan      nan    nan   0.957     nan                                None     -13.102     -48.665     -14.301       0.080     -51.243       0.056
Gaia DR3 4135707748316916992 257.9430243 -16.5257579 17.304  2.843       2.352   6.0509  23.6602    -5.17      nan      nan    5.797  nan      nan    nan   1.057     nan                                None     -13.252     -48.756     -15.102       0.109     -46.557       0.080
Gaia DR3 4115580977497769216 256.6857787 -21.5608393 18.883  3.340       1.093   4.4696  24.5870    -1.43      nan      nan    5.641  nan      nan    nan   1.049     nan                                None     -13.317     -47.694     -12.124       0.295     -48.211       0.205
Gaia DR3 6246327485840337408 244.1405519 -17.9451553 15.049  2.305       2.091   8.0061  24.6947    -1.28      nan      nan    6.006  nan      nan    nan   0.958     nan                                None     -18.259     -49.464     -16.940       0.037     -51.759       0.026
Gaia DR3 6032434025701204096 250.4420004 -28.4610254 18.510  3.392       1.558   9.0997  24.8506     4.55      nan      nan    6.377  nan      nan    nan   0.951     nan                                None     -17.314     -52.912     -16.024       0.257     -54.562       0.181
Gaia DR3 4142477956787283968 256.7937373 -12.3764226 17.436  2.898       2.628   8.3046  24.9835    -7.83      nan      nan    6.045  nan      nan    nan   1.035     nan                                None     -14.232     -50.168     -13.217       0.113     -53.360       0.083
Gaia DR3 4121701443332275456 262.6378183 -19.3592618 12.560  1.333       2.635   9.6293  26.3640    -3.98      nan      nan    6.351  nan      nan    nan   0.771     nan                                None     -12.681     -54.060     -13.970       0.018     -57.344       0.013
Gaia DR3 4134037860717405440 252.5230082 -16.0023650 18.163  3.642       2.002   3.5419  27.0764    -4.48      nan      nan    5.513  nan      nan    nan   0.975     nan                                None     -14.336     -45.957     -14.738       0.178     -43.665       0.133
Gaia DR3 4115470201703010432 256.4478677 -22.2940207 17.862  2.905       2.202   4.6558  27.4292    -0.87      nan      nan    5.549  nan      nan    nan   1.050     nan                                None     -13.179     -46.917     -10.669       0.177     -46.338       0.117
Gaia DR3 4331373195444583552 246.4788144 -12.8361110 17.488  2.964       1.525   8.8065  28.2675    -5.31      nan      nan    5.897  nan      nan    nan   0.939     nan                                None     -17.241     -48.393     -18.622       0.113     -47.094       0.085
Gaia DR3 6031266069477063168 250.6261213 -29.8440795 19.569  0.457       1.854  10.4294  28.5982     5.46      nan      nan    6.335  nan      nan    nan   0.948     nan                                None     -17.138     -52.434     -17.563       0.438     -49.995       0.345
Gaia DR3 6031266065164835712 250.6288385 -29.8556341 15.097  2.356       1.865  10.4405  28.7391     5.47      nan      nan    6.306  nan      nan    nan   1.070     nan                                None     -17.059     -52.195     -18.381       0.040     -50.097       0.032
Gaia DR3 4334212787304725248 253.2852382 -11.3245846 14.109  2.002       2.351   8.2600  29.1433    -7.85      nan      nan    7.341  nan      nan    nan   1.078     nan                                None     -18.776     -60.478     -22.066       0.020     -62.030       0.015
Gaia DR3 4137126977322323968 262.9056574 -15.5015689 16.181  2.687       0.719  10.7760  29.2992    -6.73      nan      nan    6.587  nan      nan    nan   1.043     nan                                None     -13.042     -55.589     -13.418       0.064     -56.513       0.040
Gaia DR3 6033976601846029824 252.3110453 -26.7504831 14.216  2.065       2.263   7.2082  29.4196     3.00      nan      nan    7.505  nan      nan    nan   1.022     nan                                None     -19.606     -62.758     -16.219       0.028     -63.921       0.018
Gaia DR3 6049907911157579520 243.0668403 -24.2142966 16.019  2.459       1.885   9.8573  29.8242     3.24      nan      nan    5.980  nan      nan    nan   1.066     nan                                None     -18.490     -48.992     -16.168       0.079     -49.500       0.066
Gaia DR3 4115849193935971584 258.8913423 -20.9991411 17.355  2.855       2.593   6.2366  29.9639    -2.21      nan      nan    5.551  nan      nan    nan   1.030     nan                                None     -12.371     -47.089     -13.096       0.118     -44.143       0.080
