Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2881784280929695360,0.3620977,39.3837942,10.593,0.694,0.0,0.0,0.0,-14.21,-14.21,0.77,3.684,F8.0,,,0.908,,Gaia_DR3,-9.696,-7.823,-9.696,0.01,-7.823,0.01
Gaia,DR3,2881421579531084672,358.885129,38.9208181,15.844,,4.108,1.2354,5.924,-13.87,,,3.672,,,,0.998,,,-9.755,-8.044,-7.713,0.115,-5.606,0.055
Gaia,DR3,2881086258548349952,1.8989898,39.4548526,12.465,0.961,3.245,1.1894,5.9247,-14.48,-1.08,0.82,3.66,G9.3,,,0.989,,Gaia_DR3,-9.535,-7.595,-7.421,0.009,-6.253,0.008
Gaia,DR3,2881809805919411328,0.3686588,39.7299225,18.869,2.578,4.518,0.3462,7.2437,-14.27,,,3.59,M3.2,,,0.999,,,-9.451,-7.559,-6.051,0.163,-7.187,0.144
Gaia,DR3,2881715900753580800,358.7077647,39.7547873,18.299,2.848,2.491,1.3281,7.5401,-13.99,,,3.629,M3.8,,,1.002,,,-9.65,-7.814,-9.17,0.114,-5.969,0.105
Gaia,DR3,2880703289200384384,0.8782832,37.7824289,16.035,2.242,2.054,1.6514,7.831,-14.01,,,3.68,M2.0,,,1.019,,,-9.656,-8.068,-10.426,0.046,-9.463,0.03
Gaia,DR3,2881679582510897024,358.3931977,39.3034766,17.969,2.843,4.188,1.5248,7.8904,-13.86,,,3.642,M3.8,,,0.992,,,-9.703,-7.96,-6.741,0.096,-6.708,0.086
Gaia,DR3,2881515278537264256,358.2011533,38.6863012,9.959,0.583,4.061,1.8176,8.8413,-13.71,9.23,0.35,3.713,F4.9,,,0.96,,Gaia_DR3,-9.902,-8.252,-9.023,0.017,-5.197,0.012
Gaia,DR3,2880653261421646720,1.8939851,37.7474906,18.958,2.978,1.064,2.0278,9.6942,-14.18,,,3.668,M4.1,,,1.072,,,-9.558,-7.944,-10.208,0.199,-7.44,0.164
Gaia,DR3,2882219584455171328,0.2155878,41.0403891,16.948,2.678,2.74,1.6604,10.5383,-14.47,,,3.592,M3.5,,,0.998,,,-9.465,-7.331,-11.092,0.049,-6.042,0.043
Gaia,DR3,2880243624621213312,1.1996023,37.22178,19.097,2.963,4.693,2.2597,10.7744,-13.96,,,3.67,M4.0,,,1.007,,,-9.607,-8.118,-5.98,0.288,-8.283,0.186
Gaia,DR3,384031103454486912,1.1158195,41.1544026,13.138,1.157,2.235,1.8616,11.1939,-14.63,-18.33,1.25,3.594,K2.5,,,4.014,,Gaia_DR3,-9.415,-7.215,-9.578,0.04,-5.53,0.037
Gaia,DR3,1921378088296079744,358.6440428,40.8156681,17.262,2.615,2.043,1.9435,11.3197,-14.17,,,3.598,M3.3,,,0.969,,,-9.572,-7.557,-10.95,0.083,-6.847,0.063
Gaia,DR3,2880644220514403712,1.5728981,37.7272618,16.527,2.563,2.004,1.908,11.8242,-14.12,,,3.792,M3.2,,,1.076,,,-9.902,-8.25,-11.415,0.064,-8.778,0.044
Gaia,DR3,1920964908146717312,358.2901799,40.0538296,18.788,2.825,4.781,1.7288,11.9849,-13.98,,,3.57,M3.7,,,1.024,,,-9.517,-7.676,-9.41,0.165,-4.079,0.144
Gaia,DR3,382866445763006720,2.9469252,39.5065383,15.908,2.197,3.096,1.9998,12.8002,-14.66,,,3.573,M1.7,,,1.035,,,-9.238,-7.296,-7.953,0.033,-5.351,0.026
Gaia,DR3,2879975098969535744,357.6264024,38.0438391,18.904,2.899,4.069,2.5201,13.1048,-13.49,,,3.762,M3.9,,,0.915,,,-10.066,-8.545,-10.539,0.232,-11.738,0.154
Gaia,DR3,379768434312816896,3.558047,38.7037556,12.875,1.013,3.323,2.5735,13.7793,-14.62,-7.68,1.06,3.777,K1.1,,,0.893,,Gaia_DR3,-9.722,-7.812,-7.911,0.01,-5.882,0.008
Gaia,DR3,1920962262446796800,358.1942825,39.8938935,18.868,2.891,2.0,1.7455,13.9086,-13.93,,,3.844,M3.9,,,1.003,,,-10.252,-8.307,-9.815,0.159,-9.868,0.151
Gaia,DR3,1921320398295315840,357.2634799,41.3239447,9.828,0.386,3.796,3.0558,14.9536,-14.03,-11.23,1.27,3.638,F0.0,,,1.026,,Gaia_DR3,-9.754,-7.698,-12.657,0.013,-7.482,0.013
Gaia,DR3,384351645453762560,0.0318435,42.4621655,18.053,2.611,1.334,3.0885,14.9928,-14.67,,,3.645,M3.3,,,1.231,,,-9.614,-7.18,-8.753,0.292,-7.736,0.168
