Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2775311010868306048,12.8206635,12.7879839,11.208,0.879,0.0,0.0,0.0,-21.24,-21.24,0.45,5.853,,,,0.974,,Gaia_DR3,5.283,-13.543,5.283,0.026,-13.543,0.02
Gaia,DR3,2779462384522124544,10.9526882,14.2837111,18.292,3.005,3.409,2.3527,8.1272,-21.64,,,5.72,,,,0.962,,,4.442,-12.524,5.06,0.196,-8.459,0.127
Gaia,DR3,2781058467384344320,10.9701012,15.1548602,9.986,0.699,2.122,2.9709,8.8738,-21.8,4.2,0.19,5.881,,,,1.016,,Gaia_DR3,4.573,-12.465,1.957,0.021,-12.731,0.015
Gaia,DR3,2774556127416406272,10.6425277,10.7614933,17.103,2.681,2.615,2.9416,9.2007,-20.98,,,5.958,,,,0.922,,,4.501,-14.686,1.409,0.103,-15.792,0.067
Gaia,DR3,2781058467383956608,10.9693488,15.154713,14.849,,0.476,2.9713,9.5665,-21.8,4.35,7.33,5.739,,,,5.019,,Gaia_DR3,4.463,-12.166,4.507,0.659,-12.74,0.459
Gaia,DR3,2777403862531719936,14.3279085,14.4234089,17.951,2.647,2.634,2.1956,9.6474,-21.43,,,5.624,,,,0.924,,,5.645,-12.323,3.605,0.184,-14.688,0.132
Gaia,DR3,2584527047455936640,16.6475283,12.3655472,14.158,1.879,4.036,3.7588,11.2045,-20.84,29.19,3.71,5.876,,,,1.265,,Gaia_DR3,6.804,-13.876,8.242,0.038,-9.087,0.025
Gaia,DR3,2779787741180366848,9.7699467,15.0644125,13.475,1.599,1.995,3.7348,12.0233,-21.85,-14.28,1.35,5.713,,,,1.028,,Gaia_DR3,3.977,-12.128,3.328,0.016,-9.815,0.013
Gaia,DR3,2781380315053683712,10.5374607,16.0285523,14.465,1.884,1.994,3.923,12.2093,-21.97,36.84,2.64,5.991,,,,1.042,,Gaia_DR3,4.483,-12.268,6.33,0.025,-13.979,0.02
Gaia,DR3,2781329393921360128,10.0843173,15.52231,11.214,1.052,4.176,3.8098,12.2802,-21.91,-9.49,0.76,5.709,,,,4.09,,Gaia_DR3,4.097,-11.916,4.753,0.114,-6.932,0.071
Gaia,DR3,2750534925085649536,9.4415703,10.3681867,16.941,2.742,4.237,4.1002,12.4228,-20.97,,,5.791,,,,0.942,,,3.902,-14.435,-1.232,0.109,-13.801,0.067
Gaia,DR3,2783515944592050048,16.3015159,15.2930792,13.989,1.74,2.18,4.2043,12.6266,-21.41,-14.43,2.37,5.814,,,,1.037,,Gaia_DR3,6.6,-12.397,4.048,0.022,-11.604,0.018
Gaia,DR3,2778295738261180928,13.911899,15.5471352,16.157,2.714,4.565,2.955,13.1815,-21.66,,,5.542,,,,1.096,,,5.409,-11.64,9.525,0.064,-15.032,0.055
Gaia,DR3,2777644994880922112,13.0579215,13.8790329,12.19,1.093,2.789,1.1152,13.2346,-21.42,-27.83,0.76,5.446,,,,1.161,,Gaia_DR3,5.003,-12.138,8.104,0.02,-11.341,0.016
Gaia,DR3,2750534925086232704,9.437985,10.3735754,10.142,0.644,4.26,4.0999,13.4243,-20.97,8.05,0.29,5.682,,,,1.171,,Gaia_DR3,3.827,-14.161,-1.222,0.042,-13.424,0.026
Gaia,DR3,2779694248332234880,8.842429,14.7812006,16.801,2.841,1.307,4.3473,13.5815,-21.85,,,6.014,,,,1.066,,,3.807,-12.888,4.74,0.09,-14.258,0.061
Gaia,DR3,2581242673080482176,15.786867,9.2751197,13.714,1.771,4.427,4.5622,13.9385,-20.28,-20.29,2.28,5.98,,,,2.222,,Gaia_DR3,6.585,-15.503,3.323,0.057,-10.974,0.035
Gaia,DR3,2787743906103189376,14.198051,17.3070035,17.568,2.924,2.806,4.7106,14.0333,-21.93,,,5.864,,,,1.03,,,5.836,-11.497,7.642,0.133,-8.534,0.099
Gaia,DR3,2582932996114396416,17.1329584,10.5494899,16.607,2.543,4.72,4.7795,14.4312,-20.42,,,5.793,,,,1.02,,,6.894,-14.49,11.988,0.088,-11.793,0.058
Gaia,DR3,2777967259162313088,11.5552017,14.4452626,14.076,1.808,4.61,2.0638,14.4379,-21.63,33.24,1.42,5.441,,,,0.971,,Gaia_DR3,4.447,-11.853,9.243,0.021,-14.078,0.017
Gaia,DR3,2581292219823119360,15.9916467,9.3979918,9.771,0.696,4.879,4.6013,14.5562,-20.29,16.86,0.28,5.708,,,,0.945,,Gaia_DR3,6.362,-14.747,1.557,0.022,-11.374,0.019
Gaia,DR3,2781750472515074560,13.0135147,16.8052867,16.912,2.957,4.132,4.0216,14.8,-21.94,,,6.182,,,,0.992,,,5.661,-12.335,10.982,0.095,-13.166,0.073
Gaia,DR3,2782050875414728192,12.096021,17.5728181,19.632,2.891,3.26,4.8356,14.8348,-22.13,,,5.754,,,,1.047,,,4.913,-11.097,8.316,0.477,-13.109,0.361
Gaia,DR3,2776497486993979008,14.0309411,12.4346199,17.633,3.274,3.67,1.2328,14.8745,-21.08,,,6.394,,,,0.91,,,6.291,-14.998,11.011,0.158,-13.519,0.114
Gaia,DR3,2751403019580423424,9.0559882,11.0985373,19.228,3.282,4.266,4.052,15.395,-21.14,,,5.556,,,,1.028,,,3.598,-13.53,8.234,0.422,-15.392,0.267
Gaia,DR3,2781863511759292800,12.5938613,16.9043589,18.116,3.168,4.555,4.1222,15.6739,-21.98,,,6.224,,,,1.051,,,5.523,-12.356,5.067,0.214,-6.397,0.149
Gaia,DR3,2581863690991668480,13.2937499,9.522221,14.398,1.971,2.22,3.2986,15.839,-20.54,19.12,3.89,5.465,,,,2.851,,Gaia_DR3,5.107,-14.025,2.555,0.064,-14.2,0.046
Gaia,DR3,2582957533262630912,17.6681777,10.3144631,15.54,2.09,3.782,5.3544,15.9491,-20.32,,,5.893,,,,1.002,,,7.221,-14.857,7.139,0.054,-19.555,0.034
Gaia,DR3,2582612351035416704,13.1656195,10.6882503,18.524,3.132,0.319,2.1267,16.3068,-20.79,,,5.383,,,,0.9,,,4.984,-13.337,5.333,0.21,-13.241,0.165
Gaia,DR3,2787949033740856192,14.6325968,18.133836,18.357,3.155,1.464,5.6236,16.9892,-22.03,,,5.783,,,,0.937,,,5.923,-10.964,5.334,0.228,-9.279,0.184
