Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2308834780352875904,5.2377658,-35.9984716,12.04,1.044,0.0,0.0,0.0,4.71,4.71,0.33,4.652,,,,1.678,,Gaia_DR3,52.831,-46.94,52.831,0.015,-46.94,0.021
Gaia,DR3,2308834784647991168,5.2367569,-35.9975721,19.03,2.164,3.368,0.0012,7.338,4.71,,,4.498,,,,0.933,,,51.087,-45.391,50.394,0.173,-48.509,0.27
Gaia,DR3,4998559840475055104,5.5512776,-37.5050134,18.094,2.842,3.978,1.5273,17.1211,6.2,,,4.329,,,,0.968,,,49.28,-43.385,46.887,0.093,-40.655,0.13
Gaia,DR3,2312754230068365568,0.8137815,-34.5404915,19.523,2.918,3.341,3.8946,18.5009,0.13,,,4.428,,,,0.986,,,48.388,-46.94,51.173,0.214,-48.344,0.299
Gaia,DR3,2315296335311482880,5.3429589,-33.8302728,18.858,2.932,4.481,2.1699,19.0617,2.98,,,5.061,,,,1.076,,,57.529,-51.167,57.774,0.152,-46.391,0.266
Gaia,DR3,5000587717873604608,10.3848213,-38.0869854,16.111,2.376,4.755,4.6077,20.6955,10.33,,,4.431,,,,1.333,,,52.159,-41.68,51.548,0.046,-46.08,0.059
Gaia,DR3,2313293506162686336,1.4195803,-33.1086467,18.337,2.869,3.679,4.2701,21.1913,-0.66,,,4.381,,,,0.969,,,48.149,-46.152,48.247,0.112,-49.549,0.125
Gaia,DR3,2318275874384307712,7.6667718,-30.6533785,12.269,1.048,3.059,5.7168,21.4532,2.22,-17.47,0.66,4.704,,,,1.356,,Gaia_DR3,54.398,-46.53,52.343,0.018,-48.763,0.018
Gaia,DR3,2318275874384624256,7.6690968,-30.6528344,18.388,2.909,3.491,5.718,21.7007,2.22,,,4.6,,,,0.963,,,53.195,-45.5,52.057,0.175,-48.687,0.17
Gaia,DR3,4998559737395823616,5.5381206,-37.5021832,13.941,1.562,2.024,1.5228,23.4185,6.19,-36.96,5.39,4.209,,,,1.093,,Gaia_DR3,47.911,-42.191,47.002,0.013,-40.641,0.017
