Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,921952117778154240,121.72910641215296,42.291293750076996,12.761720657348633,2.9510278701782227,2.5020491330005745,16.74983607231167,8.60786306854488,26.819151215605682,21.061840057373047,0.8666595816612244,50.35499420555119,nan,,,1.3812941312789917,,Gaia_DR3,-237.51079766040343,-249.99507114630785,-224.67305594418417,0.025766024366021156,-273.246549725955,0.021908622235059738
Gaia,DR3,3144499458967932672,119.53643234079509,7.283595270088088,12.28748893737793,2.9994144439697266,2.1440765679073057,24.66372244775786,5.511757365880552,36.291149474697924,-1.8133211135864258,0.7906914949417114,76.28062631975945,nan,,,1.3123060464859009,,Gaia_DR3,-337.56761603609993,-64.30300063869903,-325.7097620122014,0.031164787709712982,-31.927940850846277,0.023141102865338326
Gaia,DR3,614543647497149056,145.29015483359296,13.208925979812514,9.442556381225586,2.2408971786499023,3.321855203662114,18.87918831882337,4.089083329592893,23.28067855798495,10.823298454284668,0.12650498747825623,86.61958910034566,nan,,,1.0575611591339111,,Gaia_DR3,-635.0734300229826,-87.88650060849355,-660.0385148963486,0.024300478398799896,-143.16885005857742,0.02017734758555889
Gaia,DR3,664214600677732864,126.32931321958031,21.26297407961963,20.402082443237305,2.526571273803711,3.904105283862919,9.389071608600766,2.6149521912305103,31.69974021922814,,,92.60057937573538,nan,,,1.1112114191055298,,None,-491.25692179490875,-227.60951486518343,-504.45372924629316,0.8961610794067383,-302.6708106861668,0.6912567019462585
Gaia,DR3,1037131492704550656,134.49033217941667,57.145892303867484,20.425195693969727,2.7130870819091797,3.4602094664977074,28.83171173361503,6.6534208892598965,16.7318424644151,,,72.71972162602633,nan,,,1.2436379194259644,,None,-455.41245033975844,-379.43229151118857,-403.0026663506626,0.7684265375137329,-387.61797329111994,0.6110278964042664
Gaia,DR3,798068940086479104,143.9127091741506,35.809996593021495,11.182262420654297,2.7309646606445312,2.946067068028874,11.783764942841062,2.7893835892501424,20.31630291330127,12.070564270019531,0.8688510656356812,88.9811810849401,nan,,,1.4151076078414917,,Gaia_DR3,-641.4768557078963,-260.3906988709452,-674.0793946509814,0.10581477731466293,-215.7696217331531,0.1122715100646019
Gaia,DR3,3372159045217009920,96.54174584642976,18.756661354398116,10.395798683166504,,0.6633804691393049,34.74645998150639,8.42003272505862,39.78436055794837,,,67.79338226262148,nan,,,3.326118230819702,,None,-72.23117491520527,-183.58534240286048,-71.83298293497515,0.6049792170524597,-193.05769600510635,0.4286268651485443
Gaia,DR3,798068905726303232,143.9106108359265,35.80898121341234,5.200430870056152,0.9341268539428711,4.522670826529268,11.78179264678897,2.790404994575556,20.31756373088239,14.227434158325195,0.11927688866853714,89.009238360773,nan,,,1.0087707042694092,,Gaia_DR3,-641.6622128705769,-260.47979356701927,-726.5138772891685,0.07000743597745895,-259.0574508049622,0.06208901107311249
Gaia,DR3,946632924007399936,107.50514340448903,38.52526941964586,9.934659004211426,3.1059560775756836,2.6642652339877895,23.59583957810175,7.445377814926443,31.749556678518612,,,165.2146994337292,nan,,,1.1360851526260376,,None,-449.87182879261377,-852.590463146303,-439.4204467281696,0.06558838486671448,-944.7934896029223,0.058826565742492676
Gaia,DR3,999747822484300800,90.29510135819429,59.59306278611283,10.417204856872559,2.7911243438720703,3.896127344076109,42.61750111040717,8.6585540754078,21.858290772674994,1.7847658395767212,0.2171977460384369,129.3014012527262,nan,,,1.1339737176895142,,Gaia_DR3,-12.89248919214532,-981.5946747891492,-104.94209374584324,0.022754013538360596,-928.6279422304801,0.025025108829140663
Gaia,DR3,3372159045216183552,96.54210989551521,18.75620888605506,6.484982013702393,1.1968059539794922,4.729205949581494,34.74631887263474,8.35070193335176,39.7844315447888,,,68.4141911114458,nan,,,2.7064156532287598,,None,-72.89645519134201,-185.26181751763312,-131.61803260888314,0.07294166833162308,-150.5645222715154,0.05153309553861618
Gaia,DR3,704966762213039488,133.16783218849463,28.315252421854034,11.682962417602539,2.9854936599731445,0.72519044459373,0.023562835411087748,0.03324612716618685,27.181652208710624,27.769577026367188,0.22728924453258514,79.65602364629241,nan,,,1.523175835609436,,Gaia_DR3,-487.1400926080512,-233.927069523586,-481.17628166127133,0.041495319455862045,-244.54437170112976,0.03246910125017166
