target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,csv_path
K2-25,1060,1060,1008,0,0.00891267681314614,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-25.csv
TOI-1470,318,318,189,0,0.0016711269024649012,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1470.csv
TOI-1683,265,265,170,0,0.0015031300180901228,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1683.csv
TOI-2445,255,255,164,0,0.0014500783703928243,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-2445.csv
TOI-1224,154,154,154,0,0.0013616589575639936,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1224.csv
TOI-1201,153,153,153,0,0.0013528170162811104,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1201.csv
TOI-1634,149,149,149,0,0.0013174492511495782,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1634.csv
TOI-1467,106,106,106,0,0.000937245775985606,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1467.csv
TOI-1685,103,103,103,0,0.0009107199521369568,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1685.csv
HD_25463,113,113,98,0,0.0008665102457225414,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_25463.csv
TOI-1695,119,119,98,0,0.0008665102457225414,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1695.csv
HD_18599,81,81,81,0,0.0007161972439135291,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_18599.csv
TOI-2427,71,71,71,0,0.0006277778310846984,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-2427.csv
HD_23472,66,66,66,0,0.000583568124670283,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_23472.csv
HD_15337,66,66,57,0,0.0005039906531243353,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_15337.csv
HR_858,47,47,47,0,0.0004155712402955045,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HR_858.csv
HD_3167,62,62,44,0,0.0003890454164468553,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_3167.csv
