Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3561790024653557120,171.46819930466935,-14.320887024004973,19.175979614257812,2.927919387817383,3.066419141926636,15.019446137783284,67.85975743918782,-10.697233592921581,,,3.8193727080788884,nan,,,1.0596606731414795,,None,11.362941347412203,-14.32860843377243,13.81167186690841,0.3749735951423645,-14.013164103141097,0.25611206889152527
Gaia,DR3,3563898338199797632,164.69200530851367,-14.322990311113973,16.615793228149414,2.311245918273926,3.737336489759714,15.395440513097542,69.46709644478166,-12.208996608215742,,,4.382589834733879,nan,,,0.8784838318824768,,None,11.336991629463526,-16.798918242768035,9.124581379311698,0.07454637438058853,-14.147922631689744,0.0705503299832344
Gaia,DR3,3564269358950655616,166.025610693014,-13.294340483448408,17.06560707092285,2.5779666900634766,3.166871790606448,14.081246778974268,61.837887087346125,-12.251181158762023,,,4.097198116697056,nan,,,1.0117621421813965,,None,10.924242282447207,-15.455411528810144,13.63225439955972,0.08309943974018097,-15.840985140865756,0.06846675276756287
Gaia,DR3,3563942902783964928,165.11943704753386,-13.860817686318569,18.00724220275879,2.8000926971435547,3.9302454747997344,14.838654488686483,66.31630928077239,-12.265912992324541,,,3.8694383137270347,nan,,,1.229024052619934,,None,10.108685957788627,-14.733109084491826,11.86823249580958,0.17981606721878052,-12.053143790760549,0.13608168065547943
Gaia,DR3,3564290352750861184,166.59903545143652,-13.016997515757286,17.12545394897461,2.4825315475463867,4.435633703594255,13.702559190033092,64.44722293255866,-12.213569143816372,,,4.470983622748048,nan,,,1.0191413164138794,,None,12.07161298026707,-16.78223049456677,14.365218527603464,0.08460725098848343,-20.277614768535056,0.07506154477596283
Gaia,DR3,3563124694331413120,167.7474930058281,-14.656051730058543,18.434410095214844,2.789773941040039,2.545407675536344,15.189741635402742,68.32249967541168,-11.448337221901824,,,4.354345264695313,nan,,,0.9122652411460876,,None,12.047194919187849,-16.59825706795941,10.285948893836567,0.23926319181919098,-18.133636128799743,0.16688166558742523
Gaia,DR3,3561029334406080512,171.6571920002628,-14.552719254596198,17.80930519104004,2.976703643798828,3.4207110155764475,15.279770935446141,67.05458863731259,-10.580081860997224,,,4.015799454826636,nan,,,1.0410377979278564,,None,11.988516078263949,-15.092139329872928,10.536675229695586,0.14084790647029877,-17.59778221710842,0.11019417643547058
Gaia,DR3,3562237147929493888,171.61281853003402,-12.746629522322452,19.6072940826416,2.670351028442383,4.928905297213789,13.498312185846862,60.469411147562084,-11.147005406351335,,,4.254056294209505,nan,,,1.088820219039917,,None,12.689560926662203,-15.682543596991923,10.377449654189212,0.5299102663993835,-11.91523846621266,0.4178178310394287
Gaia,DR3,3566569846513662464,168.0444922023347,-11.367967855320973,17.99054527282715,2.9038639068603516,4.181130343252803,11.889126269227726,69.61028147296447,-12.399069942682088,,,3.3961612767162332,nan,,,1.0789471864700317,,None,9.45416513184352,-12.444403663014729,6.534283042300182,0.16066205501556396,-13.10401387954866,0.13354842364788055
Gaia,DR3,3597556970402948736,180.4830985897284,-5.037553018448049,12.03437614440918,0.938115119934082,2.3453207363249335,12.78818507348914,60.224926137535675,-11.043023192570919,8.752026557922363,0.7264309525489807,4.422886470595125,nan,,,1.5452629327774048,,Gaia_DR3,15.154279326524083,-14.569385960260206,13.1366872031216,0.02877253107726574,-15.412713995542486,0.016272852197289467
Gaia,DR3,3598155345245367168,182.26744161080498,-3.500693321252588,17.28359603881836,1.8408279418945312,1.74626983439817,13.907697389787584,61.73114811636759,-10.94706552306813,,,4.212417615156961,nan,,,1.2202448844909668,,None,14.768454459108291,-13.580141322593517,15.309284029852433,0.18059401214122772,-15.033497287807162,0.1256142407655716
Gaia,DR3,3589337433790681088,177.22425031444118,-7.622493625449457,18.689605712890625,2.982898712158203,4.824472342898803,11.579415617483548,57.23859386079741,-11.222863799961003,,,3.638458664848659,nan,,,1.0462596416473389,,None,11.906616144288073,-12.447446889739934,15.461895212858838,0.28441664576530457,-11.42100869765559,0.15685810148715973
Gaia,DR3,3591013192589864704,169.5852381897305,-8.879966855551425,17.280967712402344,2.6603050231933594,4.285235473923949,9.390278796472879,42.28962028544916,-12.785293400296563,,,4.129540761617459,nan,,,1.0441255569458008,,None,11.85649326447528,-14.600079551573627,8.14036011303083,0.10857782512903214,-14.272924648198622,0.07776954770088196
Gaia,DR3,3594042205389613824,180.77049401056794,-8.57013035939968,18.347732543945312,3.151947021484375,4.902237655000592,14.869334085849154,66.93535306911649,-9.979157138337811,,,3.8354930623716514,nan,,,1.061301350593567,,None,13.191717643823687,-13.151141690410217,9.328514198134553,0.24132880568504333,-12.26400145331235,0.17451709508895874
Gaia,DR3,3586097173023830400,172.96904468229368,-12.58077802597609,19.097145080566406,3.0783615112304688,2.8144280200173832,13.667547222657394,64.30197186525258,-10.8668706678588,,,3.705288711993579,nan,,,1.0223466157913208,,None,11.321997329217997,-13.576556001483242,10.904418761968595,0.35214707255363464,-15.734916330085168,0.2059790939092636
Gaia,DR3,3588703634057024000,176.24906666591644,-9.126869334777364,17.89645767211914,2.7390098571777344,2.2340884895739905,12.06180372904972,53.84960236635427,-11.05201039519592,,,4.179076127952247,nan,,,1.012608528137207,,None,13.474596637979037,-14.588408007650312,12.316758305654279,0.14538609981536865,-16.180033094744132,0.08530757576227188
Gaia,DR3,3589567644037076864,172.3732575098148,-10.81639782801004,14.32177734375,1.4737091064453125,4.942665937632763,11.809578079864977,52.09674653730926,-11.543696865557035,25.851226806640625,4.495002269744873,4.079034197744006,nan,,,0.9584924578666687,,Gaia_DR3,12.33460505707245,-14.675208088554959,16.486259532620828,0.02609637938439846,-15.58515897092965,0.0179470032453537
Gaia,DR3,3600184150358497280,177.28000995175077,-3.8974209293339137,16.119436264038086,2.486239433288574,4.278521902601842,9.420605862865216,50.235558327264016,-12.237720269212621,,,3.5872365537597495,nan,,,1.1424154043197632,,None,11.748765716293756,-11.693749887762518,10.759676113339147,0.06472015380859375,-14.774389338725939,0.04096132144331932
Gaia,DR3,3590412446924232448,173.00473547713764,-8.997053116050692,11.518636703491211,0.792572021484375,4.738440252335411,10.314410971509377,48.91327293808883,-11.922425889708293,4.414828777313232,0.7698687314987183,3.7327861107540854,nan,,,0.9795464873313904,,Gaia_DR3,11.413075100850314,-13.114586185216197,13.406796417907739,0.02563793770968914,-9.963644835673598,0.020006828010082245
Gaia,DR3,3560591011520097792,171.38010975737686,-15.249645978206246,17.8963623046875,2.9863834381103516,2.297994848145428,15.921944851000063,69.74440465157878,-10.428464112560324,,,4.1463221477877,nan,,,1.0386807918548584,,None,12.31577401550123,-15.70978105363076,11.861331745070608,0.14972029626369476,-13.753217507883763,0.10416644811630249
Gaia,DR3,3601145913794897024,179.44693050856506,-2.922641798016649,17.35426139831543,2.5992355346679688,4.929027281572342,11.04606614914191,64.84679885408906,-11.903091771201623,,,3.422960535854047,nan,,,1.0057783126831055,,None,11.564739784366726,-10.984333215616886,15.105250753684203,0.10093779116868973,-11.323914849735187,0.05902224779129028
Gaia,DR3,3590514422331788928,169.9544605388223,-10.532784569642994,18.25997543334961,3.149282455444336,3.2671805485885885,11.067234745022787,57.09229407994357,-12.21002190735178,,,3.584588361122207,nan,,,1.1611456871032715,,None,10.365804896461636,-12.934798766848061,7.897664946301886,0.203299880027771,-12.996109132378773,0.1424577385187149
Gaia,DR3,3595086573934411648,178.07178222264173,-7.892376485573512,17.057865142822266,2.5489702224731445,4.421609268834189,12.376711516362422,57.16853509538363,-10.917622908898814,,,3.765926296048875,nan,,,1.0585194826126099,,None,12.4783878887252,-12.900187243068261,10.147886526933206,0.09283328801393509,-15.525244779114075,0.05693180859088898
Gaia,DR3,3562009445943299456,172.05785414997965,-13.239113286119096,17.75554084777832,2.7770824432373047,4.945310939310253,14.071568113913331,66.99237588672808,-10.889037338909914,,,3.671884244645487,nan,,,1.0329067707061768,,None,11.041260895507678,-13.590523512342621,8.048554941741124,0.14504893124103546,-15.97745200530847,0.10395774245262146
Gaia,DR3,3562815495341282176,166.42552808087052,-15.1327613279187,17.132740020751953,2.7571372985839844,2.8479238237681446,15.816860422946606,69.9594954352785,-11.58566576338128,,,4.268226256715006,nan,,,0.9918354749679565,,None,11.48074363308129,-16.425323274085823,10.09418992325039,0.09368154406547546,-18.580311189835722,0.07089322060346603
Gaia,DR3,3590731713317924864,170.2839134998266,-9.484578541897182,17.978317260742188,2.861715316772461,4.6087600514271285,10.062441570908485,44.4285450125399,-12.442912316966012,,,4.032916688570863,nan,,,1.0000373125076294,,None,11.736092794123834,-14.349021228508752,14.391773784149528,0.1428401917219162,-11.468011107663155,0.10924305021762848
Gaia,DR3,3585327033848873088,174.810171229206,-12.734298104151138,18.186399459838867,2.8484439849853516,1.3064544825336981,14.449187190568932,64.80119457701197,-10.359111509814609,,,4.302134956610192,nan,,,1.522430419921875,,None,13.558508466575734,-15.69524517078212,13.183856219658542,0.39108574390411377,-14.571169721534492,0.22122706472873688
Gaia,DR3,3594428133970949632,179.92450058134037,-7.39611919275487,19.09794044494629,2.770906448364258,2.9340489645526415,13.50040055675129,60.613919513391075,-10.547490507697061,,,3.8528263553490905,nan,,,1.0269465446472168,,None,13.102408100151205,-13.066669915620608,13.855985026038256,0.3268067538738251,-10.805878350885822,0.15116621553897858
Gaia,DR3,3599301410023468032,177.6963210949906,-4.837255273556723,18.486169815063477,3.04364013671875,4.991714071559402,10.243249514966582,45.25369577772844,-11.869848813322756,,,4.046323181542123,nan,,,1.0422163009643555,,None,13.334233930214126,-13.35170684758679,9.077591891464333,0.24180065095424652,-13.245773720732952,0.1490839719772339
Gaia,DR3,3598055530206480000,183.06855997906047,-3.44668966013034,18.65265464782715,3.2764854431152344,2.9213666597402166,14.662189991519718,64.67557531061118,-10.728355555709378,,,4.189884819215252,nan,,,0.9177455902099609,,None,14.834580907211897,-13.48596441203513,15.564288256466616,0.2639714777469635,-11.01093730800511,0.17326052486896515
Gaia,DR3,3586363697217748224,171.86663690275432,-12.026342784227147,18.899818420410156,2.918384552001953,3.1475154242595376,12.848084908031604,56.75527616778176,-11.304404229109426,,,4.131525185459016,nan,,,1.3550101518630981,,None,12.380801791744126,-15.096099498573903,13.35088054918348,0.4262726306915283,-12.53209418007301,0.265485942363739
Gaia,DR3,3564269358949599360,166.02515070168252,-13.294219693186804,18.893810272216797,,4.639484269319612,14.081222099269473,64.41839239740791,-12.2513176110172,,,3.77993995846536,nan,,,1.0857963562011719,,None,10.07824326942186,-14.258651351624785,13.406452022428217,0.2826007306575775,-15.868189498683304,0.22191447019577026
Gaia,DR3,3590610702614758272,170.2954023907692,-9.959097300920526,16.357858657836914,2.3196277618408203,4.775152690188807,10.53429776869265,48.257247703577995,-12.300075631114181,,,3.8045407109983964,nan,,,0.9503305554389954,,None,11.073923524475397,-13.618321138086166,14.237572190944965,0.05824298784136772,-15.77679593782535,0.04691502824425697
Gaia,DR3,3586813363114104064,175.32645871994336,-10.474648367435424,18.972984313964844,3.206418991088867,4.45966652596045,12.671780820111838,67.27063034256715,-10.900008767524968,,,3.5026228184992236,nan,,,1.0004513263702393,,None,11.130990728048952,-12.448545976292422,8.72111534223846,0.32600006461143494,-10.204416590661893,0.21726037561893463
Gaia,DR3,3586993721676665984,174.54111498467634,-10.385585320329762,17.257844924926758,2.8013381958007812,3.99813855427093,12.219498797856033,54.932564429559626,-11.128012075514986,,,3.8531151210785617,nan,,,0.976345956325531,,None,12.090136337720912,-13.710495444443735,13.145152686488432,0.10219303518533707,-10.639049806539836,0.0592942088842392
Gaia,DR3,3588308389690183680,176.1737284916621,-10.014834328048126,18.01774787902832,2.7457809448242188,4.527577826865976,12.734801767843102,68.04792899295202,-10.81401194010587,,,3.4914061127001816,nan,,,1.0024718046188354,,None,11.244222533414568,-12.315130621184046,9.683582420717299,0.1487223356962204,-15.25950092474662,0.10806640982627869
Gaia,DR3,3586702110577835008,175.11219278531615,-11.198368101518827,18.90306282043457,3.0186328887939453,1.787814582043598,13.200090170182651,58.79871253263817,-10.741503245316352,,,4.208416458445414,nan,,,1.031779408454895,,None,13.328087150320668,-15.087710076158404,13.53984738533467,0.2762635350227356,-16.659617566913152,0.15984030067920685
Gaia,DR3,3600091860101291776,177.18786132087658,-4.414964333695814,17.951562881469727,-0.12750816345214844,1.6096066771253499,9.591658131491084,63.9371454684945,-12.122516595865449,,,4.93790543257447,nan,,,0.9986299872398376,,None,16.15018466215761,-16.213176839165303,15.691127789075933,0.14403624832630157,-14.601752411089965,0.10834469646215439
Gaia,DR3,3565180471837066112,170.00552444877349,-13.02402074163994,18.784927368164062,3.0711002349853516,4.629891770731372,13.553585547012673,61.15977695391745,-11.443045218230246,,,3.8318863761810653,nan,,,1.021809697151184,,None,11.091830191855834,-14.240871360545118,7.35275389147763,0.27034348249435425,-14.325206930718092,0.21745623648166656
Gaia,DR3,3758407103409995648,166.8349424321997,-11.100146441212758,11.347530364990234,0.7734575271606445,2.0698475725693037,11.775003139144783,53.05094279369389,-12.750075559780239,-10.690821647644043,0.6493905186653137,4.213393327223801,nan,,,0.8482906222343445,,Gaia_DR3,11.434239822749023,-15.434342204615191,10.154918934570164,0.020130449905991554,-14.113967321297284,0.017292195931077003
