Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,354513408136848768,35.945075838242104,48.64482839709958,15.106377601623535,1.155442237854004,3.6654493841753624,7.526808289000953,89.58738342878225,-8.099039676059768,,,1.4623233045902073,nan,,,1.021980881690979,,None,-3.3941782403565828,-0.4417777794574189,-3.6782115063776946,0.0326588936150074,-1.5354541668140824,0.03822272643446922
Gaia,DR3,355759910726909184,34.91368743097897,50.80762857195709,14.95108699798584,1.171600341796875,0.8818719377937037,5.608019809425581,77.54745962963688,-8.021722463109286,,,1.5802723893413384,nan,,,1.04715096950531,,None,-3.6930134849820115,-0.4265293746467176,-3.9826378374963523,0.026476839557290077,-0.4757942610684094,0.03400864452123642
Gaia,DR3,358287374423906432,32.33741817568518,49.88746482650359,13.149858474731445,0.8010282516479492,2.630678787472337,7.127022562285172,84.55784108654127,-7.676655282673989,-13.37473201751709,7.307067394256592,1.4672827484038227,nan,,,1.2558560371398926,,Gaia_DR3,-3.482226217238921,-0.5547054500051765,-3.719057340055554,0.021320201456546783,0.22378347949659907,0.0231550931930542
Gaia,DR3,358619740471501184,33.15411258166566,50.07045775173237,18.769725799560547,1.8679351806640625,1.8176854742003132,6.725556269846798,82.19010391650326,-7.785030859622362,,,1.5382951070251876,nan,,,1.4165928363800049,,None,-3.633847931751952,-0.5337798351118683,-3.8407089552976146,0.31462085247039795,0.018184104172099078,0.381704181432724
Gaia,DR3,358819233112077568,33.583029154296945,51.11555204202961,11.336736679077148,0.6424179077148438,4.620245554970559,5.670296737554828,66.98374436266138,-7.86629613784522,-24.998624801635742,4.3536810874938965,1.475954123797974,nan,,,0.9187232255935669,,Gaia_DR3,-3.477778498915996,-0.4475611771162995,-2.807343992654686,0.01959427259862423,0.8241019894064572,0.023149607703089714
Gaia,DR3,359441518036574592,30.091903016943952,51.88087633780118,19.53605079650879,2.449617385864258,3.4703436702841044,6.388077096889775,75.38220489585213,-7.460544936697775,,,1.4961782294953432,nan,,,1.0091936588287354,,None,-3.5922907800943644,-0.5911441170516722,-2.649552654345414,0.3659839332103729,-1.14733480928506,0.2733558416366577
Gaia,DR3,359737767701788672,31.341266875805697,51.68042734819982,18.336881637573242,2.5162601470947266,3.790365709254541,5.9998095737476556,89.64178462215418,-7.607359380517638,,,1.618717001419895,nan,,,1.0032283067703247,,None,-3.862262114477022,-0.5821832008168133,-4.453285536132716,0.156638503074646,-1.732685579996015,0.14565697312355042
Gaia,DR3,359774566981856512,31.362574669814865,52.006555889167615,19.281455993652344,1.7613410949707031,3.1344548813884603,5.748137803109393,87.20888356064056,-7.619529844878815,,,1.3735101330969899,nan,,,1.4000520706176758,,None,-3.2768336675279275,-0.48047827318100966,-3.063973616240348,0.46871304512023926,0.4017876305416902,0.42227092385292053
Gaia,DR3,359809515128689280,30.56818176099749,52.05033751212751,19.291046142578125,2.4655990600585938,4.346704779350146,6.059086684985887,75.85048297247788,-7.5241683931104335,,,1.4319541567222551,nan,,,1.2738360166549683,,None,-3.4301074153049638,-0.5365907194653153,-2.4818750469810045,0.3962041437625885,-1.44354709540875,0.45170456171035767
Gaia,DR3,359976606539475584,31.337149077727684,52.99443255306537,19.834304809570312,2.4770584106445312,4.018644770793315,5.080825668865946,60.0744877300013,-7.643966903559732,,,1.474382617349835,nan,,,1.0153769254684448,,None,-3.51795550265952,-0.4760773510223839,-4.153311449427112,0.45963767170906067,-1.5514647692737138,0.440315842628479
Gaia,DR3,359987807815560960,31.51019047071627,53.25284200580572,13.396203994750977,0.8333959579467773,2.801884936442981,4.838526469246468,81.39383952257498,-7.6712214033944175,-12.07937240600586,2.9804270267486572,1.365760945487997,nan,,,1.1248701810836792,,Gaia_DR3,-3.2558238634877665,-0.4231838957963575,-2.4860233948023756,0.0156934205442667,-0.18196858127223825,0.015839938074350357
Gaia,DR3,360241382684008192,29.51983064848722,53.614248589923136,,,3.23492327406025,5.634582708811603,70.25315432678688,-7.4462796784198595,,,1.4364438777730455,nan,,,0.9215445518493652,,None,-3.458173268812753,-0.5266609215341528,-2.993710270540446,0.4819175601005554,-1.3891393149469895,0.540768563747406
Gaia,DR3,355210120553087488,33.13636355863824,49.37401628518549,17.743141174316406,1.5894126892089844,3.3757571379610636,7.3638480758188045,87.37087919765924,-7.76220313061804,,,1.5144538349506476,nan,,,2.1163697242736816,,None,-3.5778982337181557,-0.5565399611805664,-4.463723545774345,0.2649821937084198,-1.1704302700229963,0.3408035635948181
Gaia,DR3,355424589743283456,36.265209420414365,49.80331506899094,19.273157119750977,2.140850067138672,4.7382401719358835,6.349626313814126,79.62474361228531,-8.165974586343395,,,1.5499340608976717,nan,,,0.9610925912857056,,None,-3.5896622267613267,-0.3992747248132136,-2.932120976175532,0.38898828625679016,-1.800881821716541,0.38578757643699646
Gaia,DR3,355706137736838912,35.24361364421185,50.59240345711848,17.408788681030273,0.9654293060302734,3.3616353490459994,5.743787567353431,83.83461807225626,-8.057313575149873,,,1.3838893443442388,nan,,,3.469527244567871,,None,-3.2271686913035458,-0.3679443221154949,-2.410622773211406,0.2828228175640106,-0.9111355430028101,0.34759268164634705
Gaia,DR3,358744294523374080,33.825879027305376,50.60072251421729,15.358138084411621,1.2605199813842773,3.1926691154062965,6.063032282087178,72.4252741155296,-7.88309075836394,,,1.512858113524692,nan,,,1.0614222288131714,,None,-3.559537035993829,-0.4696232401058962,-4.494729821471961,0.03653259947896004,-0.06688884558337874,0.04172302782535553
Gaia,DR3,359048751867143040,32.763373837901334,51.76247926841238,16.636821746826172,1.7150049209594727,3.4326287163792535,5.389648556839616,65.07329606938234,-7.782886588216151,,,1.5161339334391115,nan,,,0.9769467115402222,,None,-3.589561578610984,-0.47154821832011384,-4.652096311565931,0.06806948781013489,-0.19823343688523903,0.05592553690075874
Gaia,DR3,359415816951526016,30.22229780682181,51.54019119892053,18.508243560791016,2.081207275390625,1.5207179005258815,6.571651888007314,79.95915821051653,-7.465381882254678,,,1.4449359843202845,nan,,,1.157121181488037,,None,-3.4670777650034452,-0.578229086683438,-3.1838496854484544,0.22773000597953796,-0.9447749628122906,0.1759323924779892
Gaia,DR3,359797313126703232,30.506693119832207,51.771259705373055,19.342668533325195,2.3555641174316406,3.1443474000421956,6.282900177057973,78.36372609957934,-7.5078846718960905,,,1.5459823820346281,nan,,,1.0564424991607666,,None,-3.704378040567724,-0.5943876990020058,-3.143310767122139,0.38745543360710144,-1.4519172405911598,0.37618377804756165
Gaia,DR3,359811950375713536,30.563700081903786,52.10536618757414,19.03757667541504,2.5989131927490234,4.296674232735087,6.022938098140496,71.49529632168067,-7.525325454668199,,,1.4677425843009129,nan,,,0.9657624363899231,,None,-3.5159132522269863,-0.547980900192191,-4.260148418282801,0.25480180978775024,-1.649599946872757,0.2557271122932434
Gaia,DR3,359987704734749952,31.617345202085698,53.31310044747358,14.54211711883545,1.063516616821289,2.554300294231779,4.751002007357382,83.79011128593982,-7.685385145491711,-39.458740234375,6.918626308441162,1.6341285184317265,nan,,,0.965196967124939,,Gaia_DR3,-3.8933757347449123,-0.49771601866706416,-4.3026000207758734,0.023270506411790848,0.2812686343297678,0.023256752640008926
Gaia,DR3,359937741376498944,31.088959441790717,52.54232790641408,19.582901000976562,1.6798133850097656,3.468903983420226,5.49018515937081,82.98835056007906,-7.601833311048267,,,1.3785584891975389,nan,,,0.9894904494285583,,None,-3.2935389869369494,-0.4739798361476859,-2.3589424751910917,0.4685738682746887,-0.851894066060848,0.3661842942237854
Gaia,DR3,358746321747986048,33.78146348137381,50.74394966008421,16.389827728271484,1.7740297317504883,2.3174400266642663,5.945374374092051,79.47797162832101,-7.8812726775407995,,,1.5737261629887331,nan,,,1.0696371793746948,,None,-3.703744687340405,-0.4841974027046829,-4.324271528012238,0.06576424837112427,-0.9381162831179526,0.07398293912410736
Gaia,DR3,358774668528879744,33.80184370957001,51.20442882703879,19.80051040649414,2.642274856567383,2.8296584934622824,5.527622447562147,79.17479304525614,-7.89522627865463,,,1.5911914118474577,nan,,,1.1037209033966064,,None,-3.7443880910906975,-0.4672562872005359,-2.8030628835709113,0.5006685853004456,-0.589100962516202,0.7723020315170288
Gaia,DR3,359688603212110208,28.615907321625365,52.32631973754226,14.433367729187012,1.050455093383789,4.4752881123157895,6.792999839443196,80.1013818765577,-7.295068922236377,-10.398529052734375,6.992761611938477,1.4962356011958096,nan,,,1.1895557641983032,,Gaia_DR3,-3.6166987474963386,-0.6463428989626833,-4.8905922096533,0.029489628970623016,-0.03821799131133896,0.025723112747073174
Gaia,DR3,359767905488672000,31.30672116789241,51.897094077577464,17.78743553161621,2.1210899353027344,1.4733141876894946,5.851989182361145,71.55280225369061,-7.609543664905078,,,1.4449865541374978,nan,,,1.140102744102478,,None,-3.4483613478300947,-0.5125631243079317,-3.6338434071912102,0.14926405251026154,-0.9212386115667139,0.1254509687423706
Gaia,DR3,359901457494645376,32.05889726884203,52.49968370194006,19.785810470581055,2.193408966064453,4.852225717935255,5.096919564299413,61.18298305423954,-7.717038169372994,,,1.5095128420489323,nan,,,1.0838252305984497,,None,-3.587940841482884,-0.4724941350618115,-5.056262421677385,0.4742283225059509,-0.9502046090124754,0.3957647383213043
Gaia,DR3,359876344820679040,31.90353508034602,52.3536711832721,19.845121383666992,2.4473209381103516,1.8796732532599107,5.2680453280755835,81.43485659588896,-7.694562589487629,,,1.3767155585743247,nan,,,0.9910775423049927,,None,-3.275057228576392,-0.4436657489541511,-3.1209308558219693,0.4967265725135803,0.0796381944016515,0.38847973942756653
