Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2921519634732224000,104.39109241940685,-24.630409696919074,5.413266658782959,0.5234470367431641,3.0220535248856635,40.56642208018375,30.22110189404721,38.210983314537685,,,24.713654713556117,nan,,,10.198657035827637,,None,-60.83649067733637,98.687685242957,-46.01133443699316,0.37802135944366455,93.38619435334937,0.49250978231430054
Gaia,DR3,5544579238988030720,122.02227156084354,-36.3989771921011,14.942704200744629,2.897207260131836,2.4170255929533226,26.31463969793224,23.739258014551005,29.090311189041316,32.89989471435547,5.044289588928223,18.754167166238144,nan,,,1.110669732093811,,Gaia_DR3,-95.07282041133217,91.15004462726255,-104.44188204378037,0.02127132937312126,89.26978381821206,0.022966764867305756
Gaia,DR3,5607355546128350464,102.77353266217627,-31.433668937585832,16.00796890258789,3.5450143814086914,4.323116977780772,41.36087979147733,30.677454739920154,35.96606068589105,,,25.010077958051447,nan,,,1.0663139820098877,,None,-55.19383713528083,123.90890262137988,-76.2369121088066,0.037876538932323456,132.66757100707133,0.04512988403439522
Gaia,DR3,5618343000195172864,112.0305575852931,-23.803649674030517,13.876106262207031,3.332195281982422,3.9084257437757453,33.79908959738511,25.49720685569455,36.71465601824275,38.70551300048828,1.8410000801086426,28.319470980084652,nan,,,1.2545958757400513,,Gaia_DR3,-102.9446496269703,105.12845952494915,-105.5280564271105,0.009904944337904453,128.31842020416025,0.021499302238225937
Gaia,DR3,2948715505087236096,105.26569640266334,-13.645877159260895,13.212700843811035,2.7404537200927734,2.289056051749078,42.611216513609925,30.874011798351834,40.939957261034614,29.896501541137695,0.6872264742851257,30.132259025585267,nan,,,1.2536250352859497,,Gaia_DR3,-78.3021270702163,71.56637730399014,-63.93732264164257,0.01627460867166519,73.8199563994703,0.016011277213692665
Gaia,DR3,5593584059906793088,118.06286064632202,-34.70447719464107,7.942351341247559,1.1897001266479492,4.680128307505877,28.91702886263133,30.854680874023057,31.050279983974825,,,54.55285373203484,nan,,,1.014310598373413,,None,-246.42155591503922,265.4177828665349,-207.3741516902645,0.019198644906282425,228.3745996400201,0.027773374691605568
Gaia,DR3,5618343000187119104,112.0310740292419,-23.80378376100821,14.005088806152344,2.8738231658935547,4.102129774599853,33.798602748807454,25.490109575423855,36.714472721645876,,,28.265014224729455,nan,,,0.9782121777534485,,None,-102.74887988125354,104.92644190534236,-118.03345931681093,0.02713271602988243,124.00075019210442,0.05216018483042717
Gaia,DR3,5638752341184101632,129.68782352770972,-33.94395144667085,15.157522201538086,2.9130849838256836,4.615572314316786,19.589029192435177,26.401944165158234,27.116299188551736,20.443401336669922,3.035160779953003,15.507374068672526,nan,,,3.2720603942871094,,Gaia_DR3,-94.09402856236474,64.76359704922149,-101.11149247682182,0.05522029101848602,51.40592002496176,0.0670049861073494
Gaia,DR3,5645202248193668224,126.39961485779048,-28.008375705125083,14.897093772888184,2.792159080505371,3.4492958553672377,20.753263165289415,19.48630961322538,30.426052288149585,,,18.680112536021884,nan,,,8.061964988708496,,None,-105.5755172559709,69.49677134988875,-105.6225646922224,0.44075310230255127,55.91367947902529,0.594403088092804
Gaia,DR3,5565898632002192768,107.06258531506181,-38.302166428304005,15.34426212310791,3.7397079467773438,3.700271980729339,38.28639252646509,29.212342221948447,32.19087333446227,,,35.25146914185373,nan,,,1.0862354040145874,,None,-101.45603597362985,201.21970947835348,-127.67293127105293,0.0370284765958786,192.92404022224713,0.03413356840610504
Gaia,DR3,5615292817498154240,113.84945804707795,-24.401883348863016,13.794807434082031,2.965022087097168,1.4058837776107846,32.07436407532388,26.46373112573413,36.012147675011995,,,35.762773420037824,nan,,,1.1213229894638062,,None,-139.6807997972893,133.87580264785885,-149.75893577585617,0.009597822092473507,130.59348461935554,0.01608772575855255
Gaia,DR3,5652972428136334976,132.80743754393944,-24.466116867831232,14.466611862182617,2.986865997314453,3.46143630417716,14.86846768057631,12.783929220567684,28.536112872053863,24.642086029052734,2.539482831954956,20.315991839796666,nan,,,1.117746114730835,,Gaia_DR3,-130.9133526026013,61.68507620173283,-139.57429291823019,0.018786635249853134,49.653467454176614,0.017964109778404236
Gaia,DR3,5695670484730123904,127.11473415678758,-24.919381307833472,12.880997657775879,2.5709571838378906,1.5082416725777659,20.020721991574522,18.256747340992206,31.026471067151903,,,19.117114380752895,nan,,,43.64411544799805,,None,-109.8058307128091,63.83444099116876,-114.85578358270061,0.5212689638137817,67.21735749457801,0.47677943110466003
Gaia,DR3,5603712314350952960,105.63853510309897,-33.33398569618215,13.029484748840332,2.7604494094848633,4.286303266989632,38.94674636299155,28.754815457186886,34.6857577986978,35.98114013671875,0.6428999304771423,26.489377842402178,nan,,,5.021463871002197,,Gaia_DR3,-70.37744086051732,136.05975529652665,-52.46908713869669,0.13343115150928497,151.94081791129463,0.14394326508045197
Gaia,DR3,5546549907425468800,122.75491494204546,-34.19420620595889,12.805281639099121,2.644847869873047,2.3790463503374553,25.047080257302987,26.209583904689637,29.69847148352685,34.525997161865234,1.3780364990234375,42.401459517614946,nan,,,1.285017967224121,,Gaia_DR3,-219.1750743009497,194.35929624735866,-199.6360731571354,0.015489501878619194,202.75260995763404,0.016800573095679283
Gaia,DR3,5592667406512796672,110.60396013381572,-32.96062029746223,17.63444709777832,4.199138641357422,4.188287183228885,34.77503013902306,30.647816259754787,33.79564838237003,,,18.63280421777584,nan,,,1.0161579847335815,,None,-63.72928692488259,92.14373596298384,-67.67444694469087,0.094403475522995,108.11521563921306,0.11528441309928894
Gaia,DR3,5593584059914156800,118.06419139640802,-34.70437853685907,4.940165996551514,0.5987210273742676,4.802216798099992,28.91594094143115,30.85684014304799,31.049910822829695,28.03243637084961,0.16095131635665894,54.563099523190026,nan,,,0.9521721601486206,,Gaia_DR3,-246.47817173822602,265.4637574140327,-198.09607031167099,0.06552600860595703,238.81180023957108,0.07793865352869034
Gaia,DR3,5564101853903376128,104.57831592272403,-39.53665400179794,11.983078002929688,2.605198860168457,3.7156544942083984,40.38913891846622,31.11957766384183,32.02604416239918,44.26265335083008,0.46148553490638733,40.056133064575,nan,,,18.012493133544922,,Gaia_DR3,-99.78073972442316,237.42088802689432,-74.56319713684451,0.2107221484184265,218.75219222189594,0.2147691249847412
Gaia,DR3,3082155397328062208,118.03137734271542,-2.303941950547402,13.835864067077637,2.792695999145508,3.62354590164198,37.10963709957126,28.60446207412001,38.58668689112733,38.8564338684082,1.9064793586730957,22.627386286892385,nan,,,1.264951467514038,,Gaia_DR3,-102.10911520797478,13.537332505449314,-86.80313235159579,0.022465301677584648,21.567554731176863,0.016707148402929306
Gaia,DR3,5702880321776910080,128.8768777886504,-22.00164780748201,11.420595169067383,1.9964265823364258,3.735103623524798,18.731320360920087,21.59967384961697,31.000407316974382,31.485307693481445,0.8599259853363037,16.93122016012447,nan,,,2.9959936141967773,,Gaia_DR3,-101.02725436538609,49.67909757681852,-114.26766372600477,0.05125102773308754,51.23572023382171,0.0501200407743454
Gaia,DR3,5617564477239812864,108.26068324647576,-24.225117576340473,7.026097297668457,0.7915759086608887,1.6801006823141926,37.14498100795386,27.534612989038283,37.53714518280925,32.42258834838867,0.11813640594482422,27.456598627063602,nan,,,0.9926944971084595,,Gaia_DR3,-84.09508222518785,105.9701510867357,-93.29489665672101,0.010473000817000866,102.81865008340444,0.017804551869630814
Gaia,DR3,5602379190880667904,118.48444426494447,-25.399493235020927,16.03351593017578,1.1156177520751953,3.4834592258552166,27.794764913562435,30.972398616176495,34.22764117669778,,,56.122604596461876,nan,,,0.9956074357032776,,None,-256.87295891285703,209.21878864070263,-297.998386064266,0.024439632892608643,206.52534491674066,0.030466990545392036
Gaia,DR3,3060426058267356928,112.62595109557094,-3.65913283827304,15.810493469238281,4.075753211975098,1.4385648207298969,40.67848794052335,31.38610082437565,40.348283108547584,,,40.81861062521346,nan,,,1.0137434005737305,,None,-152.0136673996295,33.284713816907974,-154.88009979787037,0.0742364302277565,45.3270785484828,0.06918121129274368
Gaia,DR3,3053081591173181824,107.9360033536242,-5.883321788912179,12.694891929626465,2.525092124938965,4.071925866206077,43.514423972449904,31.43614933726546,41.46879505001358,-0.5557382106781006,0.6229569315910339,31.74689318782441,nan,,,1.2913360595703125,,Gaia_DR3,-95.6500062411091,37.25247240323637,-77.50406223528857,0.022706307470798492,16.92082777437207,0.023709915578365326
Gaia,DR3,3070176870974752512,124.1929458999774,-2.06505598844868,13.564836502075195,2.652621269226074,2.0937061634741534,32.6526572278015,24.96910263797449,36.08036786478864,36.186058044433594,1.5279191732406616,23.44494825327657,nan,,,1.1185599565505981,,Gaia_DR3,-125.71440003735533,12.781665237393007,-135.30256405045765,0.01961103454232216,16.67372956802426,0.014650546945631504
Gaia,DR3,5564029702750970112,103.37550887005987,-39.907098654790204,15.922639846801758,0.7103862762451172,3.948407740137358,41.35910362730779,31.574347325045945,32.02665764744221,,,40.34032643870324,nan,,,1.0537333488464355,,None,-92.85943532274375,242.16446090284424,-65.47134132368774,0.03523262217640877,222.73861685020802,0.03296767547726631
Gaia,DR3,5592196613683310336,113.17184031091247,-32.359602801486105,12.823412895202637,2.4907522201538086,4.145151658479665,32.568959408308416,25.467150922118208,33.39120981983819,36.79994201660156,25.21286392211914,22.117495889424948,nan,,,1.160282015800476,,Gaia_DR3,-84.16547860927741,105.79925720087263,-69.42804368218208,0.015837347134947777,118.30311728707049,0.01710166223347187
Gaia,DR3,5602386058511578368,118.54386563267141,-25.30227934852977,9.089835166931152,1.7891416549682617,3.685634562539093,27.7480023390694,30.988500946637362,34.23721388386209,63.076141357421875,0.12883435189723969,56.23564192054527,nan,,,0.9958198070526123,,Gaia_DR3,-257.86384590623356,208.83675817349416,-300.85636789625005,0.008230571635067463,201.04246850614496,0.011058349162340164
