Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5966099183525982848,256.8179487325874,-40.86925649168256,19.132183074951172,2.1745643615722656,3.89098166222105,12.41150506523306,66.22736632983796,-19.812649938363357,,,3.3872799171828842,nan,,,1.5142122507095337,,None,-8.038246345350178,-9.26117421520972,-9.519087775865525,0.6166538596153259,-6.9102473146476076,0.3778706192970276
Gaia,DR3,5966510503943239808,253.57129892232635,-41.75556165128742,16.77240753173828,2.569974899291992,3.035529490741812,13.045964372308646,69.42402995469095,-19.10642545575248,,,3.309041475865427,nan,,,1.0665119886398315,,None,-8.767551890092118,-8.946433801732924,-6.87714972558573,0.09367132186889648,-9.900519748786834,0.07368730008602142
Gaia,DR3,5966039702510258560,257.70557164072187,-41.29996583748766,13.311173439025879,1.2773799896240234,4.452586229012951,12.991741337690728,69.41630821870676,-19.843466766011403,1.2067824602127075,1.9690238237380981,3.2655679638311557,nan,,,1.397963523864746,,Gaia_DR3,-7.4980977810628975,-9.108698697555909,-9.600295041651359,0.028861530125141144,-11.339476953584777,0.019698474556207657
Gaia,DR3,5966564169559067776,253.8672728969556,-41.145675337466834,17.580610275268555,2.910341262817383,3.882408513820905,12.435350225038263,66.39832733657221,-19.290395900480075,,,3.394426630086308,nan,,,1.058386206626892,,None,-8.909373758708076,-9.061562576958844,-6.236030768339483,0.1567288339138031,-8.305605531371567,0.11642953008413315
Gaia,DR3,5966039049675378048,257.7408532338209,-41.28761056494217,16.94049835205078,2.8578033447265625,2.373636671963668,12.986974948710706,69.71919547697364,-19.851350609473805,,,3.2361010404725152,nan,,,1.6210476160049438,,None,-7.420501945747537,-9.026601923361468,-6.404938155387227,0.15595121681690216,-7.765346039280731,0.10928983241319656
Gaia,DR3,5966781357468077056,255.50135025231995,-41.28828836495682,18.93844985961914,2.9206314086914062,4.820627709313679,12.656723809973741,67.82490500571676,-19.518456443268928,,,3.4287570190186267,nan,,,0.9701353311538696,,None,-8.524463970863646,-9.352811389458155,-9.431801535732102,0.42049941420555115,-12.717032474584524,0.2815364897251129
Gaia,DR3,5967037268795546624,255.70963605441537,-40.22802563236907,18.135223388671875,2.943204879760742,3.3350368395661385,11.627151787534844,62.77025664994676,-19.78698057659783,,,3.2132772991445497,nan,,,0.9741906523704529,,None,-7.931528403883743,-8.53740811850137,-7.285038085197382,0.22877393662929535,-10.702054373044762,0.1518147885799408
Gaia,DR3,5966564272648550016,253.87461589390833,-41.13004700024342,18.24424171447754,2.6074047088623047,1.6217046245771256,12.419762462169354,68.83762018833367,-19.295047947845717,,,3.1313087747634496,nan,,,0.9597746729850769,,None,-8.21683190238302,-8.356375354678446,-9.236096604578508,0.2317071557044983,-8.683608889086049,0.1713925004005432
Gaia,DR3,5966805237482979584,255.5634632455767,-40.87465208664315,18.293676376342773,2.097484588623047,4.058284113562843,12.25220335028784,65.44524406060684,-19.62094938877655,,,3.2699767626765017,nan,,,2.405040979385376,,None,-8.11235712405267,-8.828027680510473,-5.463770931837008,0.5279666185379028,-7.92730709857852,0.3509872853755951
Gaia,DR3,5967012117468994944,254.98057701977453,-40.540751086071026,19.291669845581055,3.0553035736083984,4.760515873315628,11.871750366413863,66.19893329735532,-19.6033653469782,,,3.55778834125058,nan,,,1.0182578563690186,,None,-9.003140501463863,-9.460109654118636,-6.311619390221355,0.4105949103832245,-11.806164381497487,0.30989670753479004
Gaia,DR3,5966769713808043904,256.23128424561014,-40.887414445910565,19.85527229309082,2.4686660766601562,2.34230891768271,12.342037830611599,65.9865224681318,-19.72053296626165,,,3.402906118263728,nan,,,1.1594575643539429,,None,-8.24736001042468,-9.253704111131377,-8.748311872869944,0.6585686802864075,-7.64982213758654,0.43401551246643066
Gaia,DR3,5966134913350025984,257.3495652115185,-40.58689975584982,15.201988220214844,1.836404800415039,2.539778030160717,12.233039933341876,67.42257187288278,-19.954779657559573,-37.20051956176758,6.421905040740967,3.146479638770258,nan,,,1.0397456884384155,,Gaia_DR3,-7.321991868030048,-8.582527303077626,-8.508763435120853,0.03874536231160164,-9.778206633006803,0.02962377667427063
Gaia,DR3,5966858941753100544,256.94227980022805,-40.63454329184892,12.570419311523438,1.1330089569091797,4.981985937926998,12.203757820437957,65.13174434751697,-19.884061450101616,-6.684685707092285,3.113274097442627,3.2776103672072123,nan,,,0.9526084065437317,,Gaia_DR3,-7.742771674048866,-8.916101113165094,-4.673554958362715,0.019285084679722786,-7.357425474426324,0.012101835571229458
Gaia,DR3,5965843542765146368,258.18789130827315,-41.32594536165749,12.801370620727539,1.2296686172485352,1.2904562725682829,13.119130441737628,69.78602902454361,-19.905648625642378,-22.688169479370117,10.519651412963867,3.3673394328717157,nan,,,0.8162156939506531,,Gaia_DR3,-7.590176110214343,-9.441547875600408,-6.89492612526115,0.01756620965898037,-10.038024212372981,0.012468402273952961
Gaia,DR3,5967231233818758016,255.45805053393698,-39.25510388386713,16.78835105895996,1.5803718566894531,1.522176330784567,10.636526042399735,63.37561847694029,-19.958031275897305,,,3.0276832844109784,nan,,,5.428628921508789,,None,-7.5385226405076775,-7.807698459374027,-8.157066078520618,0.386783629655838,-7.058485406327551,0.28902795910835266
Gaia,DR3,5966037713943125376,257.3581587407653,-41.06671797633203,19.368804931640625,2.9482879638671875,4.368562171637564,12.698760966742483,69.3871605380385,-19.847044050527472,,,3.168222080239257,nan,,,1.1130857467651367,,None,-7.370225045387864,-8.753940368269955,-7.824462071239384,0.45498690009117126,-5.871783087184463,0.32311663031578064
Gaia,DR3,5966121066373886464,257.61386211186704,-40.610634841534484,18.37164306640625,2.9765377044677734,4.999722796913683,12.309535667507648,66.1724827769269,-19.987860837919076,,,3.437548942451533,nan,,,2.95741868019104,,None,-7.920407330130942,-9.406359142537418,-7.116253429868072,0.6617636680603027,-12.939140052808868,0.3778868615627289
Gaia,DR3,5968241307062382720,250.90920756511682,-41.3443939577511,19.317087173461914,,4.674897807238727,12.846835125629134,68.42523812396236,-18.741479690161214,,,3.379545734097393,nan,,,0.9790831208229065,,None,-9.699258226506997,-8.752756115882908,-10.734829964222598,0.4050063192844391,-5.587246556360503,0.3503383696079254
Gaia,DR3,5968863424500876672,249.470794803784,-41.06111225031972,14.806907653808594,1.8155670166015625,2.4251730964437925,12.839208764654215,69.52362922449196,-18.53917267163384,-7.919885158538818,7.02342414855957,3.489856968220322,nan,,,1.0370125770568848,,Gaia_DR3,-10.422589068088547,-8.801597554885088,-9.316852621618473,0.02772357314825058,-10.201843721049924,0.022996898740530014
Gaia,DR3,5968357713540164096,251.2980813015893,-40.75338595365484,17.31822395324707,2.5675926208496094,2.581684073675955,12.21125685223579,65.01373808266067,-18.936684763964188,,,3.345784794011221,nan,,,1.0099763870239258,,None,-9.495893196478253,-8.570725585600663,-11.200529619052972,0.11068078875541687,-9.211028517530359,0.08431223034858704
Gaia,DR3,5968956225823052800,248.89440289251525,-40.38839505277188,18.45433807373047,3.2951526641845703,2.9634410827426487,12.343055923125316,66.10852829481,-18.568945142582134,,,3.415935581923934,nan,,,1.0119197368621826,,None,-10.35956316429671,-8.390707223187608,-12.014076776138356,0.21014249324798584,-9.738520542921458,0.15203215181827545
Gaia,DR3,5968278449921161472,251.4859169896406,-41.37414403403484,19.17852020263672,2.4269847869873047,1.1724007318385532,12.799367661962318,68.7727157659205,-18.837019801822475,,,3.2319013290398133,nan,,,1.5855494737625122,,None,-9.122843491422064,-8.438204911303957,-9.330567816941613,0.5803157091140747,-7.666910481192353,0.396803081035614
Gaia,DR3,5969000137574733568,250.65808735643884,-41.19950156373918,18.89069938659668,2.882549285888672,2.0710233256475017,12.743989424374696,69.88148627865449,-18.72744096920405,,,3.1575397375850827,nan,,,1.0217978954315186,,None,-9.126768919804858,-8.119928519074547,-8.399157117905714,0.3015635907649994,-9.29082728978559,0.23543192446231842
Gaia,DR3,5969033127229221248,249.8705521958993,-41.3084274154087,19.50709342956543,1.8554553985595703,3.033199236157759,12.992202043729604,69.11026275322702,-18.561193280603316,,,3.318983069977404,nan,,,1.3835599422454834,,None,-9.805379868241733,-8.472000851432869,-7.776197121681036,0.5957464575767517,-7.850407884381058,0.491737425327301
Gaia,DR3,5968669429416497408,249.5867421724804,-41.28926451365695,13.707982063293457,1.3955678939819336,4.080651257368609,13.032293384451163,69.37004393055147,-18.51291189362978,-12.906386375427246,1.8062312602996826,3.3045233270032175,nan,,,0.9617140293121338,,Gaia_DR3,-9.838265257294019,-8.398729602360346,-10.415480715799148,0.01890275999903679,-5.61525824283423,0.014967691153287888
