Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2883104377781179648,91.7830809064487,-38.632921884179055,19.6441593170166,2.671476364135742,2.3027112558410003,3.613896694381331,50.47978720500283,11.243004209822914,,,1.3789171028855765,nan,,,1.0363614559173584,,None,-8.637825389795756,9.5317242069576,-9.263636786522428,0.3080209791660309,9.29419131060813,0.32361894845962524
Gaia,DR3,2883281880190153728,90.70166610922543,-38.164335372029385,19.63821029663086,2.6141281127929688,1.630328582526477,3.8714699622316693,51.05932198861625,11.94716617771744,,,1.3294767543380375,nan,,,1.0163618326187134,,None,-8.171865165146992,9.26009525102499,-8.089150568835421,0.38736623525619507,8.810716855888902,0.4168745279312134
Gaia,DR3,2883629841260055424,89.46383833292751,-38.65331990215856,17.29575538635254,1.7154464721679688,3.743959787962267,4.941714702291581,65.66253081691228,12.151079907981142,,,1.3223464838339132,nan,,,0.9865745902061462,,None,-7.946590448720826,9.346998266373642,-8.40484920686807,0.06218022480607033,10.284691604772199,0.07296708226203918
Gaia,DR3,2884352220399405440,88.88247201088745,-37.282994582173984,19.841476440429688,2.1864490509033203,0.6656167979695344,4.740462472899269,69.62975798869434,13.177668228341084,,,1.4081749299110078,nan,,,1.0231330394744873,,None,-8.370253538374673,9.916240466861597,-8.52418010962949,0.3265635073184967,9.792346485955838,0.36140111088752747
Gaia,DR3,2884333051962928256,89.4042164487753,-37.14066534894428,20.307065963745117,2.269369125366211,2.789233181071118,4.30131640317626,58.627984895366865,13.054998403717134,,,1.378599156850153,nan,,,1.0327630043029785,,None,-8.275428934781587,9.653144310083345,-9.084900188485433,0.5474144220352173,9.69617298539868,0.6416900157928467
Gaia,DR3,2884144039041868416,90.90345697165075,-37.576650202546986,12.045173645019531,1.1390161514282227,4.748512411152826,3.4013536191274385,44.21238256749227,12.203724771329195,115.15755462646484,0.507639467716217,1.3438335955862344,nan,,,0.9625751376152039,,Gaia_DR3,-8.289809030221903,9.307091020346345,-7.872769980040921,0.01131472084671259,10.586037520365872,0.013193878345191479
Gaia,DR3,2884866315102090752,92.25849833395175,-37.37397640616785,19.671405792236328,2.364500045776367,4.112266312655488,2.4219032030222123,31.51669044149301,11.763633994585035,,,1.3455190118028373,nan,,,1.1071006059646606,,None,-8.497188717628864,9.185876578195247,-7.363080225079172,0.378063440322876,9.458603626699684,0.41533544659614563
Gaia,DR3,2884440254346203008,89.803580938529,-36.712277246967766,17.18118667602539,1.9005603790283203,3.8232432206050353,3.877082989580576,54.42950618535177,13.143217064829209,,,1.308795013384368,nan,,,1.0220979452133179,,None,-7.914813354843668,9.10430334017661,-7.295531147058102,0.057720523327589035,9.958246772810599,0.06297273933887482
Gaia,DR3,2883167844515757312,90.53063380074943,-39.09811522878127,18.50812530517578,2.251771926879883,2.8488748559296324,4.600309068435377,60.71500763343412,11.474883660918788,,,1.3659498060547182,nan,,,2.120272159576416,,None,-8.370387121606923,9.584758586072859,-8.65455213030942,0.31542545557022095,10.35432022159008,0.3544221818447113
Gaia,DR3,2885714549666207744,91.40923298859173,-36.57270144026764,18.97801971435547,1.9970664978027344,4.821324157497081,2.5998670196428866,62.04004989906209,12.568861953063294,,,1.4442711455063653,nan,,,1.0158379077911377,,None,-8.988896089180258,9.888946976934795,-8.13354182036005,0.1982787400484085,8.695968448743695,0.2071656584739685
Gaia,DR3,2885801827698333824,91.45091482533297,-36.021724538041624,15.410713195800781,1.1327629089355469,4.335045774850997,2.4465465137280566,43.23069420739919,12.863038606214316,,,1.3981584551844755,nan,,,1.007662057876587,,None,-8.708211807148126,9.533397782087022,-7.520205643766405,0.024795951321721077,9.0630228428924,0.030511360615491867
Gaia,DR3,2885598310671921024,94.31269462917469,-34.98734493379467,18.510522842407227,2.043752670288086,3.98973339427404,0.7270418014926597,10.272998413757898,12.206699284537883,,,1.3348698222661202,nan,,,0.9699288010597229,,None,-8.717166346756821,8.7910565323433,-8.070422158955562,0.12498517334461212,7.873321560394048,0.14166755974292755
