Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4800332634316160384,80.45639761533214,-44.21392524379421,16.0408992767334,2.0997447967529297,2.3144724183739345,16.67375640195048,76.75368529585363,63.01896459689861,,,4.647732583875901,nan,,,0.9479544758796692,,None,3.090237157407437,-22.035721392099582,4.519664678273257,0.03583473339676857,-23.796168216469635,0.03698604926466942
Gaia,DR3,4810935083207305216,75.36915517444646,-43.807839179963814,19.097261428833008,3.027629852294922,3.4564215204145143,14.586771849639982,88.67039359315653,62.57254380610583,,,3.272221283150457,nan,,,1.049347162246704,,None,3.972458088248862,-16.011164451535393,1.8597202461916709,0.2131849229335785,-14.906076484913303,0.21302852034568787
Gaia,DR3,4811839195299631488,73.29948554687248,-43.763363768749656,12.821791648864746,0.9801473617553711,2.7710710504353715,13.759712898478169,70.0546835286486,62.39070992150674,-3.328242063522339,1.2054452896118164,3.5603711292558033,nan,,,0.9750329852104187,,Gaia_DR3,5.108756314574594,-17.57540409068532,3.2695019240985665,0.010976653546094894,-16.604340935683574,0.014807014726102352
Gaia,DR3,4812165647173732224,77.61502356591403,-43.90680981469388,14.081244468688965,1.6594457626342773,2.6164895062377473,15.522944070369894,78.86480799236398,62.758894470741836,-10.90321159362793,2.8109662532806396,4.961970455796479,nan,,,1.0083961486816406,,Gaia_DR3,4.825544556300774,-24.018552244259922,2.3544950968527787,0.013723531737923622,-22.841807735614662,0.016300035640597343
Gaia,DR3,4814097248585422080,75.31655012129448,-40.35037858532092,16.046903610229492,2.095526695251465,4.6953578257682915,17.449060649034283,84.46124788430113,61.05576123239645,,,3.596640368415827,nan,,,1.014533281326294,,None,4.386569831435885,-20.432194539296702,2.9922262667609165,0.03324965760111809,-17.156554796451637,0.03931604325771332
Gaia,DR3,4814229739736858240,75.66573997922544,-39.854789875900124,12.931696891784668,1.0200815200805664,1.0984546953430678,18.011763183470357,84.7779142435277,60.84717811568032,22.14884376525879,1.1177544593811035,3.6632063931116816,nan,,,1.000777244567871,,Gaia_DR3,4.330652566945555,-21.200483768111166,3.5766350070247515,0.011805828660726547,-20.811868329271945,0.014706594869494438
Gaia,DR3,4806347340877274368,82.82410602520376,-41.38200777935523,15.781844139099121,2.0243968963623047,3.8955185644796444,19.934594797568487,85.84850674145635,61.91038773966477,,,4.18899766765366,nan,,,1.2911629676818848,,None,1.706079213291861,-22.526486533284864,4.695932695642883,0.03936562314629555,-24.227905484265268,0.045540060847997665
Gaia,DR3,4813232448330448768,75.43179411281355,-43.08963334095332,13.453946113586426,1.335465431213379,4.804898445330329,15.19283207244209,66.05490065742146,62.281461960186185,31.613014221191406,1.6370333433151245,4.174800165119622,nan,,,1.0449916124343872,,Gaia_DR3,5.0401635968349545,-21.112892019422503,8.427796854750866,0.011772203259170055,-18.581844449067788,0.014954066835343838
Gaia,DR3,4814097248585422208,75.31508926491573,-40.34969979051584,12.243778228759766,0.9076900482177734,4.909489293618189,17.449086016560322,82.40553218264716,61.05532982930878,70.62284088134766,0.7802936434745789,3.6602775610554015,nan,,,1.0857292413711548,,Gaia_DR3,4.464756424871591,-20.79434399239294,2.77083105205117,0.011015989817678928,-17.405885045757728,0.013540275394916534
Gaia,DR3,4807117613195378176,81.04000316489447,-41.199786040767435,17.744993209838867,2.5314769744873047,0.21815783284128987,19.216243089237235,89.60694105276295,61.77297723290937,,,3.6787443307884358,nan,,,1.0700167417526245,,None,2.2126965228411586,-19.973338901414884,2.1845172066630676,0.08656346797943115,-19.806517220790266,0.09647878259420395
Gaia,DR3,4841257105640387456,64.69412013270747,-39.692242169416645,18.035985946655273,2.817790985107422,3.905160002378985,15.203125661603039,66.31305628829995,59.53866223897326,,,4.226658589120619,nan,,,1.0610952377319336,,None,9.848454259326182,-25.52578422275102,8.656289358773622,0.10731956362724304,-28.794766755986352,0.12247801572084427
Gaia,DR3,4815124325587939712,72.30105729976141,-42.08646777766769,20.18819808959961,2.1891822814941406,2.493074689409129,14.823854462536879,68.01034062647373,61.58799209673803,,,3.7707390285400564,nan,,,1.0221970081329346,,None,5.809980578219802,-20.123687144868885,5.180520121191783,0.5111937522888184,-22.00283287855153,0.6064411401748657
Gaia,DR3,4815464864954818560,71.53397905416676,-40.47321235842692,18.97185516357422,3.1801815032958984,3.2503559825477346,16.014337025124604,75.27188186296242,60.77499534223177,,,3.690137743823779,nan,,,1.3853968381881714,,None,5.984893579731935,-21.086147886914155,7.902071308256081,0.2465459406375885,-22.734721953557617,0.38248008489608765
Gaia,DR3,4818900426475265280,79.20494379576623,-41.04511757040996,19.544448852539062,2.9745121002197266,3.199254904520148,18.494229579223838,81.80592651065994,61.62299142233225,,,3.89846494271639,nan,,,1.0570988655090332,,None,3.1212015761796876,-21.360829774065117,5.276573316218557,0.28123554587364197,-19.855044657015938,0.36842259764671326
Gaia,DR3,4813932420623543936,76.64555110513564,-40.79040131415531,19.711103439331055,2.914651870727539,1.3193997054001498,17.602438943046778,76.76687464688604,61.356377023794806,,,4.0022805346313595,nan,,,1.0886448621749878,,None,4.3102719274731545,-22.27040710355249,3.8418391341684903,0.32239505648612976,-21.26055736872192,0.3647497296333313
Gaia,DR3,4817179317116951040,74.65291551985602,-39.76643577645182,17.23282241821289,2.743946075439453,2.58179528681566,17.709506663431295,76.69966901556604,60.72515684054605,,,4.248988573242214,nan,,,1.0509549379348755,,None,5.483888804113805,-24.734124585680615,7.714608174091335,0.0645284578204155,-24.1242357561256,0.0774194672703743
Gaia,DR3,4859040645363891968,59.440882601744214,-34.2689587032881,16.814496994018555,2.433182716369629,4.16098306674223,20.330888537204036,89.49323284598009,55.63503743902044,,,3.921322406733317,nan,,,1.0764946937561035,,None,11.183651455770285,-28.755490882950152,14.183702281282454,0.04490165784955025,-30.438104861373745,0.057346124202013016
Gaia,DR3,4805839052970673024,81.8390827198163,-42.81610645593556,18.117977142333984,2.631166458129883,2.6821110629649434,18.377870754697117,83.33353284588036,62.501433427470104,,,3.7836026649423244,nan,,,1.0434167385101318,,None,1.9468906261368135,-19.123780752088628,2.8597862768221978,0.11879580467939377,-21.05853293543551,0.10790079087018967
Gaia,DR3,4806591947854449408,80.28610213604588,-42.240772566489525,16.82366943359375,2.794022560119629,3.6849119392255085,18.054494145591704,79.04626650056098,62.200711508046545,,,4.413271307167728,nan,,,0.9980793595314026,,None,3.0159482707632805,-22.937689575393854,5.280317362701122,0.05235106125473976,-25.511769208407948,0.06605476140975952
Gaia,DR3,4823681794524175744,75.72341394059919,-37.28064153516692,11.9801025390625,0.9142990112304688,3.257445246004451,20.301494311056835,89.48333355473848,59.5580861627218,17.2714900970459,0.3932383060455322,3.9128959846263323,nan,,,0.9664098620414734,,Gaia_DR3,4.601631457131938,-24.87558045573155,2.0731169381480106,0.010474770329892635,-23.966431184850187,0.011754784733057022
Gaia,DR3,4843582473949922560,58.66584306965103,-39.265262051343676,16.196184158325195,2.4061403274536133,3.4127780078919563,15.362463146736664,66.69027309135765,58.30769161306974,,,4.108316025156438,nan,,,0.9602527618408203,,None,12.02540399333651,-25.914700685339014,10.913167004266683,0.03472435846924782,-28.653168436306792,0.04465392604470253
Gaia,DR3,4845381103174153600,61.51205184719203,-38.236236083579485,14.138978004455566,1.5681419372558594,3.370065463729993,16.380947305104165,74.02636352380004,58.27706273095597,14.317228317260742,1.9672763347625732,4.534724288209437,nan,,,1.1841349601745605,,Gaia_DR3,12.01181810337586,-29.21273481454984,14.027575390166593,0.014532381668686867,-31.72587135587063,0.01917375810444355
Gaia,DR3,4816273693196368384,70.45731788984962,-40.10631289453622,19.097728729248047,2.919557571411133,2.5288289296861146,16.02867649216947,73.28587821746991,60.48592626871928,,,4.5725280367511205,nan,,,0.9775497317314148,,None,7.933957608767386,-26.5960589063623,9.630834711138197,0.20739954710006714,-24.84602166581196,0.24495431780815125
Gaia,DR3,4845143230705691904,59.94330831330652,-38.456494271713815,16.396411895751953,2.4198503494262695,3.9900266410615806,16.13736233897284,82.68728494702906,58.11694871377226,,,3.4980508026690935,nan,,,0.9946321249008179,,None,9.805247999553092,-22.531375318376753,12.74448745169115,0.03718923404812813,-22.396280944995354,0.04351396486163139
Gaia,DR3,4840688387547129088,63.00807784243238,-41.441685778290235,14.04851245880127,1.5058460235595703,1.7585066834012648,13.281942363256345,60.25340453090554,60.13235405803324,-23.97731590270996,2.0677244663238525,3.818250017243561,nan,,,0.9450286626815796,,Gaia_DR3,9.545404847555279,-21.764132238472058,8.580338376655655,0.014242151752114296,-20.728664696730327,0.016702184453606606
Gaia,DR3,4817845960464598528,71.75418796930501,-39.05503702567776,19.59904670715332,2.6397857666015625,3.535043928332356,17.38164109273155,88.73038802295368,60.10875338571263,,,3.4803741137245554,nan,,,1.0655487775802612,,None,5.563802970654542,-20.972169228450962,3.3003473642070635,0.3243229389190674,-22.238585513823256,0.3934941589832306
Gaia,DR3,4841108400989059840,63.889283835178006,-40.64597948101653,17.34926986694336,2.4924888610839844,4.26239831578017,14.161900298528948,61.63243845429959,59.88715921683112,,,4.137526959310762,nan,,,1.05977463722229,,None,9.977336548038934,-24.20881305759423,7.919549568978761,0.07104100286960602,-21.112434631900058,0.08683017641305923
