target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,central_concentration_10pc,peak_shell,peak_radius_mid_pc,monotonic_fraction,hollow_core_flag,anti_cluster_flag,n_0_10pc,density_0_10pc,n_10_20pc,density_10_20pc,n_20_30pc,density_20_30pc,n_30_40pc,density_30_40pc,n_40_50pc,density_40_50pc,n_50_60pc,density_50_60pc,n_60_70pc,density_60_70pc,csv_path,cluster,is_field_like,cluster_notes,field_notes,is_confirmed_cluster,reference_label,model_region
GJ_1214,0,0,0,0,0.0,0.0,,,,,,,,,insufficient_data,,0_10,5.0,1.0,False,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\GJ_1214.csv,,False,,,False,unknown,unknown
GJ_357,0,0,0,0,0.0,0.0,,,,,,,,,insufficient_data,,0_10,5.0,1.0,False,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\GJ_357.csv,,False,,,False,unknown,unknown
Gliese_12,0,0,0,0,0.0,0.0,,,,,,,,,insufficient_data,,0_10,5.0,1.0,False,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\Gliese_12.csv,,False,,,False,unknown,unknown
HD_136352,0,0,0,0,0.0,0.0,,,,,,,,,insufficient_data,,0_10,5.0,1.0,False,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_136352.csv,,False,,,False,unknown,unknown
HD_260655,0,0,0,0,0.0,0.0,,,,,,,,,insufficient_data,,0_10,5.0,1.0,False,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_260655.csv,,False,,,False,unknown,unknown
HD_39091,0,0,0,0,0.0,0.0,,,,,,,,,insufficient_data,,0_10,5.0,1.0,False,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_39091.csv,,False,,,False,unknown,unknown
LHS_1815,0,0,0,0,0.0,0.0,,,,,,,,,insufficient_data,,0_10,5.0,1.0,False,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\LHS_1815.csv,,False,,,False,unknown,unknown
K2-101,3336,3336,1461,1614,0.012918076214292173,0.0013810541836038663,9.353779429987608,0.9742620138528324,0.9616805191057182,0.01258149474711423,0.987086128199375,0.9932019034670292,0.9938423645320197,0.987086128199375,ok,9.119525925925926,0_10,5.0,1.0,False,False,869,0.20745846832028558,366,0.012482294822492936,226,0.0028396592477975013,261,0.00168403135731019,378,0.001479358241526306,536,0.0014061601565481744,700,0.0013158479546967726,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-101.csv,Praesepe,False,,,True,cluster,robust_cluster_candidate
K2-102,3443,3443,1456,1714,0.012873866507877758,0.0014666213573091863,8.777907429015947,0.9733970522560192,0.9611495954937143,0.012247456762304987,0.9874178201650402,0.9931787175989086,0.994199535962877,0.9874178201650402,ok,8.57604055993588,0_10,5.0,1.0,False,False,891,0.21271058144231814,350,0.011936620731892151,215,0.0027014457445861183,273,0.001761458086381923,396,0.0015498038720751777,571,0.0014979803160242678,747,0.0014041977459406988,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-102.csv,Praesepe,False,,,True,cluster,robust_cluster_candidate
K2-100,3417,3417,1454,1690,0.012856182625311992,0.0014460852356199096,8.89033530571992,0.9730482089127616,0.9607169888432067,0.012331220069554893,0.9873272259723562,0.9931693989071039,0.9941176470588236,0.9873272259723562,ok,8.668968510028114,0_10,5.0,1.0,False,False,871,0.20793593314956127,361,0.012311771669180191,222,0.002789399792084271,273,0.001761458086381923,401,0.0015693721027831976,570,0.0014953568828963795,719,0.001351563827752828,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-100.csv,Praesepe,False,,,True,cluster,robust_cluster_candidate
K2-104,3444,3444,1448,1730,0.012803130977614693,0.0014803121051020377,8.648940269749517,0.9728298632230523,0.960604875427004,0.012224987796048303,0.9874335808775996,0.9931412894375857,0.9942528735632183,0.9874335808775996,ok,8.49046240629407,0_10,5.0,1.0,False,False,872,0.2081746655641991,363,0.012379980930505288,213,0.0026763160167295034,266,0.001716292494423412,412,0.0016124222103408414,576,0.0015110974816637097,742,0.001394798831978579,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-104.csv,Praesepe,False,,,True,cluster,robust_cluster_candidate
K2-95,3523,3523,1472,1772,0.013015337568403887,0.001516250318058272,8.58389766741911,0.9697637335453956,0.9578148429716543,0.011948890573741267,0.987678554930017,0.9932523616734144,0.9943883277216611,0.987678554930017,ok,8.399732741029668,0_10,5.0,1.0,False,False,783,0.18692748066143108,443,0.01510835138350921,246,0.0030909565263636516,279,0.0018001714509177894,406,0.0015889403334912176,590,0.0015478255454541472,776,0.0014587114469209936,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-95.csv,Praesepe,False,,,True,cluster,robust_cluster_candidate
K2-264,3404,3404,1449,1663,0.012811972918897576,0.001422982098719473,9.003607937462416,0.969542471696227,0.9571417059290936,0.012400765767133337,0.9872096724701105,0.9931459904043866,0.9940227136879857,0.9872096724701105,ok,8.674509803921568,0_10,5.0,1.0,False,False,745,0.17785564890519304,470,0.016029176411398033,234,0.0029401781592239616,292,0.0018840504074121667,376,0.001471530949243098,549,0.0014402647872107234,738,0.001387279700808883,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-264.csv,Praesepe,False,,,True,cluster,robust_cluster_candidate
K2-264,3404,3404,1449,1663,0.012811972918897576,0.001422982098719473,9.003607937462416,0.969542471696227,0.9571417059290936,0.012400765767133337,0.9872096724701105,0.9931459904043866,0.9940227136879857,0.9872096724701105,ok,8.674509803921568,0_10,5.0,1.0,False,False,745,0.17785564890519304,470,0.016029176411398033,234,0.0029401781592239616,292,0.0018840504074121667,376,0.001471530949243098,549,0.0014402647872107234,738,0.001387279700808883,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-264.csv,Praesepe,False,,,True,cluster,robust_cluster_candidate
K2-33,8995,8995,3030,4864,0.02679108208713572,0.004161987329026769,6.4370888157894735,0.893659671840122,0.8888925090440934,0.004767162796028512,0.9946655724251129,0.9967105263157895,0.9979482970865818,0.9946655724251129,ok,5.945049827698613,0_10,5.0,1.0,False,False,446,0.10647465692847798,1492,0.05088410894852312,1092,0.01372083140971182,1101,0.0071039023923314916,1433,0.005608254920918509,1608,0.004218480469644523,1823,0.003426844030588881,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-33.csv,Sco-Cen,False,,,True,cluster,robust_cluster_candidate
