target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,central_concentration_10pc,peak_shell,peak_radius_mid_pc,monotonic_fraction,hollow_core_flag,anti_cluster_flag,n_0_10pc,density_0_10pc,n_10_20pc,density_10_20pc,n_20_30pc,density_20_30pc,n_30_40pc,density_30_40pc,n_40_50pc,density_40_50pc,n_50_60pc,density_50_60pc,n_60_70pc,density_60_70pc,csv_path,_norm,st_age,st_ageerr1,st_ageerr2,age,age_err,frac_err,no_age,bad_age,terrible_age,priority
K2-101,3336,3336,1461,1614,0.0129180762142921,0.0013810541836038,9.353779429987608,0.9742620138528324,0.9616805191057182,0.0125814947471142,0.987086128199375,0.9932019034670292,0.9938423645320196,0.987086128199375,ok,9.119525925925926,0_10,5.0,1.0,False,False,869,0.2074584683202855,366,0.0124822948224929,226,0.0028396592477975,261,0.0016840313573101,378,0.0014793582415263,536,0.0014061601565481,700,0.0013158479546967,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-101.csv,k2-101,,,,,,,True,False,False,True
K2-104,3444,3444,1448,1730,0.0128031309776146,0.001480312105102,8.648940269749517,0.9728298632230524,0.960604875427004,0.0122249877960483,0.9874335808775996,0.9931412894375856,0.9942528735632185,0.9874335808775996,ok,8.49046240629407,0_10,5.0,1.0,False,False,872,0.2081746655641991,363,0.0123799809305052,213,0.0026763160167295,266,0.0017162924944234,412,0.0016124222103408,576,0.0015110974816637,742,0.0013947988319785,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-104.csv,k2-104,,,,,,,True,False,False,True
K2-95,3523,3523,1472,1772,0.0130153375684038,0.0015162503180582,8.58389766741911,0.9697637335453956,0.9578148429716544,0.0119488905737412,0.987678554930017,0.9932523616734144,0.9943883277216612,0.987678554930017,ok,8.399732741029668,0_10,5.0,1.0,False,False,783,0.186927480661431,443,0.0151083513835092,246,0.0030909565263636,279,0.0018001714509177,406,0.0015889403334912,590,0.0015478255454541,776,0.0014587114469209,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-95.csv,k2-95,,,,,,,True,False,False,True
K2-264,3404,3404,1449,1663,0.0128119729188975,0.0014229820987194,9.003607937462416,0.969542471696227,0.9571417059290936,0.0124007657671333,0.9872096724701104,0.9931459904043866,0.9940227136879856,0.9872096724701104,ok,8.674509803921568,0_10,5.0,1.0,False,False,745,0.177855648905193,470,0.016029176411398,234,0.0029401781592239,292,0.0018840504074121,376,0.001471530949243,549,0.0014402647872107,738,0.0013872797008088,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-264.csv,k2-264,,,,,,,True,False,False,True
K2-264,3404,3404,1449,1663,0.0128119729188975,0.0014229820987194,9.003607937462416,0.969542471696227,0.9571417059290936,0.0124007657671333,0.9872096724701104,0.9931459904043866,0.9940227136879856,0.9872096724701104,ok,8.674509803921568,0_10,5.0,1.0,False,False,745,0.177855648905193,470,0.016029176411398,234,0.0029401781592239,292,0.0018840504074121,376,0.001471530949243,549,0.0014402647872107,738,0.0013872797008088,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-264.csv,k2-264,,,,,,,True,False,False,True
K2-264,3404,3404,1449,1663,0.0128119729188975,0.0014229820987194,9.003607937462416,0.969542471696227,0.9571417059290936,0.0124007657671333,0.9872096724701104,0.9931459904043866,0.9940227136879856,0.9872096724701104,ok,8.674509803921568,0_10,5.0,1.0,False,False,745,0.177855648905193,470,0.016029176411398,234,0.0029401781592239,292,0.0018840504074121,376,0.001471530949243,549,0.0014402647872107,738,0.0013872797008088,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-264.csv,k2-264,,,,,,,True,False,False,True
K2-264,3404,3404,1449,1663,0.0128119729188975,0.0014229820987194,9.003607937462416,0.969542471696227,0.9571417059290936,0.0124007657671333,0.9872096724701104,0.9931459904043866,0.9940227136879856,0.9872096724701104,ok,8.674509803921568,0_10,5.0,1.0,False,False,745,0.177855648905193,470,0.016029176411398,234,0.0029401781592239,292,0.0018840504074121,376,0.001471530949243,549,0.0014402647872107,738,0.0013872797008088,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-264.csv,k2-264,,,,,,,True,False,False,True
K2-91,757,757,254,184,0.0022458530858523,0.0001574435996177,14.26449275362319,0.7268098584615991,0.6632338633446831,0.0635759951169159,0.9125273352077476,0.9621212121212122,0.9484536082474226,0.9125273352077476,ok,5.910021353361314,0_10,5.0,1.0,False,False,12,0.0028647889756541,69,0.0023532195157158,173,0.0021737214595972,319,0.0020582605478235,184,0.0007201108900551,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-91.csv,k2-91,,,,,,,True,False,False,True
WASP-107,771,771,245,216,0.0021662756143063,0.0001848250952034,11.720679012345675,0.7125143191807561,0.6542817589978417,0.0582325601829144,0.91827173347215,0.9607843137254902,0.9557522123893806,0.91827173347215,ok,5.451344881002675,0_10,5.0,1.0,False,False,11,0.0026260565610162,69,0.0023532195157158,165,0.0020732025481707,310,0.0020001905010197,216,0.0008453475665864,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-107.csv,wasp-107,,,,,,,True,False,False,True
K2-151,393,393,138,144,0.0012201878970378,0.0001232167301356,9.902777777777777,0.7364229741277432,0.6420760504504437,0.0943469236772994,0.871884871884872,0.9324324324324323,0.935064935064935,0.8718848718848718,ok,6.333769063180828,20_30,25.0,0.8333333333333334,False,False,5,0.0011936620731892,33,0.0011254528118641,100,0.0012564863928307,111,0.0007161972439135,144,0.0005635650443909,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-151.csv,k2-151,,,,,,,True,False,False,True
