index,hostname,gaia_id,rv,query_timestamp,attempt_completed_on,srad_input_pc,srad_used_pc,ok,runtime_s,csv_path,distance_pc,search_radius_deg,min_parallax_mas,parallax_error_cut_mas,n_query_rows,n_base,n_not_self,n_convergcut,n_cmd_clean,n_good_rv,n_rv_comoving,n_rv_outlier,n_final,error
0,HIP_65_A,4923860051276772608,21.18428993,"2026-04-02 00:29:41",1,20.000000,20.000000,1,18.34,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HIP_65_A.csv",61.86532172966987,18.861576810687,12.215184389088854,1.6164144500365734,4694,5,4,4,3,2,1,1,4,""
0,HIP_65_A,4923860051276772608,21.18428993,"2026-04-02 00:37:26",1,50.000000,50.000000,1,115.15,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HIP_65_A.csv",61.86532172966987,45.00000000000001,9.46873662415577,1.6164144500365734,52448,18,17,17,16,8,2,6,17,""
1,WASP-136,2441013811932929280,11.21512794,"2026-04-02 00:39:22",1,50.000000,50.000000,1,61.32,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-136.csv",268.6398596523369,10.726600496597442,3.1383393185368735,0.5,43629,41,40,40,37,10,3,6,40,""
0,HIP_65_A,4923860051276772608,21.18428993,"2026-04-02 00:42:39",1,90.000000,90.000000,1,112.94,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HIP_65_A.csv",61.86532172966987,45.00000000000001,9.46873662415577,1.6164144500365734,52448,44,43,43,38,22,7,14,43,""
0,HIP_65_A,4923860051276772608,21.18428993,"2026-04-02 01:15:06",1,90.000000,90.000000,1,122.72,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HIP_65_A.csv",61.86532172966987,45.00000000000001,9.46873662415577,1.6164144500365734,52448,44,43,43,38,22,7,14,43,""
1,WASP-136,2441013811932929280,11.21512794,"2026-04-02 01:17:09",1,90.000000,90.000000,1,216.54,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-136.csv",268.6398596523369,19.573816211206527,2.7883124897756577,0.5,189463,659,658,658,623,170,28,125,658,""
2,KELT-1,2881784280929695360,-14.20667267,"2026-04-02 01:20:46",1,90.000000,90.000000,0,300.04,"",,,,,,,,,,,,,,"TimeoutError('Attempt timed out after 300s')"
2,KELT-1,2881784280929695360,-14.20667267,"2026-04-02 01:28:12",1,90.000000,90.000000,1,318.49,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\KELT-1.csv",271.47087667285524,19.361501107637185,2.76647460289045,0.5,286725,3556,3555,3555,3197,952,206,703,3555,""
3,HATS-34,4904523077718046720,19.81319046,"2026-04-02 01:33:31",1,90.000000,90.000000,1,198.46,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HATS-34.csv",514.4240520346648,10.075919484054861,1.6544675822110537,0.5,179296,522,521,521,494,103,15,85,521,""
4,WASP-96,4990044668377961984,-1.097559452,"2026-04-02 01:36:50",1,90.000000,90.000000,1,207.66,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-96.csv",349.7738652580879,14.910453625394416,2.2738959247001524,0.5,182724,1204,1203,1203,1156,296,64,220,1203,""
5,TOI-198,2333676738050041728,19.7009964,"2026-04-02 01:40:18",1,90.000000,90.000000,1,65.35,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-198.csv",23.77603676566191,44.99999999999999,24.63768219238775,4.205915434334417,3158,7,6,6,6,6,1,5,6,""
6,WASP-44,2424406513428936832,-3.095204592,"2026-04-02 01:41:24",1,90.000000,90.000000,1,180.45,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-44.csv",361.74123235828944,14.40631445306302,2.213656687434877,0.5,161206,292,291,291,278,62,9,43,291,""
7,Gliese_12,2768048564768256512,51.04111099,"2026-04-02 01:44:25",1,90.000000,90.000000,1,64.41,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\Gliese_12.csv",12.166368167174484,45.00000000000001,48.148011763065675,8.219379738137908,366,1,0,0,0,1,1,0,0,""
8,WASP-32,2546413408888429696,18.27012634,"2026-04-02 01:45:30",1,90.000000,90.000000,1,215.61,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-32.csv",280.06786490695333,18.744628216464463,2.702207067483234,0.5,191370,365,364,364,352,91,17,72,364,""
9,WASP-158,2424621502311961344,24.67984581,"2026-04-02 01:49:06",1,90.000000,90.000000,1,140.44,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-158.csv",540.2565553829651,9.589469191480553,1.5866554523853644,0.5,123440,354,353,353,338,76,7,61,353,""
1042,HD_114082,6055854551117476480,7.561745644,"2026-04-02 02:06:21",1,90.000000,90.000000,1,258.42,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_114082.csv",95.05641205463611,45.000000000000014,6.162513658628406,0.5,184333,7860,7859,7859,7194,3743,1429,1751,7859,""
10,HD_1397,4707634458245031552,30.64109993,"2026-04-02 02:12:06",1,90.000000,90.000000,1,199.32,"C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_1397.csv",80.04204523726139,45.00000000000001,7.318484127816964,1.2493433882602456,112353,977,976,968,867,481,24,439,968,""
