target,gaia_dr3_id,notes
HIP 65 A,4.923860051276772e+18,none
WASP-136,2.441013811932929e+18,none
KELT-1,2.881784280929696e+18,none
HATS-34,4.904523077718047e+18,none
WASP-96,4.990044668377961e+18,none
TOI-198,2.333676738050042e+18,none
WASP-44,2.4244065134289367e+18,"notes:
substellar companion
wasp-44b
detected, see also
wasp-44
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
Gliese 12,2.7680485647682565e+18,none
WASP-32,2.5464134088884296e+18,"notes:
substellar companion
wasp-32b
detected, see also
wasp-32
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
WASP-158,2.424621502311961e+18,none
HD 1397,4.707634458245032e+18,none
TOI-6016,4.283600063790226e+17,none
WASP-26,2.416782701664155e+18,"notes:
substellar companion
wasp-26b
detected, see also
wasp-26
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
TOI-260,2.428162410789156e+18,none
Qatar-4,3.856971728093554e+17,none
WASP-20,2.359978293137039e+18,"notes:
substellar companion
wasp-20b
detected, see also
wasp-20
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
