Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5590921485126584832,110.1704096,-33.9223278,12.771,0.857,0.000,0.0000,0.0000,19.10,19.10,2.06,2.637,G5.4,nan,nan,0.917,nan,Gaia DR3
Gaia DR3 5591113869603402368,110.0306599,-33.7989557,17.607,2.693,1.506,0.1694,1.4041,19.15,nan,nan,2.631,M3.5,nan,nan,0.961,nan,None
Gaia DR3 5590871324209090688,110.1095190,-34.3500657,12.894,0.898,3.507,0.4307,3.2161,19.04,39.44,3.37,2.647,G7.9,nan,nan,1.057,nan,Gaia DR3
Gaia DR3 5590866784426915072,110.7585569,-33.8983506,19.538,3.036,0.603,0.4887,3.2873,18.98,nan,nan,2.633,M4.2,nan,nan,1.037,nan,None
Gaia DR3 5591130151821320064,110.1577028,-33.4339442,18.039,3.121,1.241,0.4885,4.5746,19.18,nan,nan,2.659,M4.4,nan,nan,1.038,nan,None
Gaia DR3 5590905890106791552,110.4266184,-34.0543959,16.973,2.922,2.207,0.2501,4.9168,19.02,nan,nan,2.669,M3.9,nan,nan,1.215,nan,None
Gaia DR3 5590914303941225728,110.6942532,-33.8493325,16.978,2.609,0.247,0.4410,5.2747,19.00,nan,nan,2.668,M3.3,nan,nan,0.993,nan,None
Gaia DR3 5591052945486304384,109.1228833,-33.9853145,18.455,3.169,1.533,0.8712,5.7710,19.30,nan,nan,2.638,M4.5,nan,nan,1.102,nan,None
Gaia DR3 5592403386284718848,111.1156569,-33.5165899,18.130,3.151,2.420,0.8847,6.0025,18.96,nan,nan,2.628,M4.5,nan,nan,0.987,nan,None
Gaia DR3 5591094383332435840,109.9349547,-33.7642603,12.388,0.776,2.648,0.2515,6.2928,19.17,16.93,1.87,2.595,F9.8,nan,nan,1.047,nan,Gaia DR3
Gaia DR3 5591198321540789760,109.7094972,-33.1741284,19.461,3.151,4.870,0.8410,7.1903,19.31,nan,nan,2.606,M4.5,nan,nan,1.118,nan,None
