Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3610090784483619456,202.4887514,-12.734776,13.299,1.106,0.0,0.0,0.0,33.17,33.17,1.55,3.506,,,,0.934,,Gaia_DR3,-4.34,-7.552,-4.34,0.017,-7.552,0.011
Gaia,DR3,3608451240847871488,200.9545654,-13.8621441,16.106,2.047,2.84,1.8708,9.5382,33.5,,,3.483,,,,0.985,,,-3.717,-6.995,-5.798,0.063,-7.126,0.036
Gaia,DR3,3606547947565238784,203.3617663,-14.9120619,17.356,2.43,2.389,2.3365,15.3249,33.44,,,3.39,,,,0.986,,,-4.524,-6.413,-5.601,0.103,-7.738,0.061
Gaia,DR3,3607103510175255552,204.6232442,-13.7728596,17.519,2.621,2.575,2.3225,15.7426,33.11,,,3.646,,,,0.973,,,-5.371,-7.434,-6.356,0.127,-5.717,0.091
Gaia,DR3,3606547745702018816,203.3619939,-14.9166365,15.527,1.866,2.572,2.3408,18.3066,33.44,,,3.344,,,,1.024,,,-4.461,-6.323,-5.513,0.039,-7.799,0.024
Gaia,DR3,3617246337437685888,206.2829361,-9.9234187,17.593,2.626,2.903,4.6627,23.4439,32.18,,,3.475,,,,0.955,,,-5.752,-8.727,-3.627,0.136,-8.827,0.098
Gaia,DR3,3604670295237798784,202.1160716,-16.1958136,15.712,2.072,1.048,3.4798,26.0341,33.76,,,3.77,,,,1.018,,,-4.511,-6.505,-5.028,0.048,-7.158,0.03
Gaia,DR3,3607633788312528128,200.4394447,-15.522072,13.039,1.097,2.143,3.4231,27.4222,33.81,4.24,1.38,3.799,,,,1.054,,Gaia_DR3,-3.837,-6.841,-3.524,0.017,-5.153,0.011
Gaia,DR3,3617117174885985920,207.21344,-9.8727527,19.627,2.942,1.648,5.4453,27.5577,32.04,,,3.588,,,,1.167,,,-6.302,-9.048,-7.332,0.575,-8.347,0.424
Gaia,DR3,3606148657340903936,206.5945948,-14.0253026,18.063,2.711,2.315,4.1976,28.2063,32.91,,,3.767,,,,0.985,,,-6.363,-7.614,-5.513,0.197,-5.984,0.134
Gaia,DR3,3618292282232549888,205.7050144,-8.5737016,16.991,2.422,2.735,5.225,28.2189,31.97,,,3.389,,,,1.096,,,-5.395,-9.042,-6.951,0.123,-7.859,0.078
Gaia,DR3,3617129033290785024,207.4316121,-9.6320923,14.018,1.366,1.78,5.7561,28.6169,31.96,3.66,2.9,3.513,,,,1.109,,Gaia_DR3,-6.254,-8.963,-6.087,0.025,-10.271,0.02
Gaia,DR3,3617129028995058560,207.4317432,-9.6306494,12.44,0.906,1.844,5.757,28.842,31.96,0.73,0.84,3.479,,,,0.998,,Gaia_DR3,-6.193,-8.877,-6.243,0.018,-10.228,0.015
Gaia,DR3,3612006095084400640,208.2252673,-13.5791857,17.792,2.636,1.544,5.6492,29.0889,32.6,,,3.431,,,,1.053,,,-6.403,-7.162,-7.054,0.179,-6.253,0.177
Gaia,DR3,3511448339315990784,198.2211649,-16.9186388,16.643,2.235,2.799,5.8749,29.1921,34.16,,,3.524,,,,1.04,,,-2.684,-5.695,-3.001,0.093,-7.75,0.058
Gaia,DR3,3625228031645614336,198.9100592,-8.2010974,18.732,2.791,2.966,5.7386,29.3671,32.56,,,3.613,,,,1.026,,,-3.031,-9.723,-4.289,0.351,-7.847,0.243
