Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3291455819447952768,74.5523328,9.9979788,9.458,0.257,0.0,0.0,0.0,21.8,24.26,1.39,3.143,,,,0.949,,Gaia_DR3,-2.702,-5.059,-2.702,0.024,-5.059,0.019
Gaia,DR3,3294551322637418752,73.8735774,10.6104388,15.054,1.557,2.079,0.9061,6.2918,21.76,29.92,4.99,3.107,,,,4.989,,Gaia_DR3,-2.493,-5.158,-2.136,0.168,-3.845,0.127
Gaia,DR3,3289805452495425280,73.4479824,9.1327125,13.369,1.139,2.48,1.3909,9.8938,21.99,19.02,1.32,3.206,,,,0.967,,Gaia_DR3,-2.458,-4.946,-2.157,0.019,-6.594,0.013
Gaia,DR3,3290804083930566912,76.5171196,9.5272881,13.354,1.087,0.542,1.9927,11.3291,21.71,21.65,2.0,3.121,,,,1.024,,Gaia_DR3,-3.196,-4.889,-3.228,0.02,-5.244,0.014
Gaia,DR3,3290167599840672128,75.2401208,7.9389214,17.05,2.42,2.993,2.1682,13.692,22.01,,,3.211,,,,1.06,,,-2.945,-4.63,-2.388,0.107,-6.578,0.067
Gaia,DR3,3294741984826555520,72.0749859,10.7052846,17.335,2.526,2.672,2.5376,14.2094,21.86,,,3.165,,,,1.027,,,-2.06,-5.292,-0.411,0.102,-4.616,0.073
Gaia,DR3,3295124438777154432,75.6977785,11.8395513,19.317,2.849,1.029,2.1578,14.4473,21.46,,,3.227,,,,1.036,,,-3.084,-5.657,-3.173,0.305,-4.962,0.248
Gaia,DR3,3291548762540039936,74.7415266,10.5388334,18.459,2.898,2.233,0.572,14.5621,21.71,,,3.009,,,,0.986,,,-2.634,-4.972,-4.013,0.265,-5.296,0.188
Gaia,DR3,3291912765312479232,75.5673401,10.8913065,18.149,2.334,1.669,1.3395,14.5918,21.61,,,3.273,,,,1.148,,,-3.092,-5.493,-2.0,0.193,-5.857,0.142
Gaia,DR3,3290935608713588096,77.0348661,9.9424809,18.507,2.88,2.045,2.4457,15.3932,21.61,,,3.219,,,,1.07,,,-3.435,-5.144,-4.823,0.269,-5.164,0.214
Gaia,DR3,3291612529918900608,76.5047783,10.0837162,18.157,2.926,2.989,1.9244,15.5589,21.64,,,3.261,,,,0.945,,,-3.336,-5.253,-1.314,0.183,-4.884,0.141
Gaia,DR3,3291394242501120256,73.8476701,9.696891,18.689,2.92,1.051,0.7568,15.7632,21.89,,,3.0,,,,1.036,,,-2.401,-4.762,-1.961,0.228,-5.26,0.166
Gaia,DR3,3295691889856507264,72.7379446,11.9045369,19.314,2.956,2.526,2.6092,15.7801,21.65,,,3.21,,,,1.016,,,-2.269,-5.671,-0.693,0.361,-6.332,0.262
Gaia,DR3,3293224040304163072,71.6827788,10.3178792,15.795,2.145,1.41,2.8426,15.8422,21.93,,,3.133,,,,2.56,,,-1.936,-5.144,-1.765,0.115,-6.059,0.08
Gaia,DR3,3288575197766938624,73.4050271,7.3766864,18.858,3.17,1.677,2.8561,15.9818,22.2,,,3.127,,,,1.018,,,-2.386,-4.377,-1.288,0.259,-4.499,0.203
Gaia,DR3,3289398701912919936,73.0924612,7.7737088,16.83,2.236,0.349,2.6509,16.9945,22.18,,,3.064,,,,1.095,,,-2.258,-4.39,-2.231,0.085,-4.614,0.059
Gaia,DR3,3290920524787610112,77.643687,10.1937906,17.667,2.594,1.597,3.0498,17.3368,21.53,,,3.111,,,,0.967,,,-3.477,-5.027,-3.34,0.115,-3.988,0.093
Gaia,DR3,3242028579890592640,77.3126215,8.3499301,19.344,0.669,2.463,3.1845,17.6873,21.79,,,3.141,,,,0.996,,,-3.425,-4.617,-2.303,0.445,-3.433,0.335
Gaia,DR3,3288318225579961344,74.267372,6.8104579,15.259,2.129,1.465,3.2,17.7809,22.21,15.47,9.13,3.156,,,,0.976,,Gaia_DR3,-2.638,-4.267,-3.524,0.037,-4.672,0.027
Gaia,DR3,3291024364212607104,74.3310699,8.6253725,19.658,2.612,2.722,1.3899,18.1162,21.99,,,3.315,,,,1.042,,,-2.788,-4.971,-4.289,0.548,-6.138,0.434
Gaia,DR3,3289393238714624256,72.7133273,7.6753983,17.03,2.375,2.193,2.9489,18.2477,22.21,,,3.069,,,,0.988,,,-2.163,-4.375,-3.577,0.083,-4.25,0.065
Gaia,DR3,3296226493026062848,73.9725519,12.9263884,18.489,3.093,1.21,2.983,18.4146,21.42,,,3.069,,,,0.972,,,-2.489,-5.661,-2.743,0.22,-4.921,0.175
Gaia,DR3,3289820566483807872,73.0401673,8.9602099,17.358,2.574,1.092,1.817,19.2129,22.03,,,3.315,,,,0.985,,,-2.428,-5.07,-2.88,0.109,-4.455,0.076
Gaia,DR3,3295709035365715200,72.5204311,12.0889206,18.161,2.736,2.644,2.8894,19.5208,21.64,,,3.041,,,,1.036,,,-2.094,-5.419,-0.403,0.165,-5.294,0.119
Gaia,DR3,3391379019567618432,76.5750747,13.0140528,15.852,2.264,0.737,3.6089,20.0631,21.22,,,3.161,,,,2.017,,,-3.252,-5.823,-3.171,0.092,-5.338,0.065
