Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1612165353793791488,216.5238196,59.4442744,10.108,0.53,0.0,0.0,0.0,-10.65,-10.65,0.44,3.161,,,,0.885,,Gaia_DR3,-19.27,6.124,-19.27,0.015,6.124,0.014
Gaia,DR3,1618288499689056768,216.3228889,60.350779,13.68,1.183,2.453,0.9121,5.196,-10.45,-16.2,1.93,3.148,,,,0.989,,Gaia_DR3,-19.226,6.153,-18.794,0.016,7.723,0.013
Gaia,DR3,1612165353792906112,216.5255549,59.4446271,15.529,0.648,0.517,0.001,6.897,-10.65,,,3.231,,,,1.093,,,-19.699,6.261,-19.48,0.048,6.537,0.05
Gaia,DR3,1658088106195099648,211.8997269,57.4685222,13.77,1.201,1.794,3.1222,17.2455,-9.68,-6.64,2.11,3.159,,,,0.912,,Gaia_DR3,-19.91,4.539,-20.834,0.012,3.782,0.012
Gaia,DR3,1660139687517363840,214.2389294,58.957107,18.294,2.834,1.004,1.2672,17.5606,-10.13,,,3.008,,,,1.048,,,-18.663,5.139,-19.091,0.13,5.61,0.143
Gaia,DR3,1667512054716622848,213.0976459,62.6092154,16.334,2.282,1.292,3.5725,19.7307,-9.32,,,3.159,,,,1.122,,,-19.755,5.467,-20.278,0.052,4.784,0.049
Gaia,DR3,1612173016015443328,216.0509747,59.396081,17.637,2.742,2.096,0.2453,21.1347,-10.54,,,2.963,,,,1.077,,,-18.134,5.607,-19.07,0.113,6.523,0.094
Gaia,DR3,1659290628318348672,208.5635753,59.419699,19.108,2.922,1.953,4.0459,22.8071,-8.55,,,3.216,,,,1.051,,,-20.672,3.816,-20.156,0.196,2.596,0.224
Gaia,DR3,1618380446348751616,218.5301127,60.9767599,17.999,2.812,1.112,1.8279,23.4437,-10.89,,,2.964,,,,1.033,,,-17.768,6.468,-17.917,0.123,7.147,0.106
Gaia,DR3,1607668660473978880,220.8212542,56.2828208,17.24,2.432,1.806,3.8996,23.7354,-12.32,,,3.071,,,,0.981,,,-18.021,6.707,-17.211,0.065,5.864,0.079
Gaia,DR3,1618562175005116800,220.1330573,61.1562283,17.157,2.542,1.158,2.4749,24.665,-11.23,,,3.383,,,,1.039,,,-19.989,7.901,-20.684,0.087,7.456,0.071
Gaia,DR3,1611934525071422848,217.8568636,59.1745536,13.735,1.295,0.67,0.7319,24.9259,-11.03,-5.68,1.98,3.427,,,,1.403,,Gaia_DR3,-20.667,7.02,-20.555,0.021,6.549,0.023
Gaia,DR3,1661803699582496768,210.5877287,63.0230704,14.213,1.372,1.134,4.5753,25.646,-8.67,-11.5,2.53,3.217,,,,1.0,,Gaia_DR3,-20.445,4.822,-20.985,0.017,5.369,0.019
Gaia,DR3,1610290647813418112,218.1017431,56.1627229,19.084,3.062,1.643,3.3873,26.0084,-11.6,,,3.359,,,,1.003,,,-20.208,6.53,-19.664,0.199,5.502,0.213
Gaia,DR3,1608885987348557952,215.5240319,55.3953199,14.923,1.701,2.961,4.0845,27.907,-10.98,-25.1,4.56,3.343,,,,1.019,,Gaia_DR3,-20.543,5.637,-22.553,0.022,5.076,0.02
Gaia,DR3,1607119076458905216,219.8738289,54.8599387,16.847,2.172,2.797,4.9298,27.9378,-12.31,,,3.238,,,,0.946,,,-19.179,6.604,-19.425,0.054,4.711,0.065
Gaia,DR3,1657936373590913920,211.6090581,56.5933726,13.808,1.207,1.916,3.8585,28.6665,-9.7,-9.26,2.11,3.373,,,,1.095,,Gaia_DR3,-21.301,4.651,-22.507,0.013,4.017,0.013
Gaia,DR3,1658306217518429568,209.3575992,57.9755631,18.642,2.823,2.72,3.9987,28.6763,-8.91,,,2.995,,,,0.993,,,-19.165,3.641,-17.469,0.134,3.376,0.142
