Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5153091836072107136,45.4624245,-16.5945328,10.058,2.59,0.0,0.0,0.0,-5.74,-5.74,0.33,145.692,,,,1.073,,Gaia_DR3,-369.972,-267.931,-369.972,0.029,-267.931,0.028
Gaia,DR3,2974726131970829952,75.617831,-21.2578783,7.792,1.906,0.362,28.8582,4.0626,-9.64,,,119.574,,,,1.818,,,-161.251,-276.36,-166.877,0.035,-269.183,0.035
Gaia,DR3,2974726136265625088,75.617766,-21.2576392,9.637,1.889,2.482,28.8581,4.0933,-9.64,,,118.825,,,,1.759,,,-160.242,-274.628,-111.656,0.207,-235.833,0.129
Gaia,DR3,4894945708668731264,69.7536365,-23.8863725,19.519,3.271,2.36,23.8888,6.7141,-8.47,,,80.727,,,,1.166,,,-130.843,-188.94,-113.216,0.244,-152.857,0.378
Gaia,DR3,5271055243163629056,124.5328961,-68.314513,10.606,2.504,2.37,70.5778,10.5462,1.31,-6.1,0.19,94.266,,,,1.272,,Gaia_DR3,110.706,-295.749,94.794,0.018,-340.084,0.02
Gaia,DR3,3011223668834627328,88.6790354,-10.5899406,14.851,0.574,2.327,42.353,11.2137,-12.6,,,65.41,,,,1.053,,,-45.514,-126.743,-64.178,0.02,-152.836,0.02
Gaia,DR3,4955395178633330304,24.6802381,-45.242402,9.654,1.907,2.561,33.5215,11.6568,2.51,21.93,0.18,59.718,,,,1.019,,Gaia_DR3,-177.515,-88.209,-150.79,0.011,-70.183,0.014
Gaia,DR3,4955395178633330432,24.6818304,-45.246677,9.881,1.972,2.047,33.5242,11.6609,2.51,22.25,0.17,59.703,,,,1.123,,Gaia_DR3,-177.471,-88.188,-154.877,0.011,-75.795,0.015
Gaia,DR3,3185759697949251456,70.1214704,-9.1963275,10.248,2.225,1.269,25.1223,14.4429,-11.06,,,49.115,,,,1.279,,,-78.791,-89.018,-91.252,0.049,-84.862,0.038
Gaia,DR3,4866928335623297152,72.1669267,-35.6566961,13.786,3.231,1.782,30.446,14.5917,-6.28,10.92,18.52,49.78,,,,1.18,,Gaia_DR3,-75.201,-134.121,-58.191,0.017,-126.342,0.019
