Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1048109222955337600,160.7480882,60.9641164,13.673,1.564,0.0,0.0,0.0,2.54,2.54,1.04,4.663,,,,0.998,,Gaia_DR3,-23.745,-21.154,-23.745,0.011,-21.154,0.014
Gaia,DR3,1054184814972883072,162.6426333,62.0466076,18.251,3.008,1.097,1.4101,5.9368,1.75,,,4.725,,,,1.032,,,-24.704,-20.764,-24.943,0.106,-21.83,0.118
Gaia,DR3,1049274189884621312,158.2637221,62.5039015,13.651,1.434,2.85,1.9375,7.629,2.43,47.72,1.54,4.615,,,,1.012,,Gaia_DR3,-22.631,-21.88,-19.873,0.011,-21.59,0.013
Gaia,DR3,1048281841985472384,155.5356805,59.9529545,17.379,2.864,1.602,2.7608,10.579,3.97,,,4.619,,,,1.04,,,-21.651,-22.688,-21.913,0.058,-24.226,0.084
Gaia,DR3,1048563321258125696,154.9322711,60.723236,15.986,2.399,2.2,2.8427,10.8312,3.77,,,4.714,,,,1.0,,,-21.862,-23.406,-22.804,0.025,-25.379,0.03
Gaia,DR3,1058368869033362304,159.973672,63.8442258,17.699,2.905,2.887,2.9023,10.8793,1.6,,,4.654,,,,1.011,,,-23.432,-21.498,-25.536,0.083,-19.601,0.082
Gaia,DR3,1048563493056817408,154.95117,60.7480668,10.541,0.74,2.409,2.8304,11.0407,3.76,-4.17,0.89,4.602,,,,11.854,,Gaia_DR3,-21.348,-22.844,-23.636,0.119,-23.32,0.135
Gaia,DR3,1055359226534194176,161.6589186,63.6617614,12.137,0.975,1.86,2.7306,11.5158,1.35,-7.51,0.8,4.787,,,,0.926,,Gaia_DR3,-24.695,-21.464,-24.572,0.008,-23.336,0.011
Gaia,DR3,860550779981888384,163.7731063,58.889559,18.993,3.251,1.525,2.5688,13.5273,2.64,,,4.469,,,,1.014,,,-23.722,-19.123,-23.419,0.151,-17.719,0.169
Gaia,DR3,1052679377396036352,157.6332775,64.4220454,15.443,2.379,2.385,3.7405,14.0039,1.79,-19.01,6.29,4.687,,,,1.076,,Gaia_DR3,-22.755,-22.518,-24.003,0.025,-20.519,0.03
Gaia,DR3,1055358474914958592,161.6591158,63.6612896,17.535,,1.846,2.7301,14.5296,1.35,,,4.905,,,,1.131,,,-25.303,-21.992,-24.92,0.132,-23.862,0.125
Gaia,DR3,1058523346121520256,163.0607169,64.6753351,18.506,2.835,1.747,3.858,14.6135,0.72,,,4.725,,,,1.005,,,-24.846,-20.661,-23.263,0.138,-19.938,0.154
Gaia,DR3,860320294856873088,164.7628794,58.6323835,18.226,3.012,1.58,3.0837,14.6823,2.5,,,4.877,,,,1.006,,,-26.215,-20.471,-27.771,0.109,-20.007,0.12
Gaia,DR3,1053280462362905472,154.9508598,63.5074631,18.21,2.955,0.667,3.7071,14.7382,2.62,,,4.566,,,,0.971,,,-21.183,-22.816,-21.213,0.099,-22.174,0.121
Gaia,DR3,861329646531691264,163.5740541,59.3815681,19.43,2.762,2.807,2.1163,15.1052,2.51,,,4.402,,,,1.079,,,-23.305,-18.926,-23.502,0.235,-16.329,0.269
Gaia,DR3,1058502631494881152,162.9053276,64.6506583,17.992,2.798,2.653,3.8155,15.5782,0.75,,,4.814,,,,1.071,,,-25.262,-21.112,-27.486,0.108,-22.63,0.135
Gaia,DR3,853969519991282304,159.4832093,56.9167171,15.605,2.177,1.65,4.0995,15.6463,4.34,,,4.608,,,,1.018,,,-23.027,-21.106,-23.677,0.027,-19.64,0.026
Gaia,DR3,860822569807568896,167.0962497,59.4252277,16.766,,1.688,3.5087,15.6588,1.69,,,4.493,,,,2.136,,,-24.835,-18.03,-23.645,0.177,-16.962,0.535
Gaia,DR3,1051894291734367872,152.055004,61.517532,14.998,2.182,1.164,4.2157,16.3538,3.96,2.52,3.87,4.583,,,,1.469,,Gaia_DR3,-20.139,-23.715,-21.262,0.024,-23.786,0.03
Gaia,DR3,860968083300666112,169.0713015,60.319114,17.995,3.052,1.782,4.1284,16.5025,0.94,,,4.551,,,,0.981,,,-25.715,-17.527,-24.854,0.084,-19.004,0.093
Gaia,DR3,853707458266150528,159.997416,56.4257796,17.875,2.965,1.27,4.555,17.0333,4.4,,,4.671,,,,1.013,,,-23.521,-21.181,-22.507,0.091,-20.45,0.08
Gaia,DR3,1048863625370977792,157.9434487,61.3513183,17.18,2.634,2.231,1.4071,17.1622,2.95,,,5.049,,,,1.673,,,-24.636,-24.005,-26.721,0.086,-22.866,0.116
Gaia,DR3,855490934845908480,158.7610979,58.8071329,14.182,1.649,2.656,2.376,17.5089,3.77,0.61,1.84,4.36,,,,1.062,,Gaia_DR3,-21.55,-20.327,-21.23,0.012,-22.747,0.015
