Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,323386882492982144,21.871101210850217,38.968113285754754,13.509504,0.7929325,1.8174274032900388e-16,0.0,0.0,-18.83553505,,,1.448878118737993,nan,,,1.5133419,,                             None,-0.0512167731215199,-3.140791440702551,-0.051216773121519954,0.022169756,-3.140791440702551,0.018117359
Gaia,DR3,322927256568961152,22.827127460568622,38.484187260457844,17.884073,1.9693718,1.4199839885934904,0.8890700559128852,11.251592844132999,-18.749368227657886,,,1.4563347009785401,nan,,,0.97285444,,                             None,-0.009533219809547577,-3.205398984028169,0.4119679572498114,0.14390023,-3.094095243038312,0.12260222
Gaia,DR3,323401730195750272,21.565810580041237,39.01390440970361,18.257608,1.1580257,2.823990136480738,0.2416633750524132,14.02243014316055,-18.842957756260112,,,1.4782706515521735,nan,,,2.015525,,                             None,-0.0658501432119955,-3.2000095907440227,0.6453630421472096,0.25343293,-2.681677939844919,0.25320485
Gaia,DR3,322973951453467008,23.329996039263474,39.152669427660875,14.738561,1.0802393,0.7410349056092574,1.1477278837848621,17.622725820792873,-18.869789475240516,,,1.4724896500344975,nan,,,0.9791992,,                             None,0.012671750746673482,-3.172796212885893,-0.09248089743903154,0.02445117,-2.968208402770078,0.022033071
Gaia,DR3,323295730402798464,21.68234972093674,38.340130883025665,14.928714,1.0999756,1.6772869974526545,0.6450492706719642,18.784990769519204,-18.72130829795427,,,1.41393099778819,nan,,,1.0224375,,                             None,-0.05802075894227782,-3.1265359135848123,0.25281870529745276,0.027632115,-2.7349631723143935,0.02278948
Gaia,DR3,322675498470499712,23.584853127985255,38.25915429173065,18.189491,1.9862022,2.7443074428481053,1.5151347667139152,18.922009792190714,-18.708004597493435,,,1.4389556923560995,nan,,,0.95101416,,                             None,0.023432623097410787,-3.1895336198119155,-0.8089014613104302,0.20046449,-3.204880724780935,0.1294166
Gaia,DR3,322390763613604992,21.419479436529812,37.35861569836774,19.850794,2.2156582,2.9380380507161696,1.6481949176221327,20.36318920304313,-18.538223479187778,,,1.4590710831857667,nan,,,1.0295458,,                             None,-0.07142564853745281,-3.3247668776534085,0.7999133307331573,0.44373986,-3.5644446408739356,0.3872732
Gaia,DR3,371593530999098880,20.271140320242292,39.41503568724111,19.960243,2.3701954,1.7808063127312783,1.318085621585548,20.94259436550824,-18.90903854438234,,,1.4785270021187853,nan,,,1.0250701,,                             None,-0.1234968559115055,-3.160699490391651,-0.43197755358574064,0.47591636,-2.6992588485160613,0.41316804
Gaia,DR3,323304728358979072,21.875937847865192,38.55567343960548,19.418108,2.7798977,1.342867183104617,0.4124570885454779,21.768470482682044,-18.761086842510707,,,1.4057477415422137,nan,,,1.046692,,                             None,-0.04948732789580457,-3.087421098569214,-0.2696745357113501,0.33837715,-2.7559332865443267,0.305788
Gaia,DR3,321654571859463552,20.718834879714066,37.44283895691991,19.129107,2.4727154,0.8380611645772585,1.773738842721546,21.955111555629486,-18.551343548946633,,,1.439009937182673,nan,,,1.0402802,,                             None,-0.10080410788794425,-3.2714146656902594,-0.08297618930211625,0.29406863,-3.01780816977592,0.21024784
Gaia,DR3,324011473817334528,21.863646301874095,40.14039847938889,14.978619,0.94242954,2.0187983648334376,1.172299283474792,22.43545936114349,-19.041812933388137,,,1.4867449407240128,nan,,,11.8133135,,                             None,-0.05288922127763701,-3.1013493153205305,0.17119072137763092,0.3649224,-2.5096233107226897,0.25140285
Gaia,DR3,321916010812910976,20.17365144179936,37.94300721551762,18.928577,2.3981762,2.0107513145364657,1.6785651358019318,22.499074325991348,-18.641929455472628,,,1.4290495345631733,nan,,,1.0192152,,                             None,-0.12355675598821358,-3.200482375659609,-0.6572843212930932,0.24615695,-2.9139969257003644,0.20324971
Gaia,DR3,324133657046963200,22.56177823411808,40.681588137367555,19.099834,2.6231537,2.705767328532361,1.7936835716956707,22.88534329620451,-19.13546307665359,,,1.4656335321449987,nan,,,0.9910732,,                             None,-0.021311808911570085,-3.001275438824024,0.654639883813321,0.32122418,-3.493198314777557,0.21848974
Gaia,DR3,323934168700566400,22.86525329132968,40.29502841641081,18.139046,--,1.8307051314549152,1.531943180941824,25.17559423157353,-19.069725836124263,,,1.4142875011776632,nan,,,1.1527414,,                             None,-0.007633316344998087,-2.9345329593506024,-0.534589008635753,0.6962183,-3.076780558440272,0.23416375
Gaia,DR3,324027588534963328,22.190912236584857,40.24884344835316,18.007143,2.0850182,2.268405899326995,1.3042121141929341,25.331707657137787,-19.061128526431744,,,1.408683194399172,nan,,,0.9621108,,                             None,-0.036223826137899706,-2.9276380389522854,-0.6893791279671784,0.1462428,-3.092483015326442,0.120373905
Gaia,DR3,324096720328940416,21.864913742683644,40.551080696614335,19.78852,1.7031975,2.4251954584399367,1.5829745556746382,26.006067629754455,-19.11220522784486,,,1.413204233151256,nan,,,1.0141597,,                             None,-0.050219139050333816,-2.9071785135349164,0.6614787708396934,0.4011143,-3.03169628068848,0.40903622
Gaia,DR3,322621935934077824,24.47473419447297,38.03743148429483,19.55621,2.3743324,1.9552944115333928,2.2399153416013604,27.045393900011973,-18.66548096656812,,,1.445906715266988,nan,,,1.0027341,,                             None,0.062308334390764664,-3.227409536486125,0.6440507904356535,0.44883472,-3.097842578943202,0.3064688
Gaia,DR3,322942168694167936,22.770455417204406,38.64113059866901,19.839025,1.9372902,2.447105185857203,0.7733744955080617,27.60035687309246,-18.77785077658161,,,1.505693830356661,nan,,,1.0081749,,                             None,-0.012427372595795405,-3.2977205510292404,0.42709917996924507,0.47278935,-3.9381541378716713,0.3923813
Gaia,DR3,322700374921437184,23.71796577355336,38.342167227098294,19.655989,2.5447235,1.968428411962826,1.57218678679053,28.493720922128983,-18.723050815162665,,,1.4060339014737537,nan,,,1.014423,,                             None,0.02853546878070501,-3.1085548199083717,0.5888492041367425,0.42096138,-3.2712424074453743,0.34072405
Gaia,DR3,322384578860711296,21.210555125893567,37.24449115996112,18.307749,2.5492954,1.7237494711819992,1.8002684998870384,29.160873032987997,-18.515953759224193,,,1.4097457273942255,nan,,,0.99715656,,                             None,-0.07788136773275689,-3.223506568168219,-0.20863599772049324,0.16345309,-3.7188172018628363,0.1301542
