Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4933912198895807104,20.438405595615816,-46.71473451693094,10.556652,2.1645555,2.310505579144867e-14,0.0,0.0,16.53345871,,,44.53483319805842,nan,,,1.1425465,,                             None,-111.08929387948486,-79.95397168145412,-111.08929387948497,0.019765733,-79.95397168145394,0.024801895
Gaia,DR3,4971581089304028288,34.62053613811351,-31.55699116854528,19.881876,3.219326,2.6029400139119336,18.66552468284652,7.478842579831299,11.130703248200339,,,42.83683036714553,nan,,,1.2158664,,                             None,-114.97802673439499,-127.73747721234112,-138.21632906286837,0.4858793,-124.20219236977246,0.461785
Gaia,DR3,5074324266168557056,49.19532554008581,-24.071018717221843,12.72815,2.562748,2.4678187371079123,32.25189263074538,15.448837465259995,6.2094080571783135,,,34.79353371106905,nan,,,20.727592,,                             None,-94.23798364568796,-123.29828501146007,-82.25162539400706,0.3256211,-109.73457512002534,0.3664368
Gaia,DR3,6674554829263069440,309.34041351902783,-46.73127945877358,13.058741,2.8232746,2.3253322881687244,46.97689251252616,16.526801494553784,21.821793097969564,,,58.03165020800037,nan,,,1.2639226,,                             None,12.641929483082295,-35.384512997064306,-4.014624520790251,0.016474677,-12.323532439248245,0.014763788
Gaia,DR3,5005816887800833792,11.684231409957594,-34.70227042607617,17.866121,4.581539,1.0042903727087533,13.703220035282852,16.95068784394745,15.830467410147536,,,26.378518075292554,nan,,,1.0337325,,                             None,-60.67947531303703,-59.956746024119674,-61.28221192217582,0.096817076,-65.50884006695478,0.15755028
Gaia,DR3,2394193308286591872,354.4839194188813,-17.484147738842836,13.396579,2.7280588,2.93157344787848,36.22477022218923,17.937082715150677,14.713755756863307,,,33.13126261538538,nan,,,1.2600482,,                             None,-58.58463371950116,-98.5559268203993,-38.23405402596544,0.023140972,-96.29950657244352,0.015924519
Gaia,DR3,4975005999307397376,11.424064250573212,-48.301435211440484,7.7123346,0.84263515,0.7147573038257798,6.288231640487602,18.092723396070657,17.95299823820816,,,24.84841232336785,nan,,,24.865072,,                             None,-56.99536450986285,-35.191171055919234,-59.618382429198775,0.2911758,-37.86289967699979,0.37771937
Gaia,DR3,3177407910705445888,67.78690866447533,-13.515564765720292,10.52517,2.3755388,2.819087267508027,51.551968297694,18.21241195767001,-0.8931477435643203,,,53.47853785030081,nan,,,1.2792518,,                             None,-133.03506028410388,-209.7679162869941,-164.6718635287615,0.014535157,-212.80098494447972,0.012827545
Gaia,DR3,2976850598890749824,75.83262223513711,-17.375510085672932,10.561693,2.5987225,1.0252916461541393,53.913260611976526,18.57940936539019,-1.16561607114609,,,108.27324701475469,nan,,,1.16032,,                             None,-250.0247188608921,-436.01621472570855,-228.28715486600788,0.025345061,-444.68508728538166,0.02708879
Gaia,DR3,4613612951211823104,49.311809229306355,-85.54048623838646,14.754484,-0.37305546,2.718457055348718,39.42747603441399,18.661752448238676,17.72260803244948,,,34.035060085143655,nan,,,1.0252429,,                             None,-92.1662166895547,-18.625947796426395,-73.81756932291833,0.032037277,-12.010642086650295,0.03361047
Gaia,DR3,3198812859478372480,65.86135866378902,-7.397152593091982,13.175508,2.9606895,2.3542281775203313,55.18432261861493,19.636140097397938,-2.4740506568477336,,,51.065354293806706,nan,,,1.256783,,                             None,-128.84747946149474,-197.5822236934817,-144.36420779624183,0.01589807,-177.5441846611854,0.013860137
Gaia,DR3,4964972543386420992,33.41442447698163,-37.48401231340723,9.916794,1.5937824,2.6220380421117873,13.305386161018518,21.046605424057017,12.743052596402656,,,23.66644270957216,nan,,,5.55871,,                             None,-63.289567028041745,-63.644551535160886,-50.21009169100056,0.04537374,-63.40478672782412,0.06784423
