Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2562569564026683520,19.550586423134728,2.702782690135657,10.918823,0.6819811,2.4660134818474832e-14,0.0,0.0,5.956706047000001,,,2.5854205890425495,nan,,,1.1735742,,                             None,2.553737617580002,-14.713246505917207,2.5537376175800155,0.031075038,-14.713246505917208,0.024699042
Gaia,DR3,2535244290599225856,20.328794830715402,1.7122121125173055,18.584335,3.0230827,1.5840080312403015,1.2593350318978505,11.872884087749428,6.48509708244989,,,2.6426918857562582,nan,,,0.9681179,,                             None,2.5553830829000064,-14.980561657467968,1.986684607673557,0.32622856,-15.655334491188166,0.19928046
Gaia,DR3,2562970847115494016,19.701530343307912,3.644413638545379,19.044268,2.6225777,2.425533849902191,0.953615521816416,17.0409961385176,5.524846848665325,,,2.484415994026702,nan,,,1.0426224,,                             None,2.4439906726043765,-14.188248635189574,2.6997550683429283,0.46880457,-12.943913261795315,0.3070589
Gaia,DR3,2559294217671464704,20.972860940741686,1.9907735949475764,12.874538,0.9109688,1.988277265472184,1.589466488950286,19.444930291126248,6.405408628962059,,,2.6996523049960195,nan,,,3.383405,,                             None,2.563660650890288,-15.322236742840456,2.5589255194697356,0.09249012,-16.45378293232253,0.05699326
Gaia,DR3,2559845352170079104,22.41057262589682,3.171598597152854,13.416814,1.0605612,2.5319030233874846,2.894439922456138,20.18224790435454,5.960060098059996,,,2.6232570014644043,nan,,,0.97873616,,                             None,2.3884718219123138,-14.961916867716543,3.6932695628085455,0.017149528,-15.469819293514668,0.010094016
Gaia,DR3,2563806652046912000,18.310799592183752,4.542259275473639,15.396741,1.4793634,1.9572014384909153,2.2168617642084865,20.212362780285886,4.985002239998757,,,2.4994693501600884,nan,,,1.0307086,,                             None,2.5506538956705462,-14.313295817900578,3.5817382319761655,0.04528505,-14.293446310329204,0.031554833
Gaia,DR3,2558500202772662784,22.497887419345684,1.6944412164840532,16.255106,2.051323,1.9490564634800658,3.112928425958916,21.93876204687245,6.661631213488523,,,2.5474506115255764,nan,,,1.037855,,                             None,2.3133490499081977,-14.442262088721918,1.2795793735269747,0.06392405,-14.27825750816584,0.033655625
Gaia,DR3,2563601593128317824,21.430994584032558,5.552099511999695,16.203999,2.2276459,1.8782012331193496,3.4110827634576477,24.17846841351573,4.757367020269564,,,2.5412068906860834,nan,,,1.5694113,,                             None,2.381674407838889,-14.610253080356749,3.3818869980113897,0.10682824,-14.500879471407414,0.045503207
Gaia,DR3,2576079091598585600,16.7744405331934,5.038183026819923,16.08173,1.7889328,2.9831884588425726,3.6228277277244976,24.75809495289617,4.61810292927575,,,2.617414053800352,nan,,,0.99524575,,                             None,2.7754437790977304,-15.005558913090962,1.2925675498429137,0.06586869,-14.291012743933676,0.041774724
Gaia,DR3,2563415049813316736,20.138577806796214,4.457154310692416,19.069818,2.960535,2.1037204413088446,1.8499130832110575,26.284962776051593,5.1755364100404435,,,2.7513903251814438,nan,,,1.1201345,,                             None,2.6745133249387423,-15.758410957569799,3.5815883488687605,0.49657404,-16.57456444159662,0.3734835
Gaia,DR3,2539156043733370624,16.12779167121567,2.5674852209795143,18.180235,2.8079414,2.3921499683402776,3.4218493239196355,27.759339462656136,5.728249089038696,,,2.697745805935733,nan,,,1.0373994,,                             None,2.90531830131642,-15.336969986544581,4.2613437310607765,0.21353173,-15.22740955475001,0.16156912
Gaia,DR3,2558126540618031232,22.46717872113783,0.5857640106363776,12.603724,0.7901163,2.7431141185736867,3.602818890471075,28.143193457607783,7.178079420140014,,,2.498704180047265,nan,,,0.99474585,,                             None,2.2711875655082316,-14.09529894839916,0.884077406820186,0.016675504,-13.690602687878041,0.009732131
Gaia,DR3,2534510680120859520,18.21413562034415,-0.5030821561644087,16.588781,1.9856691,2.5514683508650675,3.473117576870044,28.32583512849149,7.344886504945947,,,2.487624915234057,nan,,,1.0578467,,                             None,2.5448661312056093,-13.960253697378814,2.245497016520687,0.08087898,-12.656142170425987,0.052499384
Gaia,DR3,2564194814011191680,17.925845526848047,5.480829836201697,18.525274,2.4677658,1.0298742915243118,3.216110244350349,29.06008962615872,4.507149872344826,,,2.7259410987011767,nan,,,1.0297501,,                             None,2.8092054011510506,-15.653260997521432,3.377618084720376,0.27616462,-15.48845282820549,0.18144456
Gaia,DR3,2539673643127606272,18.040131689776697,3.784340062153334,18.510061,2.69343,2.0130190736675346,1.8557659931150625,29.100732699978348,5.32077195500934,,,2.775355479212088,nan,,,0.9893829,,                             None,2.8518478232700635,-15.852284852244143,1.6806685830227415,0.24458562,-15.727929354219551,0.16095355
