Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6113245033656232448,206.1070405,-40.337341,12.246,2.631,0.0,0.0,0.0,18.38,18.38,0.36,44.535,,,,1.858,,Gaia_DR3,151.813,68.402,151.813,0.033,68.402,0.025
Gaia,DR3,6113245033659187200,206.1051104,-40.3363932,12.434,2.701,0.379,0.0018,0.0089,18.38,18.36,0.51,44.552,,,,1.904,,Gaia_DR3,151.879,68.423,150.407,0.039,71.661,0.028
Gaia,DR3,6113271494953274752,206.11575,-40.3107987,13.26,2.922,0.377,0.0274,0.0215,18.38,19.23,1.33,44.498,,,,1.211,,Gaia_DR3,151.661,68.28,151.991,0.016,71.798,0.014
Gaia,DR3,6005425828227820160,228.0345072,-39.6993242,10.64,2.105,2.137,16.7621,6.8062,22.06,,,42.382,,,,1.207,,,71.522,89.989,77.651,0.024,108.073,0.021
Gaia,DR3,6005425828227821952,228.0334514,-39.6978497,10.657,2.12,1.129,16.7615,6.8103,22.06,36.34,0.27,42.357,,,,1.184,,Gaia_DR3,71.483,89.93,65.617,0.025,98.129,0.021
Gaia,DR3,3645393972547522560,210.5436911,-3.9171227,11.623,2.536,2.482,36.6396,14.3228,20.3,0.27,0.46,43.338,,,,1.351,,Gaia_DR3,134.05,-45.433,116.39,0.035,-31.208,0.026
Gaia,DR3,3635080656558301184,201.1391254,-5.1641516,5.657,0.571,1.121,35.4559,15.4926,17.75,10.63,0.97,37.483,,,,14.9,,Gaia_DR3,140.112,-37.688,132.135,0.773,-33.841,0.507
Gaia,DR3,4039831777499368960,266.7535647,-37.6981529,20.037,,1.58,46.2538,16.5529,22.29,,,81.77,,,,1.729,,,-144.814,158.764,-165.554,1.656,141.119,1.409
Gaia,DR3,3459063722719455488,179.1434839,-40.7813826,16.707,4.143,2.962,20.4089,17.1609,11.23,,,27.537,,,,0.971,,,132.971,7.598,116.188,0.046,3.875,0.053
Gaia,DR3,5828450326424110976,247.9859017,-63.5337272,12.543,2.601,2.039,33.6556,17.3243,16.7,14.64,0.43,32.527,,,,1.06,,Gaia_DR3,-3.191,132.474,-17.134,0.013,131.421,0.015
Gaia,DR3,3582720018762446848,185.6707916,-8.9006591,13.674,2.815,1.002,36.3105,17.874,12.74,-9.33,22.87,33.29,,,,1.219,,Gaia_DR3,152.24,-31.091,147.193,0.026,-35.985,0.021
Gaia,DR3,6058302235811716224,186.3097256,-60.1059944,16.435,3.825,1.789,23.2759,18.5383,11.55,,,27.098,,,,1.001,,,123.155,42.089,113.196,0.043,44.377,0.048
Gaia,DR3,6034535845265993728,253.9123424,-25.4793553,19.714,,1.618,42.2154,18.5489,24.89,,,36.469,,,,1.364,,,-23.199,37.168,-19.776,1.273,25.213,0.979
Gaia,DR3,6340924518488131968,224.1437204,-0.7572518,13.854,2.932,1.801,42.8379,19.8714,22.89,-0.8,6.11,34.265,,,,1.23,,Gaia_DR3,69.167,-43.679,60.804,0.024,-53.643,0.024
Gaia,DR3,6317407201723597952,234.6665838,-8.7948385,6.463,0.672,2.578,40.4835,19.917,24.85,1.58,0.12,32.627,,,,1.059,,Gaia_DR3,36.091,-17.723,20.662,0.03,-26.469,0.023
Gaia,DR3,3479615106870788864,178.5151278,-31.0292049,17.108,0.694,2.987,24.1403,21.0089,11.07,,,25.39,,,,0.985,,,123.146,-3.978,114.389,0.08,9.399,0.057
Gaia,DR3,5972529952179046912,261.014244,-38.8105042,13.445,2.937,2.622,41.6556,21.0935,22.67,34.76,3.78,31.562,,,,3.35,,Gaia_DR3,-40.129,67.167,-25.592,0.057,57.524,0.043
Gaia,DR3,4127420626087054976,253.3549281,-20.4157378,5.691,0.863,1.173,44.7061,21.3272,25.24,-20.38,0.43,33.016,,,,4.577,,Gaia_DR3,-19.338,18.287,-26.361,0.293,14.121,0.214
Gaia,DR3,5473349302315730944,152.9396489,-24.4262932,13.694,2.666,2.097,46.8651,21.6477,1.07,10.05,1.78,33.9,,,,1.108,,Gaia_DR3,176.423,-46.373,188.189,0.057,-37.089,0.049
Gaia,DR3,3619487618876609280,208.8337448,-7.7086592,19.514,3.82,2.441,32.7194,21.8577,20.14,,,26.976,,,,1.026,,,86.786,-20.92,96.751,0.429,-11.257,0.295
Gaia,DR3,6002801225266100224,233.8867753,-40.7396862,13.395,2.588,2.46,21.027,21.8921,22.4,-5.94,0.9,24.204,,,,1.299,,Gaia_DR3,28.451,55.741,16.205,0.02,52.981,0.016
Gaia,DR3,3737813697298504576,196.1572532,13.3519874,12.292,2.657,2.763,54.4785,22.9835,13.76,6.3,1.01,37.06,,,,16.966,,Gaia_DR3,149.719,-76.51,128.173,0.375,-77.849,0.352
Gaia,DR3,4118006263949027200,264.4161633,-21.6175702,19.267,,2.993,52.3572,23.1553,24.26,,,35.029,,,,1.683,,,-54.975,20.618,-43.128,1.137,1.956,0.61
Gaia,DR3,4115994668759773184,259.3084814,-20.4124079,20.135,1.504,2.84,49.1807,23.1768,24.85,,,32.853,,,,1.242,,,-36.803,17.17,-22.757,1.404,3.404,1.245
Gaia,DR3,4127725568766283776,257.0472485,-21.0078208,20.331,1.866,2.824,47.1221,24.4322,25.0,,,29.995,,,,1.765,,,-27.545,17.742,-15.18,2.428,4.861,1.695
Gaia,DR3,4595127343251508992,262.8734756,27.3553301,16.781,4.612,2.784,85.779,24.6492,18.2,,,83.654,,,,1.151,,,-120.034,-292.243,-90.208,0.077,-253.252,0.091
