Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6173120554255287808,211.01354372732823,-30.014159345875473,12.070422,2.420125,1.29602077845841e-14,0.0,0.0,35.870471949999995,,,31.63863867267381,nan,,,1.3573846,,                             None,37.26659152758389,-246.01083663150357,37.266591527583905,0.02563111,-246.01083663150348,0.023549223
Gaia,DR3,6009408259348189056,234.96666394120518,-37.884495335174755,16.012661,3.6095886,2.5557177740661334,21.29490317778045,14.360368442610593,41.51113357620879,,,26.26188291234551,nan,,,1.0053214,,                             None,-0.12012997431284589,-171.05472131909355,2.7209414641044063,0.06083045,-184.91569145209058,0.042271547
Gaia,DR3,5906519775156180352,225.47615819733554,-47.38780491151001,11.907958,2.1309357,2.0460996336878328,20.64219261514928,15.986296087243142,45.913840897237755,,,24.365814536786562,nan,,,1.2522205,,                             None,11.587380829813647,-122.00024485248309,1.8038252372538892,0.020063985,-118.16094023188937,0.017815942
Gaia,DR3,5889892371901470336,229.3752915827444,-51.47236543089353,18.244232,4.2359257,1.947394794777725,25.414888037344138,16.256206679965526,47.563734431138045,,,26.66166235817564,nan,,,1.2397059,,                             None,7.442066389499075,-114.22722708707228,16.964461175161624,0.2020317,-108.83035065449499,0.26826805
Gaia,DR3,6207048772964790272,231.58996341658934,-31.837237071764736,19.141409,3.8859997,0.9534691122082807,17.718368404532917,17.22465343224181,38.0080468378866,,,22.524521560860084,nan,,,1.053943,,                             None,3.759927069342737,-166.73132992174573,-0.667874280303181,0.42839915,-165.7866794718674,0.3090102
Gaia,DR3,6205780035329630208,223.84792192066985,-31.285911638649615,15.831394,0.22297764,2.0910180195404924,11.107934220493984,18.01785386307437,37.470201866233666,,,20.84528147154187,nan,,,1.0554236,,                             None,11.6105284020692,-156.43254745006965,13.650855620107343,0.061151385,-165.3919197224755,0.068885446
Gaia,DR3,5897398535920298112,213.89550008435637,-52.21594726295581,19.278023,3.5327644,2.328127631876069,22.303308584457795,19.597722668805936,47.301575436161514,,,22.35120065416949,nan,,,1.0145024,,                             None,23.3015218112114,-96.0144980582334,33.623326232103736,0.31570947,-99.7289292898569,0.4109705
Gaia,DR3,5923907314622859520,255.78630690246376,-53.23757508910149,5.218416,0.64127827,2.4422351575350576,39.76848247478968,20.368306193543532,47.660822425871025,,,37.36962916980241,nan,,,1.2449511,,                             None,-38.83171429473593,-153.816620112036,-22.40938645495511,0.11090009,-143.79304907184536,0.08338639
Gaia,DR3,5924057019994083712,257.6843753749497,-53.00786375134124,11.143153,2.4573164,2.3211268284438913,40.795485426519754,20.755509204446323,47.479783501614335,,,45.77708184001937,nan,,,1.0530884,,                             None,-51.665818714948244,-191.57908477796573,-46.2067958442793,0.064862415,-169.8549834949315,0.051544167
Gaia,DR3,5237048997789472256,170.68696084168195,-65.55495194859523,18.02725,4.759241,1.8705023401345124,43.234877676604135,22.060793698773804,47.877502841921405,,,36.68048550096658,nan,,,1.0816392,,                             None,96.14358175562899,-117.32326312269953,94.93914650941318,0.14370558,-102.90962388021913,0.1431908
