Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5229384714547758720,164.11390890402507,-72.98518423537195,13.34348,2.7360897,5.2755086249499017e-14,0.0,0.0,-5.900200367,,,39.44672968039077,nan,,,1.2767217,,                             None,39.300241354663015,-76.41705845963335,39.30024135466341,0.017086439,-76.41705845963317,0.014945334
Gaia,DR3,5233071514480420864,158.61279509112578,-67.37787293608315,13.373788,-0.24362183,2.7389675447834705,5.903496393149512,3.0745996774845232,-6.92480962285158,,,42.39643630142637,nan,,,1.0794085,,                             None,33.03530256648432,-79.92046331499871,11.304552947184312,0.02434285,-68.64951607880093,0.022486709
Gaia,DR3,5793182631952977920,220.4706775570897,-75.13956581043277,6.5924373,0.8744974,0.8333244144620312,15.022558085793428,7.813859686007681,-3.3405602332266575,,,49.36864188732185,nan,,,0.9645562,,                             None,118.35234417426597,-11.130649789028169,120.61804510341395,0.017316885,-19.502215416109504,0.018264573
Gaia,DR3,5251658861642625280,156.4861688689822,-64.31594160504498,16.397161,3.815814,2.9468845364057126,9.085887659078754,9.676623578485133,-7.4484002701988885,,,29.548838161645005,nan,,,1.1877304,,                             None,20.484521915004162,-54.04436720486795,9.106022179439936,0.06574,-68.44917651726529,0.064978026
Gaia,DR3,4613612951211823104,49.311809229306355,-85.54048623838646,14.754484,-0.37305546,2.37343638035069,19.301928032246177,9.999130125455668,-2.9363955126886974,,,34.035060085143655,nan,,,1.0252429,,                             None,-82.7087432126725,2.51320912242506,-73.81756932291833,0.032037277,-12.010642086650295,0.03361047
Gaia,DR3,5253922408166862720,158.9534266511404,-61.117725582159224,11.597927,2.1140413,2.7325586477246144,12.026027935852428,10.580216664743082,-7.847240365773771,,,29.444923859653937,nan,,,1.3505884,,                             None,23.34603983743009,-50.36419549143578,30.95555909215018,0.021744361,-65.52325039467475,0.01963466
Gaia,DR3,6345403379104806528,328.1724577659725,-82.41479045708921,14.433902,3.4767904,1.775070596951628,24.39477005282611,11.375493022426573,-1.4239378430052185,,,36.318585371480694,nan,,,2.8927593,,                             None,-12.681090059960667,89.57088124819248,0.9045063479442916,0.07745304,89.20533447861884,0.08852994
Gaia,DR3,4654969500557785344,71.04505240633398,-70.32436830937716,11.436213,--,1.7653726477885172,26.475636192079033,11.423617876463355,-4.180684511704607,,,47.55605655343257,nan,,,0.7893349,,                             None,-107.79972388747,-29.255038269470283,-101.98505620050598,0.061252452,-45.970968539997415,0.055735994
Gaia,DR3,5320952798822552064,123.85501687347556,-52.060550206237615,6.4833074,0.7478013,2.4674803056634276,26.9457456980497,12.311258980277916,-9.137055233569615,,,37.00138228818621,nan,,,0.8985367,,                             None,-24.871770822051914,-53.97167950492047,-5.8167733430975375,0.020208664,-56.683490567532004,0.02019937
Gaia,DR3,5217251157054546176,132.9537475065468,-73.64463322470347,15.561388,3.3794518,1.9048268010546947,8.868238369905464,12.33469776391454,-6.055358736820761,,,27.21326014239172,nan,,,1.1326758,,                             None,-8.011893892341362,-58.21468529981168,-4.95037021010106,0.035411384,-68.70472515427343,0.04286336
Gaia,DR3,5854893134389744768,184.02650312852847,-71.13856579510102,14.598838,2.9588156,2.5843046601833475,6.370609591970316,12.498626733625121,-5.469954210174173,,,26.757936994426657,nan,,,0.9725257,,                             None,45.26578292466468,-38.78825533167658,40.649161826946354,0.019038137,-52.61557660068026,0.02021711
Gaia,DR3,5209903017765189760,114.8406259190036,-78.27915184778308,9.06375,1.2067919,2.853455769199817,12.81924586683155,14.10978196216624,-5.012922177055632,,,26.554096523087043,nan,,,1.020109,,                             None,-27.345501082283974,-53.87150615467917,-19.555698290588975,0.015083742,-39.92645314144276,0.01499519
Gaia,DR3,5213167330349528064,117.3008524617764,-76.70272278517169,10.162108,2.5644093,0.8929796306224087,12.404985873498479,14.899570756193118,-5.321583950585475,,,91.82632072954252,nan,,,1.0714872,,                             None,-85.79913128076768,-187.31941991091975,-102.15355740683796,0.023059612,-192.91818402431983,0.023277672
Gaia,DR3,5808612830236138368,247.1198786603902,-70.08390985846162,4.7439675,0.736691,2.100487665065369,24.33149544309656,15.191972318248181,-1.6170203834586574,,,82.86994368147813,nan,,,2.1055434,,                             None,192.37874271213622,73.61215425561502,200.74221109569703,0.10667355,109.3414883630312,0.15235424
Gaia,DR3,6157380018807576192,189.35929841634814,-35.45484297509741,14.6332655,3.513667,2.4643852223337523,39.62230720017238,16.17550649334908,-7.815065010089411,,,49.850376292354674,nan,,,1.049304,,                             None,92.0495258975362,-20.377902255383063,66.44986848743413,0.02749573,-16.45738080719023,0.022824014
Gaia,DR3,6381623044470172672,340.4960624875462,-75.00821792446833,13.919268,3.6597376,1.6779231379226096,31.99028691124742,16.20173281980325,-0.06429221818786202,,,80.39596371946803,nan,,,1.2429888,,                             None,-68.69258355153097,189.64456303983422,-75.78682712777945,0.029295431,217.18337591881178,0.029648684
Gaia,DR3,6384510877400590336,343.66394549928197,-70.07338567190854,5.8999476,0.8149948,1.904121839147153,36.941136901754824,16.537111346899753,0.8159665903695874,,,37.46412217995383,nan,,,0.9893201,,                             None,-36.67167706149782,86.30406010886796,-43.140182973509084,0.029268023,72.7279091057944,0.027050624
Gaia,DR3,6485255520080979968,358.4157017316034,-65.94675860275059,6.5097284,0.750093,2.2137606846003535,40.744635638871124,17.617049853260028,0.9764471691789596,,,39.59599516716777,nan,,,0.9992106,,                             None,-59.90807648514307,78.82495364495595,-42.39453502099747,0.01708712,84.71911102390044,0.019254563
Gaia,DR3,6485255515786445440,358.42338129480027,-65.94803785128516,10.858439,2.1188822,2.208275745856203,40.74301751922517,17.62046131397629,0.9758446334334616,,,39.57738248737765,nan,,,1.3027062,,                             None,-59.89000388601106,78.78075311087707,-43.65443203327291,0.018839996,87.49063852079092,0.021510877
