Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1956328333130770048,331.5031729,39.2987646,11.639,2.519,0.0,0.0,0.0,-17.82,-17.82,0.23,49.054,,,,1.392,,Gaia_DR3,69.116,-459.053,69.116,0.018,-459.053,0.02
Gaia,DR3,2814501281775322240,350.8529963,15.5692188,10.709,2.221,1.411,29.1501,10.546,2.89,-44.43,0.18,46.825,,,,1.132,,Gaia_DR3,15.435,-475.723,4.256,0.022,-467.419,0.019
Gaia,DR3,2211393521580984320,341.0247963,64.5693494,7.312,0.903,2.75,25.8782,11.1904,-34.67,-45.6,0.12,39.796,,,,0.931,,Gaia_DR3,35.436,-279.778,50.406,0.016,-297.337,0.015
Gaia,DR3,1603272950424941440,233.858536,60.0847083,12.156,2.777,2.52,60.1562,19.9931,-43.79,-9.41,22.38,51.346,,,,1.356,,Gaia_DR3,143.928,-166.411,171.102,0.024,-163.988,0.024
Gaia,DR3,1603267143629157120,233.8350486,60.0862687,8.033,1.292,2.645,60.1659,20.0181,-43.79,-9.03,0.13,51.222,,,,0.969,,Gaia_DR3,143.543,-165.946,171.924,0.021,-162.744,0.021
Gaia,DR3,1058284412796260480,177.7183379,68.5209207,15.127,0.581,2.044,70.4172,21.7739,-48.23,,,58.513,,,,0.988,,,4.029,-24.896,23.396,0.021,-41.046,0.026
Gaia,DR3,1908034002868373376,339.8862868,38.6814328,11.911,2.295,2.816,6.5426,22.8867,-16.7,-48.17,0.25,23.244,,,,1.237,,Gaia_DR3,22.175,-220.966,13.106,0.028,-210.564,0.03
Gaia,DR3,4267552520347776,47.5639217,5.9062388,10.886,2.335,2.643,75.487,23.6287,5.18,-5.68,0.19,55.241,,,,1.385,,Gaia_DR3,-143.023,-540.674,-122.203,0.031,-563.343,0.028
Gaia,DR3,6622318573720116864,337.0970296,-25.9044179,12.272,2.598,2.655,65.4122,23.9045,33.32,4.31,0.56,42.417,,,,1.208,,Gaia_DR3,47.004,-308.984,30.129,0.025,-325.677,0.021
Gaia,DR3,1721432517260428160,230.8025438,81.7103454,15.799,3.763,1.238,52.697,25.6281,-46.47,,,31.056,,,,1.158,,,83.952,16.676,91.906,0.048,15.127,0.047
Gaia,DR3,2811448453380206976,346.859031,11.2852831,15.303,3.435,2.599,31.1579,26.3827,6.33,,,24.023,,,,4.611,,,13.444,-242.137,19.972,0.163,-253.566,0.141
Gaia,DR3,6853784501721502720,302.5734901,-21.7808052,14.373,0.173,1.758,66.8012,26.6002,25.55,,,37.159,,,,0.929,,,100.061,-305.048,101.155,0.023,-318.774,0.015
Gaia,DR3,6698960688866464768,300.0850604,-33.7047373,5.526,0.659,2.756,78.5842,26.9689,32.57,-7.85,0.27,45.154,,,,0.885,,Gaia_DR3,125.314,-315.367,128.794,0.053,-289.36,0.032
Gaia,DR3,2153268423490051072,282.590957,56.9742591,13.39,2.677,2.549,36.0779,27.8668,-35.87,-20.21,3.44,24.024,,,,1.232,,Gaia_DR3,76.882,-144.556,65.204,0.014,-139.056,0.015
Gaia,DR3,313195066834107520,17.6832934,31.2862451,15.883,3.371,1.006,38.1116,28.0462,-11.11,,,24.328,,,,1.161,,,-29.23,-239.306,-25.904,0.052,-243.253,0.047
Gaia,DR3,2309132133824849152,4.686456,-34.8387413,11.791,2.577,2.473,80.2266,28.5818,38.89,25.03,0.34,42.033,,,,1.376,,Gaia_DR3,-19.85,-252.837,-26.739,0.017,-273.636,0.026
Gaia,DR3,907066684548911872,121.7008802,36.7590346,11.739,2.613,1.537,99.1458,29.0229,-34.58,5.21,0.3,56.592,,,,1.325,,Gaia_DR3,-154.058,-371.348,-150.682,0.035,-389.374,0.023
