Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4904523077718046720,0.7744875,-62.469316,13.667,0.935,0.0,0.0,0.0,19.81,19.81,2.37,1.944,,,,1.036,,Gaia_DR3,2.791,4.876,2.791,0.013,4.876,0.013
Gaia,DR3,6487440485908615424,359.5844275,-63.2692328,19.955,2.557,4.694,0.9666,9.1072,19.58,,,1.934,,,,1.064,,,2.943,4.91,4.686,0.347,4.122,0.37
Gaia,DR3,4905571938795181824,0.5218201,-61.431906,18.605,2.518,2.93,1.0442,10.4833,20.01,,,1.962,,,,0.936,,,2.853,4.762,1.673,0.183,5.039,0.146
Gaia,DR3,4905585583907279616,1.2230792,-61.4404515,12.928,0.789,4.925,1.0503,13.3276,20.05,-2.14,1.76,1.981,,,,2.003,,Gaia_DR3,2.779,4.838,2.468,0.029,6.871,0.029
Gaia,DR3,6488053708454742784,359.3095931,-61.200853,17.878,2.379,4.888,1.4446,13.6952,19.98,,,1.928,,,,1.041,,,2.972,4.592,1.228,0.097,3.641,0.103
Gaia,DR3,6486010575331744768,358.0395694,-63.2223761,18.562,2.779,4.027,1.4576,14.1132,19.5,,,1.965,,,,1.118,,,3.207,4.907,1.786,0.162,5.78,0.173
Gaia,DR3,6487565697090674432,357.8944546,-62.2360078,19.034,2.783,4.474,1.3565,14.3176,19.69,,,1.973,,,,1.053,,,3.242,4.781,1.832,0.201,3.566,0.231
Gaia,DR3,4905704846558992896,2.4467164,-60.9284142,19.334,2.67,1.204,1.7328,18.2844,20.22,,,1.909,,,,1.047,,,2.508,4.64,2.024,0.258,4.66,0.245
Gaia,DR3,4901069271175924864,0.8566304,-64.5116163,20.237,1.916,4.564,2.0426,18.5833,19.38,,,1.934,,,,0.95,,,2.765,5.139,4.372,0.547,6.077,0.587
Gaia,DR3,6488031335968653312,359.097649,-61.3424662,19.415,2.658,3.157,1.3759,19.5089,19.94,,,2.003,,,,1.075,,,3.119,4.782,2.211,0.272,5.759,0.292
Gaia,DR3,4905929524888295936,0.8268242,-60.218559,18.22,2.541,1.935,2.2509,21.0672,20.27,,,1.968,,,,1.056,,,2.818,4.613,2.028,0.153,4.473,0.124
Gaia,DR3,6487763918420764800,357.5408294,-61.9153114,16.267,1.768,4.906,1.6068,21.83,19.73,,,2.009,,,,0.996,,,3.35,4.802,4.139,0.037,2.88,0.041
Gaia,DR3,4905772019847857792,3.0569956,-60.3919704,13.338,0.843,2.308,2.3463,21.835,20.36,4.24,1.67,1.924,,,,1.094,,Gaia_DR3,2.442,4.622,3.13,0.013,5.256,0.013
Gaia,DR3,4900343898444888320,2.8156882,-64.7652154,16.229,1.702,3.746,2.4683,22.2143,19.42,,,1.952,,,,0.933,,,2.512,5.305,1.18,0.035,6.081,0.041
Gaia,DR3,4904461638209958016,1.4691666,-62.8276016,20.224,2.124,4.745,0.4798,22.9067,19.78,,,1.863,,,,1.115,,,2.58,4.749,3.406,0.531,3.079,0.579
Gaia,DR3,6488175341928137984,359.8208952,-60.7396479,11.492,0.644,4.61,1.7881,23.654,20.11,39.42,3.18,2.013,,,,2.935,,Gaia_DR3,3.029,4.75,1.256,0.044,5.577,0.054
Gaia,DR3,4905957012678968704,1.3573834,-59.9949372,14.103,0.965,4.739,2.4902,23.6624,20.34,3.67,3.22,1.917,,,,0.936,,Gaia_DR3,2.671,4.482,4.403,0.015,3.666,0.015
Gaia,DR3,4900274152471481984,0.1216929,-65.1194549,17.542,2.14,1.764,2.6657,23.9349,19.21,,,1.943,,,,2.23,,,2.882,5.216,3.604,0.144,5.186,0.173
Gaia,DR3,4904648658266373760,3.5009298,-61.7702878,18.301,2.722,4.865,1.4538,24.6409,20.1,,,1.869,,,,1.001,,,2.31,4.696,3.987,0.114,3.768,0.127
Gaia,DR3,6488353565891150592,356.4151267,-60.6278224,18.992,2.533,3.168,2.7746,25.1792,19.9,,,1.96,,,,1.014,,,3.426,4.445,4.73,0.202,4.565,0.212
Gaia,DR3,4901955198375554688,6.8032176,-61.7157286,12.359,0.716,4.236,2.9194,26.5059,20.25,10.72,1.06,1.931,,,,1.201,,Gaia_DR3,1.914,4.955,1.281,0.014,3.351,0.014
Gaia,DR3,4900034665094601088,2.5183123,-65.3054486,13.453,0.939,4.728,2.9379,27.4675,19.28,40.5,1.79,1.976,,,,1.045,,Gaia_DR3,2.586,5.434,4.007,0.014,6.798,0.014
Gaia,DR3,4900588337918631168,6.7902049,-64.0234715,13.572,0.837,2.93,3.1205,28.986,19.75,1.8,2.27,1.919,,,,1.044,,Gaia_DR3,1.904,5.249,3.089,0.012,5.254,0.012
Gaia,DR3,6486354374578434304,354.6846445,-64.2615967,18.7,2.569,3.736,3.2638,29.3205,19.07,,,1.942,,,,1.079,,,3.628,4.815,2.948,0.157,3.445,0.2
Gaia,DR3,4900538688096700800,6.7163545,-64.1182108,19.608,2.744,2.785,3.1366,29.6915,19.72,,,1.983,,,,1.452,,,1.979,5.437,3.143,0.423,5.417,0.411
Gaia,DR3,6485238030974082944,359.1359132,-65.7523264,12.726,0.723,3.977,3.3598,30.4454,19.02,26.08,1.6,1.963,,,,0.979,,Gaia_DR3,3.051,5.311,4.691,0.014,5.452,0.016
Gaia,DR3,4905585618267012608,1.2497524,-61.4354421,11.53,0.687,3.036,1.0577,30.5498,20.05,-2.52,0.54,2.061,,,,3.463,,Gaia_DR3,2.887,5.034,2.318,0.045,6.223,0.045
Gaia,DR3,6488607789299376896,355.2858936,-61.2067086,19.788,2.227,1.611,2.8805,30.6237,19.71,,,1.886,,,,1.015,,,3.445,4.298,4.079,0.329,4.388,0.389
