Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2549096011101118080,11.25643,0.5931841,12.815,1.082,0.0,0.0,0.0,26.63,26.63,19.22,4.049,,,,0.963,,Gaia_DR3,25.938,-18.067,25.938,0.021,-18.067,0.019
Gaia,DR3,2549096006807487872,11.2577515,0.5942133,17.446,2.548,1.006,0.0017,2.5259,26.63,,,4.091,,,,1.058,,,26.205,-18.254,25.66,0.12,-17.58,0.117
Gaia,DR3,2530458185203086848,9.8123187,-1.3139144,18.364,2.786,4.004,2.3921,14.8942,26.54,,,3.884,,,,0.997,,,25.423,-16.607,22.886,0.215,-18.684,0.182
Gaia,DR3,2553593009363650688,8.8816819,3.0604659,17.806,2.63,3.78,3.4235,14.9262,24.41,,,4.019,,,,0.961,,,26.664,-18.829,24.795,0.155,-16.228,0.116
Gaia,DR3,2549875324326977408,13.452244,2.7874555,14.674,1.813,3.584,3.1035,15.556,26.94,9.88,8.08,3.929,,,,10.326,,Gaia_DR3,24.293,-18.406,21.549,0.363,-17.275,0.412
Gaia,DR3,2539281250619927040,14.2531742,2.4737107,18.733,2.857,3.8,3.5369,16.1829,27.47,,,3.969,,,,1.078,,,24.214,-18.487,21.472,0.311,-16.879,0.259
Gaia,DR3,2544115940686338432,9.2320893,0.8148052,18.236,3.113,2.017,2.0363,16.5993,25.45,,,4.297,,,,0.915,,,28.368,-19.252,26.605,0.207,-18.773,0.13
Gaia,DR3,2536085760592431488,14.0073104,-0.1671287,19.353,3.055,2.197,2.854,18.3149,28.33,,,4.291,,,,1.005,,,26.285,-18.818,25.848,0.474,-16.88,0.443
Gaia,DR3,2536416129476365952,15.2699244,-0.0933193,18.248,2.852,4.403,4.0717,18.5432,28.94,,,3.963,,,,0.997,,,23.749,-17.409,26.935,0.189,-19.248,0.175
Gaia,DR3,2554158364498429952,10.0206667,4.1241081,18.244,2.716,4.188,3.7405,18.5825,24.61,,,3.911,,,,0.977,,,25.523,-18.73,28.788,0.205,-19.856,0.145
Gaia,DR3,2532646041543888512,15.0673068,-1.9732893,18.573,2.938,4.251,4.594,20.1928,29.5,,,4.131,,,,1.065,,,24.845,-17.313,21.218,0.224,-16.576,0.233
Gaia,DR3,2546967975065972224,6.5910038,1.0880071,14.833,1.798,3.317,4.6911,20.4774,23.88,22.91,3.05,4.008,,,,5.988,,Gaia_DR3,27.433,-18.035,29.948,0.142,-19.27,0.135
Gaia,DR3,2540837270027732096,7.3916436,-2.2129129,13.101,1.187,4.233,4.7754,21.4883,25.52,22.68,1.01,3.963,,,,1.055,,Gaia_DR3,26.838,-16.638,27.294,0.02,-13.131,0.016
Gaia,DR3,2542556317802422528,9.1334327,-0.8106485,19.779,2.58,4.212,2.5451,21.6692,25.99,,,4.386,,,,1.074,,,28.992,-18.973,25.124,0.518,-19.417,0.457
Gaia,DR3,2540926158671554688,6.9082487,-2.3043245,11.245,0.743,3.161,5.2244,22.4988,25.28,9.41,0.43,4.054,,,,1.768,,Gaia_DR3,27.631,-16.994,30.061,0.042,-15.812,0.035
Gaia,DR3,2554523612812658560,9.0651958,5.2640327,15.391,2.102,4.906,5.1578,23.0354,23.64,4.35,4.95,4.17,,,,1.043,,Gaia_DR3,27.594,-20.356,28.754,0.039,-16.201,0.029
Gaia,DR3,2553010474358815744,13.9724092,5.2325429,17.704,-0.061,2.014,5.3737,23.2863,26.23,,,4.113,,,,1.59,,,25.21,-20.269,26.45,0.227,-19.04,0.156
Gaia,DR3,2541881939216976896,6.1013144,-1.5288053,19.637,2.775,1.631,5.5743,24.0271,24.56,,,4.046,,,,1.073,,,27.87,-17.263,27.803,0.477,-18.653,0.423
Gaia,DR3,2550043480886482688,12.537158,2.6634027,11.909,0.902,0.442,2.434,24.2204,26.52,8.14,0.7,4.447,,,,1.194,,Gaia_DR3,27.912,-20.757,27.562,0.026,-20.981,0.024
Gaia,DR3,2537427164777820160,14.4393026,0.9522761,17.34,2.577,3.713,3.2028,24.3404,28.14,,,3.751,,,,1.002,,,22.808,-16.888,19.931,0.131,-17.469,0.108
Gaia,DR3,2551101176712745984,9.8879339,3.5623695,16.175,2.346,2.568,3.2689,24.7328,24.76,,,4.421,,,,1.025,,,28.905,-20.94,31.125,0.061,-20.046,0.044
Gaia,DR3,2553565762090697216,8.3237442,2.7447355,19.266,3.059,4.801,3.6361,24.9353,24.23,,,4.404,,,,1.091,,,29.45,-20.495,33.202,0.444,-18.087,0.297
Gaia,DR3,2543466064890896384,7.1678651,-0.5767909,16.16,2.362,4.666,4.2526,24.9465,24.82,,,3.799,,,,0.984,,,25.807,-16.53,28.359,0.067,-19.26,0.044
