Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5664814198431308288,144.0074851,-21.6652009,9.892,2.396,0.0,0.0,0.0,-35.03,-35.03,0.17,105.979,,,,1.119,,Gaia_DR3,138.722,-990.342,138.722,0.023,-990.342,0.02
Gaia,DR3,5975663354131618304,259.7512527,-34.9977951,9.386,2.294,2.533,96.8302,12.5599,38.18,6.13,0.3,138.066,,,,0.956,,Gaia_DR3,1204.567,-225.474,1131.517,0.025,-215.569,0.02
Gaia,DR3,5761555587993177216,130.5963939,-4.8999625,11.714,2.512,1.939,21.2125,13.5959,-46.42,-4.26,0.4,45.544,,,,1.19,,Gaia_DR3,-50.994,-310.519,-59.353,0.029,-293.88,0.025
Gaia,DR3,3778200992769095808,160.5707719,-3.39562,15.141,3.502,2.551,24.3427,15.3035,-43.36,28.1,5.59,42.739,,,,1.169,,Gaia_DR3,179.323,-278.22,199.86,0.046,-267.892,0.042
Gaia,DR3,4784805056230587392,71.4076666,-50.0757042,7.351,1.053,2.366,62.5171,18.039,8.47,23.34,0.2,49.18,,,,1.537,,Gaia_DR3,-464.925,-351.476,-444.237,0.028,-338.291,0.034
Gaia,DR3,6185325343777379968,195.0100726,-28.72612,12.569,2.478,1.277,46.3468,22.0154,-9.19,37.88,0.6,36.438,,,,1.307,,Gaia_DR3,322.186,-286.223,331.035,0.027,-281.986,0.02
Gaia,DR3,3842095911266162432,137.3756901,-0.3992479,8.425,0.967,1.879,22.2276,26.4608,-49.1,5.8,0.15,28.609,,,,0.963,,Gaia_DR3,3.11,-172.483,1.032,0.029,-183.624,0.02
Gaia,DR3,2947359635449537920,100.5439114,-15.7219024,11.859,2.29,1.552,41.4668,26.5222,-30.63,-16.99,0.29,30.445,,,,1.346,,Gaia_DR3,-187.145,-243.766,-197.108,0.02,-243.756,0.02
Gaia,DR3,675007406818629632,118.24794,22.5561076,10.365,1.716,2.519,50.8493,29.0652,-54.0,56.67,0.21,29.337,,,,1.433,,Gaia_DR3,-96.956,-50.416,-85.959,0.027,-61.447,0.016
Gaia,DR3,799796341573294976,145.5139802,37.5166613,13.074,2.736,2.276,59.1989,29.2413,-55.85,-5.74,30.89,30.37,,,,1.918,,Gaia_DR3,47.977,46.626,39.646,0.021,34.673,0.021
