Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1014520826353577088,129.8823723,47.351904,10.419,0.864,0.0,0.0,0.0,14.7,14.7,0.21,4.075,,,,1.125,,Gaia_DR3,-24.06,-26.218,-24.06,0.016,-26.218,0.017
Gaia,DR3,918635299218507904,128.98271,47.2330143,18.41,3.289,2.249,0.6217,2.7978,15.06,,,4.061,,,,1.03,,,-23.539,-26.376,-24.878,0.187,-27.759,0.203
Gaia,DR3,1013931797359869440,133.5136906,47.3995882,18.919,3.207,2.718,2.4593,11.0118,13.43,,,4.133,,,,1.056,,,-26.142,-25.423,-25.933,0.227,-27.782,0.216
Gaia,DR3,917245001124271488,131.293586,45.0372621,14.781,2.036,0.385,2.5122,11.8945,15.43,30.44,5.51,4.165,,,,1.739,,Gaia_DR3,-25.286,-25.82,-24.95,0.047,-25.782,0.054
Gaia,DR3,1015383530664786048,130.2633707,49.9770035,17.464,2.683,0.815,2.6371,12.3118,13.17,,,3.999,,,,1.24,,,-23.794,-26.151,-23.408,0.122,-26.719,0.106
Gaia,DR3,1015036600387164544,132.262913,48.6940389,17.08,2.523,1.35,2.0822,16.1515,13.2,,,3.865,,,,0.973,,,-23.9,-24.414,-23.261,0.07,-25.31,0.065
Gaia,DR3,1011007233868981888,134.4348422,47.3189995,13.669,1.515,2.459,3.085,18.8085,13.14,,,4.317,,,,4.202,,,-27.749,-26.211,-28.702,0.071,-28.235,0.067
Gaia,DR3,929902239681807232,122.8508432,47.3586797,11.935,0.851,2.974,4.7619,20.8719,16.85,73.57,1.23,4.015,,,,1.259,,Gaia_DR3,-20.167,-27.813,-20.499,0.017,-25.319,0.015
Gaia,DR3,928424216880594176,124.7349446,44.6295493,18.289,3.09,0.791,4.4929,21.1402,17.83,,,4.24,,,,1.031,,,-22.334,-28.12,-22.903,0.177,-27.701,0.139
Gaia,DR3,913883729655459072,132.3895956,43.1742947,18.047,2.96,1.676,4.5344,21.435,15.97,,,4.246,,,,0.957,,,-26.315,-25.517,-27.097,0.143,-24.237,0.125
Gaia,DR3,1009983485464166144,134.1434038,44.2946033,17.349,2.585,2.352,4.2607,21.7258,14.75,,,4.294,,,,1.032,,,-27.46,-25.503,-25.335,0.093,-25.376,0.084
Gaia,DR3,917415047469733120,129.2287256,44.8407402,18.442,2.979,1.619,2.5517,21.8363,16.25,,,4.42,,,,1.114,,,-25.75,-28.018,-26.884,0.161,-29.012,0.143
Gaia,DR3,1009764678354110080,135.7700051,45.3255964,18.609,3.087,2.265,4.5402,21.8684,13.63,,,3.927,,,,1.082,,,-25.814,-23.025,-26.777,0.199,-21.417,0.198
