Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5378886891123024512,175.2561754,-44.4041148,7.394,1.314,0.0,0.0,0.0,13.55,13.55,0.13,78.227,,,,0.916,,Gaia_DR3,-660.634,242.096,-660.634,0.016,242.096,0.013
Gaia,DR3,6093381604489726848,208.1452282,-50.9218783,7.141,1.087,1.577,22.875,6.8136,-3.92,-23.51,0.14,60.828,,,,6.657,,Gaia_DR3,-570.338,-41.616,-590.275,0.14,-38.271,0.139
Gaia,DR3,5522879208777731200,126.7982539,-44.9869214,10.613,2.715,2.356,33.9267,7.8051,29.84,,,72.614,,,,2.639,,,-178.005,478.554,-167.245,0.053,512.984,0.055
Gaia,DR3,3558854607781867392,169.9490263,-16.5436174,13.99,3.361,2.383,28.2183,13.9147,22.3,3.68,2.15,42.021,,,,1.256,,Gaia_DR3,-337.001,67.976,-355.918,0.029,58.613,0.022
Gaia,DR3,5309386791195469824,147.193101,-52.6146651,7.712,1.076,2.789,20.1572,14.8874,21.33,-0.27,0.14,38.137,,,,1.023,,Gaia_DR3,-208.719,237.785,-230.995,0.025,235.248,0.022
Gaia,DR3,1266092694562422912,223.4610678,23.5562446,11.755,2.692,0.826,80.9775,15.852,-14.77,-38.18,0.62,86.276,,,,2.726,,Gaia_DR3,-756.228,137.093,-751.403,0.128,122.873,0.219
Gaia,DR3,3524996177995941632,194.4315274,-14.4634216,8.774,1.344,1.922,34.0897,16.3812,5.26,-6.46,0.57,39.498,,,,20.632,,Gaia_DR3,-369.642,19.911,-361.647,0.41,6.048,0.273
Gaia,DR3,3685703546290587392,197.2115867,-1.5187284,11.637,2.538,0.704,47.0843,17.5927,3.5,-15.92,0.38,42.374,,,,1.513,,Gaia_DR3,-398.561,9.776,-404.611,0.049,8.045,0.03
Gaia,DR3,4093301474693288960,277.8283549,-18.9096825,6.565,1.061,2.302,85.4318,17.618,-41.4,-43.38,0.13,75.848,,,,0.71,,Gaia_DR3,-172.049,-209.977,-138.215,0.029,-195.466,0.022
Gaia,DR3,3514907334177346688,184.656631,-20.4019943,14.061,3.096,1.62,25.2388,18.0917,11.97,-2.7,1.75,34.705,,,,1.111,,Gaia_DR3,-313.004,40.396,-318.717,0.026,30.01,0.026
Gaia,DR3,5134635708766250752,28.2089518,-22.4348646,8.186,1.888,2.931,106.6831,19.1549,4.28,12.28,0.14,90.417,,,,0.92,,Gaia_DR3,847.67,54.321,845.632,0.02,-1.505,0.016
Gaia,DR3,5702187702467261696,131.0460157,-22.4984896,10.511,2.012,2.388,42.1948,19.5602,38.62,41.8,0.18,36.974,,,,1.04,,Gaia_DR3,-115.342,133.196,-107.514,0.015,116.305,0.015
Gaia,DR3,6278314581192028928,218.7407092,-23.5994379,17.105,4.879,1.082,40.9634,20.1315,-12.38,,,35.769,,,,1.001,,,-322.738,-32.588,-329.886,0.182,-28.652,0.19
Gaia,DR3,5625581531909416576,133.3747305,-36.8113044,11.305,1.981,2.589,32.3165,22.154,32.69,-21.33,0.28,31.371,,,,0.987,,Gaia_DR3,-109.13,170.156,-123.022,0.012,160.152,0.013
Gaia,DR3,694917878769233408,139.5886523,27.3108337,8.961,1.651,1.062,78.7747,22.3223,35.6,6.62,0.15,47.718,,,,1.052,,Gaia_DR3,-210.323,-173.7,-204.471,0.021,-164.758,0.016
Gaia,DR3,4202659377841518720,285.811069,-9.5358307,11.741,2.607,1.818,97.5536,22.9344,-44.04,36.34,0.4,57.356,,,,0.997,,Gaia_DR3,-55.894,-77.236,-35.052,0.028,-84.229,0.026
Gaia,DR3,2717105133036645760,338.2617012,9.378605,9.542,2.109,2.766,142.0099,24.3616,-30.2,-6.37,0.28,77.035,,,,1.211,,Gaia_DR3,527.424,97.537,538.18,0.027,141.149,0.024
Gaia,DR3,888957972853029632,104.2700152,30.7555068,9.103,1.734,2.953,99.079,24.4106,38.62,-14.8,0.17,52.977,,,,1.147,,Gaia_DR3,64.978,-243.832,89.811,0.024,-222.139,0.023
Gaia,DR3,3146559428361977472,122.586057,9.5876238,10.937,2.308,2.262,71.9025,24.498,43.48,-13.96,0.33,39.615,,,,1.243,,Gaia_DR3,-70.337,-52.899,-78.72,0.031,-35.974,0.021
