Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,651935220461650560,125.6174034,13.735309,9.216,0.364,0.0,0.0,0.0,30.33,30.33,0.48,4.391,,,,0.944,,Gaia_DR3,-25.381,-1.955,-25.381,0.019,-1.955,0.014
Gaia,DR3,603294196140826880,128.1058007,13.259023,17.733,2.694,2.631,2.4661,9.9193,29.17,,,4.365,,,,1.062,,,-26.409,-1.454,-26.275,0.139,-3.871,0.093
Gaia,DR3,653232227567847296,121.935362,13.4686781,19.573,3.221,1.717,3.5887,14.8975,32.0,,,4.485,,,,1.132,,,-24.05,-2.237,-23.505,0.405,-3.766,0.297
Gaia,DR3,602360504610464768,128.0694099,10.9929629,14.792,2.099,2.505,3.6409,16.4812,29.22,5.31,7.16,4.558,,,,0.979,,Gaia_DR3,-27.557,-0.411,-25.438,0.03,0.729,0.021
Gaia,DR3,657058188734100096,123.2570635,17.6803086,10.606,0.643,1.869,4.5523,18.3892,31.17,29.62,0.56,4.471,,,,0.994,,Gaia_DR3,-24.66,-4.27,-24.79,0.027,-6.027,0.018
Gaia,DR3,600297790733164416,126.4213761,9.7083495,17.276,2.73,1.565,4.1031,18.446,30.03,,,4.576,,,,1.042,,,-26.856,0.087,-25.591,0.088,0.911,0.063
Gaia,DR3,600248690667109504,125.9079813,9.117142,15.92,2.21,2.251,4.6269,18.5239,30.27,,,4.36,,,,1.024,,,-25.341,0.332,-24.53,0.046,2.236,0.032
Gaia,DR3,3147645264813741824,122.2240239,10.8900509,15.727,2.201,2.653,4.3685,18.7288,31.94,,,4.271,,,,0.975,,,-23.047,-0.81,-24.245,0.048,-2.876,0.031
Gaia,DR3,599785414018236288,128.2714094,9.786831,18.22,2.878,2.988,4.7264,18.8573,29.13,,,4.37,,,,1.068,,,-26.514,0.189,-23.762,0.187,0.176,0.143
Gaia,DR3,653189007314873984,121.4583892,13.0800512,16.685,2.617,2.296,4.0983,19.6595,32.22,,,4.198,,,,1.228,,,-22.28,-1.944,-23.782,0.088,-3.313,0.054
Gaia,DR3,653093452883520512,120.5618572,12.3865005,11.48,0.811,0.821,5.1059,20.885,32.62,6.75,0.72,4.313,,,,1.093,,Gaia_DR3,-22.43,-1.718,-21.972,0.021,-1.129,0.016
Gaia,DR3,656725002348840192,122.0035803,16.9356591,14.354,1.606,2.768,4.7312,21.8766,31.77,24.13,4.3,4.198,,,,0.979,,Gaia_DR3,-22.548,-3.796,-23.394,0.021,-6.096,0.014
Gaia,DR3,655263712740012288,120.8056977,16.7345665,18.602,3.014,2.93,5.5265,23.5444,32.28,,,4.251,,,,1.007,,,-22.232,-3.879,-22.817,0.217,-6.439,0.145
Gaia,DR3,3146691953872932096,121.5804355,9.633374,17.485,2.875,1.689,5.6962,23.7094,32.24,,,4.556,,,,1.02,,,-24.245,-0.236,-25.229,0.1,-1.526,0.071
Gaia,DR3,658972575914733312,127.5186654,16.7394775,12.588,1.013,2.644,3.5198,24.5092,29.3,57.45,2.53,4.041,,,,1.035,,Gaia_DR3,-24.195,-2.925,-25.607,0.015,-4.68,0.012
Gaia,DR3,651358320452847232,127.8213218,13.655695,18.868,3.037,2.644,2.1427,25.297,29.29,,,3.977,,,,1.052,,,-23.943,-1.522,-23.978,0.237,0.694,0.184
Gaia,DR3,653447942302648576,120.9749808,13.4252521,18.58,3.541,1.225,4.5232,26.9395,32.41,,,4.832,,,,1.058,,,-25.367,-2.485,-25.42,0.234,-3.732,0.149
Gaia,DR3,658425637598776960,130.4129442,16.9492631,15.102,2.017,2.059,5.6311,27.3896,27.88,30.13,7.14,4.743,,,,1.032,,Gaia_DR3,-29.831,-3.111,-30.0,0.033,-1.059,0.026
Gaia,DR3,649398264882335232,124.795635,11.7594424,17.133,2.725,1.14,2.1322,27.8895,30.77,,,4.974,,,,1.016,,,-28.302,-1.199,-27.362,0.096,-1.937,0.066
Gaia,DR3,3096708666376234752,124.131861,6.608316,18.574,2.994,2.246,7.2752,29.0944,31.06,,,4.503,,,,1.024,,,-25.281,1.509,-23.366,0.238,0.573,0.209
Gaia,DR3,3147986491375430528,120.811931,11.5466449,15.55,2.222,1.622,5.1743,29.4444,32.54,,,4.861,,,,1.025,,,-25.426,-1.424,-23.805,0.039,-1.792,0.027
Gaia,DR3,651073095968498304,125.7867867,12.9566228,19.101,2.798,2.537,0.7959,29.4642,30.28,,,3.891,,,,0.963,,,-22.563,-1.379,-24.639,0.304,-1.236,0.198
Gaia,DR3,3097772413810344576,121.6424365,7.7425961,17.654,2.538,2.478,7.1518,29.5094,32.2,,,4.271,,,,1.041,,,-22.757,0.74,-24.875,0.107,0.042,0.072
Gaia,DR3,595552500409923328,130.3187679,7.8376502,16.775,2.602,2.816,7.4893,29.8216,28.07,,,4.373,,,,0.957,,,-27.462,1.234,-26.46,0.071,-1.16,0.053
