Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6205812887538362624,224.28385359601336,-30.880030974128765,12.60482,1.8555183,1.3012775578160943e-14,0.0,0.0,-2.733843326999998,,,8.190849675417658,nan,,,1.2282883,,                             None,-24.60102928284571,-26.35595251199866,-24.601029282845687,0.018730074,-26.355952511998666,0.015260912
Gaia,DR3,6217454344850166144,222.25759729425576,-31.344772127851044,18.848738,4.151987,0.1361286125804546,1.7959293922032296,3.878014565611572,-2.1746517616419934,,,8.152659514789276,nan,,,0.9941367,,                             None,-25.089738990574677,-25.81428378286082,-24.9021346216942,0.3539473,-25.674492925438525,0.28809357
Gaia,DR3,6204794499252555264,226.17107430189765,-31.85471740041963,15.374746,2.99117,0.9168998974714805,1.8831947043989876,4.138258238844093,-2.8675533426891557,,,8.127717909965716,nan,,,1.1182641,,                             None,-23.823651876610782,-26.648051203552303,-23.539591231052984,0.056973375,-28.193177408634146,0.04297348
Gaia,DR3,6205172593814395264,223.15296265155277,-32.768970269034234,14.194487,2.6468325,0.6453555107926504,2.119244066665139,4.884871648977755,-1.991613050479501,,,8.323715354357708,nan,,,1.2931787,,                             None,-25.347835706574173,-26.658208023855536,-24.94619375510256,0.027309103,-27.717008723157257,0.026045702
Gaia,DR3,6217633290379980416,221.54355418714204,-30.970227896722555,8.703604,0.59386635,1.4389046177524532,2.352407448277184,5.096570130526736,-2.116195192966627,,,8.135791667549451,nan,,,1.0830969,,                             None,-25.242604789707016,-25.574698306212632,-22.77920952554785,0.024462681,-25.426070933418686,0.021941926
Gaia,DR3,6217633290379980160,221.54427808129105,-30.970848669001523,12.38219,--,1.8462719791571445,2.3518032277176717,5.099057843388017,-2.116193074075497,,,8.262062109726733,nan,,,1.2365458,,                             None,-25.63417037296156,-25.971833538754026,-24.984561336467703,0.071984835,-22.822431909756677,0.057627704
Gaia,DR3,6210766908975304192,227.01993350802687,-31.70884033193792,15.695204,3.1179972,1.2646161249096473,2.4804665247779543,5.354820766184343,-3.081248042614453,,,8.257378250489468,nan,,,1.1842419,,                             None,-23.926517156617752,-27.247757457185614,-23.58994866448133,0.053733785,-29.423241944835166,0.051900845
Gaia,DR3,6217621539349455744,221.5512368234009,-30.976712657976062,15.529823,3.262082,2.005573762520681,2.346001132177992,5.363249314067616,-2.1161994284601837,,,8.06896033907988,nan,,,1.1393552,,                             None,-25.03308529712127,-25.366750575225588,-21.824291839730297,0.04911575,-24.20826354804709,0.04275556
Gaia,DR3,6211631533132884096,226.67729654368497,-30.79253709902489,12.442517,1.7895422,0.5936818933843274,2.0569169889296126,5.874450911548835,-3.26027928007854,,,8.467663116580653,nan,,,1.2479963,,                             None,-24.651224174375542,-27.774775471957142,-24.707795337770683,0.016698638,-28.833027314104626,0.014983655
Gaia,DR3,6219165047506445056,223.10112456015455,-28.33247971422524,12.6977005,1.8550472,1.9367107902284284,2.747197321908124,6.398029584565963,-3.148551132254659,,,8.029908439185911,nan,,,2.246921,,                             None,-24.46826886909217,-25.36871648288068,-25.477780464157036,0.035159018,-28.487855331475043,0.028122624
Gaia,DR3,6217510248156489856,221.7271135051201,-31.843612506570707,14.340678,2.8229885,0.8654947065331379,2.3862892872168464,6.441147331840702,-1.9287939472564632,,,8.472725437447997,nan,,,5.7593803,,                             None,-26.233562612722437,-26.732790105956568,-25.08918522418803,0.13615285,-27.77210682997962,0.12746827
Gaia,DR3,6217519284767559936,221.33371296596064,-31.81539134864134,12.49867,1.8004379,0.15004775769198908,2.687393614907171,6.799471343413042,-1.8503339275686224,,,7.960343351081282,nan,,,1.2035083,,                             None,-24.756401644437158,-25.025131429188768,-24.92781790196364,0.01690644,-25.20957328834419,0.015516592
Gaia,DR3,6217519250407676032,221.31823531433062,-31.821495145187818,14.553241,2.7599974,0.39915547075822866,2.7018309483100342,6.834695304988736,-1.8453620764248417,,,7.959336879241311,nan,,,1.16998,,                             None,-24.75754720869061,-25.018772124450784,-25.138269933044025,0.030318564,-25.56978049712128,0.0264368
Gaia,DR3,6212439369242013184,227.08310153467787,-29.142641883991494,15.333914,3.4073143,0.6092956382130009,2.9820842505258582,6.917195640988418,-3.791756869336423,,,8.0216915802182,nan,,,1.1998487,,                             None,-23.223350141622866,-26.222515720066713,-22.24712334636703,0.050532825,-26.55206862227178,0.041581087
Gaia,DR3,6204555630351929088,225.79010705680395,-33.34929622910204,16.457426,3.6811657,0.792567228032016,2.779262070821416,7.078580934683741,-2.383822429046421,,,7.947555392281153,nan,,,1.9311609,,                             None,-23.41364257684875,-26.08851784517409,-24.2346391995963,0.15410137,-27.132187965891525,0.1276572
Gaia,DR3,6210766908975303936,227.02132985983235,-31.708729356482994,14.65355,3.0207577,0.5491369464970655,2.481555314085736,7.4565677411665545,-3.08156312692037,,,7.8596583411428975,nan,,,5.4087486,,                             None,-22.773648793722327,-25.935640200869486,-22.072468342331256,0.13191703,-26.515463678728416,0.12532967
Gaia,DR3,6204774055207810176,226.2158152691319,-32.189645940374064,14.085752,2.9060888,0.7363066450781621,2.1038629082912776,7.67317151791029,-2.7858298763321607,,,8.637291711241842,nan,,,2.1785188,,                             None,-25.302150944633162,-28.359358768101657,-24.80615888017794,0.04596055,-27.113792509394017,0.0389536
Gaia,DR3,6205431838040259328,224.95796565818912,-32.16121617948924,16.684193,3.5522661,0.2597554972811562,1.4041459171270716,7.78566635743199,-2.533316469180999,,,7.737618733953595,nan,,,1.0766159,,                             None,-23.042752799373496,-25.13605659312529,-23.287861776323176,0.08536592,-25.48166814594559,0.06891937
Gaia,DR3,6204616172211468032,226.05949148164723,-32.68914527200637,17.002174,3.742835,1.6843415356365843,2.3559677425871093,7.906697342262979,-2.6181137551783453,,,7.806771481071592,nan,,,1.3067871,,                             None,-22.91698222637544,-25.637747484521668,-20.74558111054375,0.14071746,-27.36082347085751,0.12851165
Gaia,DR3,6215878641620981376,220.3932655812145,-32.61678776114374,14.676994,2.8894968,0.6336886111675815,3.736180883409774,7.961240901228076,-1.4368315066288782,,,8.188010971365612,nan,,,4.3113103,,                             None,-25.728314572938295,-25.55657297762105,-26.32736619113504,0.13028134,-26.471765888007607,0.09476805
Gaia,DR3,6205541411246196992,225.75485691090296,-31.92978513786282,17.036472,3.6216488,1.392865523865198,1.6365125243966734,8.003196204727216,-2.7612835107194265,,,7.7374565952239145,nan,,,1.0257579,,                             None,-22.805273372178295,-25.287249691493976,-21.119180169503323,0.16151701,-23.76447412932304,0.14665762
