Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1291955578869575552,226.3371383455344,36.78698057800429,14.648687,2.5136576,3.1355419677018664e-14,0.0,0.0,-6.038312912000002,,,9.184334813709128,nan,,,1.1020043,,                             None,-48.95102035340881,42.64735363540006,-48.95102035340875,0.015597382,42.64735363540008,0.020457787
Gaia,DR3,1291955574574621056,226.33680816581253,36.78784975543841,19.084288,0.5567665,1.2463063798188,0.0009085108410221695,1.5324473793539133,-6.037862378505053,,,9.056863974824926,nan,,,1.0236409,,                             None,-48.271819755193896,42.05545266939402,-50.37911076371526,0.16284956,40.95021047791309,0.21240671
Gaia,DR3,1276767028323177856,227.75046597893535,32.633889487694574,19.401266,3.3463287,2.917165912492748,4.31236699887839,10.607151281637275,-8.136808152418105,,,8.671763960200256,nan,,,1.0362339,,                             None,-45.39209034837783,39.970885018575096,-50.57782684304456,0.2107969,41.21486814947006,0.25996906
Gaia,DR3,1375790763505665152,233.36604313952066,37.900092067835494,18.604183,3.5689182,2.7676782343014095,5.696351090571257,12.315567823237666,-7.942388486129566,,,9.762046215989054,nan,,,0.9964513,,                             None,-47.09868008231183,49.30277785808934,-48.88146092407237,0.12553062,54.71228703427617,0.18680082
Gaia,DR3,1585317032190194304,225.3933319098499,42.6398284624279,17.483234,3.2662697,1.7821583920045176,5.897586387600818,12.996957044222828,-3.4542058113086993,,,9.833834703960239,nan,,,1.0426841,,                             None,-53.02130258596289,46.11435344205834,-52.92835688495164,0.0901578,49.80772529901803,0.09942223
Gaia,DR3,1387381024813904640,231.15491867318426,37.688242214744875,9.342123,0.80259037,2.8639080335573945,3.939548661944463,13.683876910070563,-7.3202022860672775,,,10.291708445642083,nan,,,1.0288675,,                             None,-51.374001895631736,50.721754423917616,-52.47096401420174,0.014260285,44.60582999796458,0.017781159
Gaia,DR3,1387736029629732992,232.50140364433977,38.085037510165144,16.687021,3.2978535,1.8787580553138379,5.062703736384014,15.36416920934609,-7.591534362953345,,,8.302520187455418,nan,,,1.0584028,,                             None,-40.60671427101553,41.60075523498561,-42.99785175003563,0.044277318,43.858057142389484,0.05469891
Gaia,DR3,1479485670764815488,216.74652646616417,33.38522546185243,8.960656,0.81552124,2.745233830007761,8.548034312727424,16.67070200097379,-3.6086644785816073,,,9.645767893169705,nan,,,0.9881352,,                             None,-56.79999938782163,38.986871952682534,-60.32593069558846,0.0060337964,43.31458054257239,0.013642133
Gaia,DR3,1390852423539881856,231.12206541728835,41.84419539553553,16.769,3.2064304,2.8620287958455615,6.264966306145404,17.871113298177892,-5.597693511958415,,,10.539443897400494,nan,,,0.9573765,,                             None,-52.63622914841357,52.96545150511634,-48.08215149345515,0.043724835,48.52741435828877,0.06281109
Gaia,DR3,1588085946066374272,229.74474117972503,46.8056217858382,12.157755,1.4986372,1.993697286604994,10.33296402935658,20.36851775605889,-3.1229094222511726,,,9.86870030776619,nan,,,1.085169,,                             None,-50.27606728039822,49.54420544448545,-50.404085024665406,0.011006797,45.39845143441788,0.013824484
Gaia,DR3,1587830825008931840,227.44991118976276,46.43477444707321,12.030656,1.4673243,1.2356532790609398,9.683315892299756,20.430093189534723,-2.599660113514779,,,10.175502820216106,nan,,,1.0460862,,                             None,-53.47246693404932,49.511644561262045,-53.369180779763326,0.011454571,46.86306002841327,0.011809878
Gaia,DR3,1589840182508765056,222.2968982872934,46.09073203745089,16.171623,2.829239,2.3086413547600166,9.780820635014615,21.341910765362837,-1.1345517175785433,,,10.346415153528465,nan,,,1.0079275,,                             None,-57.77840672710928,46.67253579778263,-61.694508918395584,0.03800128,43.50712439713319,0.043711405
Gaia,DR3,1372043834037834624,240.608136923366,35.490108638601065,14.164261,2.2991161,1.621735857391717,11.586927235845977,21.874328547425993,-11.153402370865834,,,9.334103787769287,nan,,,1.0696535,,                             None,-39.46853872361708,49.54679549310331,-39.36864507773047,0.013383988,46.35723264909984,0.016958527
Gaia,DR3,1478106745745995136,214.33756280860354,32.74637676825111,11.704512,1.4553976,1.7274675353101945,10.64335159063247,22.428239230200518,-2.8251580907281086,,,10.301104881168285,nan,,,5.0199842,,                             None,-61.84359918529333,40.152408938074856,-63.78237913330362,0.040916055,36.94093072233011,0.05511757
Gaia,DR3,1384269991022042496,238.23595581749169,42.96979378195318,12.643823,1.6986713,2.1776782842205775,11.010571352471501,22.60091690357777,-7.160970147560477,,,10.201522090711766,nan,,,1.1321282,,                             None,-45.20951973472501,55.56813313736332,-41.029500536496585,0.010322723,57.680131922878466,0.01309269
Gaia,DR3,1320733921337429632,237.87370706005666,29.199703973288823,9.0468445,0.7113209,0.4607090936025498,12.279640269344869,23.7834443456657,-12.985024633731067,,,9.904127187761793,nan,,,0.90241426,,                             None,-44.19239280314772,48.700658787389955,-44.30464153391958,0.009178578,49.655996676919656,0.012455448
Gaia,DR3,1293736993865010688,220.46369611081266,34.87792606672,17.14057,3.4601202,1.8696371338332594,5.129029268510539,23.902569553917637,-4.569591051505276,,,11.54544424647224,nan,,,1.2643408,,                             None,-65.70286521428457,49.35892304963685,-68.47301353317178,0.09755531,45.748750738883885,0.11918862
Gaia,DR3,1383762630829219712,237.60311457639338,40.81755256814547,17.82794,3.7185516,1.8983303109177887,9.65079623181249,24.998874176175413,-7.94898754986357,,,11.079233588320406,nan,,,1.0505186,,                             None,-49.68581873454499,59.321360351563335,-52.089883222004,0.09616796,55.59593976091457,0.114266485
Gaia,DR3,1293736993863407616,220.46380805348625,34.87772735426613,17.102106,3.378502,2.6048447831265,5.129024477023765,25.413773885674694,-4.569704578537409,,,11.768956816586762,nan,,,1.4858689,,                             None,-66.97475714134856,50.314516367649894,-63.35090676259681,0.09983515,44.96347460714753,0.13143197
Gaia,DR3,1377582898740712192,236.74904861463236,39.31412420726834,18.678356,3.2718143,1.0876291420493536,8.573759572267276,25.758654041555108,-8.365078814637435,,,7.833011010503719,nan,,,0.98345906,,                             None,-35.680735264780715,41.24674390498791,-35.547720096597,0.14401925,43.03778884839065,0.19379194
Gaia,DR3,1221780554900277632,233.21391294133534,24.480622409560873,17.465534,0.20371628,0.8793497561268742,13.644421409793773,25.759498157351914,-13.226517123349076,,,9.278874582863299,nan,,,1.0214807,,                             None,-44.87638328731519,41.925796390169126,-43.1564234354492,0.071510084,41.94599687965001,0.06856379
Gaia,DR3,1603566691828916480,217.66945167173628,49.14218348421791,17.09395,3.2581081,2.940726548418363,13.866622656970948,26.53000547411905,1.437077346660507,,,9.050263005765334,nan,,,0.98657924,,                             None,-52.86951944235913,37.72293102228038,-51.537920528846485,0.057674695,43.173193776082016,0.058226347
Gaia,DR3,1489843169079067008,221.35364592618168,42.387513755279365,11.974121,1.61969,1.1987802505208198,6.787944607551847,26.634499721138727,-2.1898527137114296,,,11.79262824548792,nan,,,1.1420455,,                             None,-66.50882797010266,52.16849559409958,-65.82876015701605,0.010573083,55.07003651226836,0.012565359
Gaia,DR3,1370956932434288640,236.94134930786277,34.07627521565984,17.401102,3.0516777,1.8928461305738709,9.049723735563802,26.660846399046658,-10.668882243901773,,,7.815033897610885,nan,,,1.0061883,,                             None,-35.47532875546124,39.78813130414335,-36.96063261243851,0.06678209,42.53012778104668,0.07741076
Gaia,DR3,1594750051682780928,232.06330397890602,50.388228437414995,16.905922,3.1553288,2.8755794685614307,14.208733566764863,26.737312927124016,-2.242434822366419,,,9.40311605802508,nan,,,0.99736106,,                             None,-46.30110534181944,48.970254857136375,-51.64767325179696,0.052585553,50.94667839155364,0.06360064
Gaia,DR3,1594750017323042176,232.06350720629237,50.384774900353506,16.947355,3.1439524,2.95461249187304,14.205510390430545,26.832973105133547,-2.2439756807334934,,,9.257800474141746,nan,,,0.94427973,,                             None,-45.58542725608247,48.2133299370451,-50.77766537410628,0.055304017,50.721566320343975,0.065455355
Gaia,DR3,1396437976968402432,236.15365777677084,43.239650156449144,13.286361,1.9988613,2.465380641621566,9.895462574873518,27.432379943692506,-6.472207336253043,,,11.467789174707427,nan,,,0.99855983,,                             None,-52.79522113432087,61.25644242697428,-51.61935198802108,0.010231311,67.09941769026139,0.013475512
Gaia,DR3,1222943322803483392,236.52030618977955,25.76641655837036,15.903906,2.8835602,1.5259111132708945,14.023276547353857,27.677295900965074,-13.902037251882327,,,10.280316031879366,nan,,,1.000445,,                             None,-47.02122326885373,48.29640761339934,-44.35378226970636,0.02037011,46.34176041450404,0.033238374
Gaia,DR3,1224588432716924544,236.91959386343862,28.469674238286167,7.3274345,0.6127081,1.8162227073460404,12.175018983522751,27.778947857368117,-12.968573129430231,,,11.013272748444567,nan,,,3.4387314,,                             None,-50.01303838423078,53.372239907089515,-52.27878958044673,0.04969087,49.815940402687275,0.068923965
Gaia,DR3,1260110079995903232,212.81382390751628,27.38110133038774,16.227818,2.4500513,2.610016445215457,14.796537964857391,27.888582791522364,-3.8646624609434017,,,9.695866628417217,nan,,,1.022311,,                             None,-58.86225581983627,36.37138715814208,-56.775110931554735,0.04971336,41.281001809807876,0.045480747
Gaia,DR3,1373950971316019456,232.35768821930537,33.952207790950354,16.386005,2.9058895,2.8910882702527414,5.667278029906579,28.271075513020694,-9.235331008194043,,,7.435195630106626,nan,,,0.99694693,,                             None,-36.44575911052853,36.24892637439935,-32.64735170680129,0.03456489,38.720137473069116,0.042995606
Gaia,DR3,1268295016352068864,225.0872621035898,26.809777317774174,13.697561,2.214818,1.722775107718814,10.033287614652057,28.479604247193667,-9.26506321468401,,,11.631537212110988,nan,,,1.0858579,,                             None,-62.943796439908525,50.01246760113999,-61.594159211915766,0.013000797,46.00954674585867,0.0145398835
Gaia,DR3,1478061493970597248,214.75700839411002,32.52364981276339,14.693342,2.422103,1.2265914957134483,10.426522398259003,28.61452412979145,-3.072355513920537,,,11.582882695578434,nan,,,1.0888091,,                             None,-69.31571618271435,45.39470646126388,-72.10687090874434,0.017302878,46.48095614652595,0.020342175
Gaia,DR3,1284574969627879552,218.43209854249275,30.80731855357745,19.407686,3.6618176,0.6662126411064856,8.876791996121213,28.857930767995324,-5.167000141691405,,,11.888575056603742,nan,,,1.1101925,,                             None,-68.97664645561716,48.64340915805496,-67.30696384682577,0.3190548,48.64254827675582,0.30066642
Gaia,DR3,1213629428522682368,228.2621677674663,21.403848412793952,14.260515,2.1956034,1.618277193413549,15.473761309161167,29.058079174114244,-12.441964945233195,,,9.464765894972722,nan,,,1.0702007,,                             None,-49.20876941857925,39.78784997618697,-48.74390627922213,0.020389529,36.59259198499525,0.019339481
Gaia,DR3,1454043315292573440,209.33044292076448,30.690818198014497,15.382571,2.5970688,1.9587539057557808,15.371169502788625,29.176027152336026,-1.3094703146712687,,,9.929328729841224,nan,,,1.1799492,,                             None,-61.64575341515692,35.7600686934008,-57.55362234853274,0.036892876,36.01506275729392,0.026467267
