GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 6284007337003799552 214.0595771 -19.5423071 10.895  0.794       0.000   0.0000   0.0000    23.61      nan      nan    3.565  nan      nan    nan   0.919     nan                                None     -13.420      -6.045     -13.420       0.017      -6.045       0.015
Gaia DR3 6283972221351302272 214.7494682 -19.5278324 15.392  1.922       2.560   0.6503   3.9032    23.40      nan      nan    3.536  nan      nan    nan   1.112     nan                                None     -13.488      -6.056     -11.952       0.047      -7.189       0.037
Gaia DR3 6296598252674409600 215.2622300 -18.0590835 18.773  3.000       2.751   1.8698   9.2133    23.03      nan      nan    3.553  nan      nan    nan   1.032     nan                                None     -13.681      -6.570     -12.847       0.301      -8.454       0.284
Gaia DR3 6296361965049684992 213.6395119 -18.1699916 11.464  0.936       2.539   1.4287  10.1437    23.53      nan      nan    3.662  nan      nan    nan   1.014     nan                                None     -13.674      -6.613     -11.910       0.022      -7.468       0.016
Gaia DR3 6283677861472504320 215.2655819 -20.2218490 18.169  2.712       1.510   1.3221  10.9200    23.35      nan      nan    3.457  nan      nan    nan   0.930     nan                                None     -13.312      -5.754     -12.212       0.196      -5.735       0.177
Gaia DR3 6290280183984293248 212.2076109 -19.2632081 18.271  2.864       0.847   1.7689  11.9168    24.10      nan      nan    3.465  nan      nan    nan   1.134     nan                                None     -12.576      -5.824     -12.145       0.286      -5.381       0.252
Gaia DR3 6296738955803026688 216.0166891 -17.4112854 18.541  2.859       2.834   2.8260  15.0837    22.70      nan      nan    3.494  nan      nan    nan   0.971     nan                                None     -13.638      -6.705     -12.993       0.216      -8.690       0.181
Gaia DR3 6297262460776895232 212.0181422 -17.3331085 18.037  2.267       2.731   2.9378  15.1623    23.88      nan      nan    3.509  nan      nan    nan   1.661     nan                                None     -12.686      -6.483     -14.178       0.307      -5.120       0.222
Gaia DR3 6277410400380585600 211.8201641 -21.2942781 17.974  2.673       2.850   2.7338  15.3639    24.48      nan      nan    3.667  nan      nan    nan   0.979     nan                                None     -13.205      -5.467     -15.371       0.161      -5.876       0.157
Gaia DR3 6276517631298214656 216.4892485 -22.0045918 17.876  2.764       1.834   3.3500  16.7899    23.21      nan      nan    3.525  nan      nan    nan   0.997     nan                                None     -13.875      -5.434     -13.244       0.155      -6.642       0.120
