Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,381592313648387200,9.5730303,42.4630954,10.759,0.719,0.0,0.0,0.0,-16.67,-16.67,0.42,4.496,,,,0.833,,Gaia_DR3,-21.535,-4.582,-21.535,0.012,-4.582,0.012
Gaia,DR3,381592519806816896,9.5668664,42.4677196,13.701,1.469,0.804,0.0065,2.4317,-16.67,-15.82,1.89,4.546,,,,1.043,,Gaia_DR3,-21.774,-4.633,-21.149,0.014,-4.183,0.015
Gaia,DR3,381733085496407680,7.225672,40.8795635,18.74,2.963,0.977,2.3624,9.4976,-15.82,,,4.45,,,,0.944,,,-21.645,-5.542,-20.962,0.178,-6.153,0.18
Gaia,DR3,387796415383551104,9.9524853,44.3997982,10.213,0.716,2.863,1.9562,9.9677,-16.93,-26.08,2.61,4.371,,,,1.214,,Gaia_DR3,-20.884,-3.836,-22.269,0.021,-1.591,0.019
Gaia,DR3,381354716061041664,10.1624424,41.8491861,17.116,2.407,3.28,0.7535,10.5888,-16.79,,,4.712,,,,5.579,,,-22.476,-4.825,-25.337,0.347,-6.383,0.307
Gaia,DR3,380757578164921088,9.451224,40.2975165,15.379,2.203,4.645,2.1675,11.0064,-16.44,-82.64,6.99,4.647,,,,1.013,,Gaia_DR3,-22.28,-5.381,-25.575,0.029,-2.242,0.026
Gaia,DR3,388633109373436800,8.4877625,45.0254392,16.552,2.295,4.545,2.6795,11.8018,-16.56,,,4.617,,,,1.003,,,-22.277,-4.272,-22.247,0.044,-8.695,0.044
Gaia,DR3,375124062836711936,13.3758229,41.8286038,15.504,2.258,4.008,2.8898,12.5614,-17.72,-7.05,12.28,4.39,,,,1.022,,Gaia_DR3,-20.426,-3.726,-18.965,0.028,-7.136,0.026
Gaia,DR3,388813360561394304,6.0872419,45.1426872,13.267,1.543,1.941,3.6748,14.578,-15.89,-11.52,1.3,4.568,,,,2.983,,Gaia_DR3,-22.369,-4.854,-21.194,0.027,-6.307,0.022
Gaia,DR3,381757485207206272,6.6890407,40.8970466,10.744,0.79,3.781,2.6628,14.9104,-15.66,-16.87,0.26,4.729,,,,1.106,,Gaia_DR3,-23.079,-6.026,-24.15,0.016,-2.412,0.017
Gaia,DR3,389721660245732480,11.759108,46.1291709,17.472,2.893,4.126,3.9856,15.461,-17.54,,,4.503,,,,1.042,,,-21.227,-2.979,-21.759,0.108,-6.859,0.083
Gaia,DR3,367985307498546432,11.6579397,38.7775704,18.774,3.047,4.25,4.0106,15.6174,-16.96,,,4.479,,,,0.941,,,-21.13,-5.082,-24.143,0.214,-7.733,0.153
Gaia,DR3,380270597592056448,6.3285345,40.8617076,12.739,1.054,1.891,2.9048,15.7949,-15.54,-27.79,1.35,4.288,,,,0.993,,Gaia_DR3,-20.969,-5.559,-20.401,0.015,-7.17,0.013
Gaia,DR3,382476497090455808,7.3540088,43.3667365,19.75,2.31,2.666,1.8594,16.018,-16.1,,,4.226,,,,1.56,,,-20.541,-4.615,-18.169,0.417,-4.73,0.402
Gaia,DR3,383702276461701760,3.9218949,41.9158931,12.195,0.985,1.58,4.2219,16.4826,-14.92,-14.51,0.66,4.547,,,,1.067,,Gaia_DR3,-22.526,-6.247,-21.625,0.01,-7.464,0.009
Gaia,DR3,385858865441003648,4.8493063,45.079019,18.303,2.942,2.046,4.2974,17.2775,-15.53,,,4.603,,,,0.982,,,-22.696,-5.254,-21.513,0.121,-6.849,0.1
Gaia,DR3,376146539930939904,15.7729687,42.7102374,17.356,2.799,1.155,4.5704,18.4313,-18.45,,,4.615,,,,1.013,,,-21.029,-3.049,-21.705,0.096,-2.152,0.059
Gaia,DR3,381560294668411392,9.4360406,42.1859055,15.265,1.958,4.851,0.2951,18.6598,-16.6,-17.26,4.89,4.149,,,,1.023,,Gaia_DR3,-19.891,-4.33,-21.335,0.025,-0.341,0.024
Gaia,DR3,374028158981229696,14.3018476,40.1181738,14.074,1.584,2.594,4.2561,18.9033,-17.86,-16.83,2.31,4.329,,,,1.075,,Gaia_DR3,-19.983,-3.947,-18.596,0.016,-2.029,0.014
Gaia,DR3,376312630610858112,16.5796781,43.8751652,11.22,0.859,2.013,5.2998,20.5507,-18.73,-47.2,0.32,4.505,,,,1.078,,Gaia_DR3,-20.373,-2.42,-19.474,0.019,-4.107,0.014
Gaia,DR3,388410183390325632,9.8709137,46.0362404,15.683,2.374,2.429,3.5795,20.8082,-17.02,,,4.211,,,,1.031,,,-20.127,-3.285,-18.885,0.033,-5.047,0.033
Gaia,DR3,376120112996786432,16.5537777,42.8942583,18.628,2.973,4.423,5.1486,21.0972,-18.68,,,4.658,,,,0.966,,,-21.066,-2.823,-18.451,0.167,-6.29,0.132
Gaia,DR3,374448378580622080,15.3091358,41.115603,16.066,,3.716,4.483,23.6109,-18.22,,,4.86,,,,1.054,,,-22.236,-3.854,-21.359,0.113,-7.558,0.04
Gaia,DR3,381116710445442944,8.4570302,41.7404919,14.594,1.739,4.856,1.099,23.6787,-16.27,-12.18,4.04,4.07,,,,1.041,,Gaia_DR3,-19.645,-4.582,-23.404,0.019,-6.379,0.02
