Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2556472119215785728,12.8096114,6.8464315,12.702,0.889,0.0,0.0,0.0,-0.1,-0.1,1.92,2.57,,,,1.048,,Gaia_DR3,-11.469,-8.26,-11.469,0.02,-8.26,0.016
Gaia,DR3,2553474953597531904,13.7843192,6.4837579,18.703,2.517,3.191,1.0338,7.3412,-0.36,,,2.557,,,,0.996,,,-11.422,-8.194,-13.141,0.296,-8.15,0.197
Gaia,DR3,2553271784464624384,13.6103753,5.6815176,15.32,1.658,3.847,1.4109,10.309,-0.09,,,2.596,,,,0.955,,,-11.598,-8.328,-9.64,0.047,-9.103,0.033
Gaia,DR3,2577701592803978496,14.8404438,7.8437582,17.277,1.924,3.736,2.2475,15.9702,-1.11,,,2.604,,,,3.076,,,-11.645,-8.309,-11.185,0.371,-10.308,0.259
Gaia,DR3,2555914735539998720,11.4868526,5.7736605,13.438,0.948,1.772,1.6969,16.0806,0.67,0.36,1.97,2.499,,,,1.024,,Gaia_DR3,-11.128,-8.057,-11.236,0.023,-7.13,0.02
Gaia,DR3,2580925494040569984,13.2609195,8.327617,18.445,2.622,4.28,1.5473,17.6412,-0.66,,,2.668,,,,1.032,,,-11.914,-8.558,-12.056,0.212,-6.154,0.163
Gaia,DR3,2578122946275492992,15.5442652,8.3837635,18.048,2.376,4.688,3.1161,21.2084,-1.51,,,2.564,,,,1.928,,,-11.47,-8.154,-8.953,0.703,-8.44,0.294
Gaia,DR3,2552455912477140096,12.9054628,4.0224005,9.301,1.149,1.237,2.8256,21.319,0.61,-18.02,0.15,2.637,,,,1.072,,Gaia_DR3,-11.766,-8.464,-11.079,0.023,-8.44,0.017
Gaia,DR3,2581811356814969088,12.8106806,9.3995764,19.328,2.704,2.374,2.5531,21.8264,-0.78,,,2.488,,,,0.967,,,-11.101,-7.985,-12.279,0.429,-8.388,0.316
Gaia,DR3,2557346574557308544,9.741408,7.3293018,15.326,1.68,4.086,3.0828,21.8705,0.89,,,2.617,,,,1.055,,,-11.609,-8.489,-10.107,0.039,-10.169,0.029
Gaia,DR3,2555433699203719936,9.4543092,6.0692218,18.295,2.694,1.446,3.4234,23.3422,1.33,,,2.59,,,,0.966,,,-11.482,-8.395,-10.742,0.197,-8.119,0.174
Gaia,DR3,2553152075136298368,14.7638301,5.866291,13.64,1.021,3.258,2.1755,23.9817,-0.56,5.0,2.71,2.704,,,,1.045,,Gaia_DR3,-12.09,-8.646,-13.935,0.03,-8.439,0.017
Gaia,DR3,2552978829039722240,14.1312699,4.8622368,18.288,2.533,2.192,2.3802,24.0542,-0.06,,,2.46,,,,1.064,,,-10.993,-7.88,-11.669,0.235,-6.967,0.145
Gaia,DR3,2554262749383435136,10.3575737,4.3835847,17.71,2.701,4.058,3.4669,24.7175,1.45,,,2.626,,,,1.733,,,-11.667,-8.473,-12.613,0.229,-6.435,0.197
Gaia,DR3,2552712339204532096,12.1022669,4.5230592,11.888,0.715,2.443,2.4276,24.9371,0.77,-0.81,0.58,2.703,,,,1.431,,Gaia_DR3,-12.047,-8.693,-13.424,0.027,-8.488,0.023
Gaia,DR3,2582336996387605248,13.768707,10.2374567,15.131,1.614,2.472,3.5211,25.541,-1.35,-26.69,4.52,2.517,,,,0.964,,Gaia_DR3,-11.243,-8.037,-10.492,0.041,-9.112,0.029
Gaia,DR3,2581754044771199104,13.1146493,9.1719125,18.093,2.765,4.558,2.345,25.6607,-0.83,,,2.446,,,,1.007,,,-10.918,-7.842,-10.875,0.184,-10.192,0.125
Gaia,DR3,2551532013472062464,14.3577009,3.743143,12.916,0.864,0.475,3.465,25.7945,0.15,-25.56,1.74,2.647,,,,0.887,,Gaia_DR3,-11.834,-8.477,-11.587,0.023,-8.38,0.016
Gaia,DR3,2556179679187117056,10.1944297,6.2518125,19.946,2.572,1.551,2.6653,25.9335,1.01,,,2.702,,,,1.05,,,-12.001,-8.744,-11.779,0.67,-7.889,0.456
Gaia,DR3,2774382194125242112,11.6999064,10.5521163,18.932,2.824,4.817,3.8646,27.7707,-0.69,,,2.638,,,,1.017,,,-11.752,-8.499,-10.281,0.33,-6.259,0.24
