Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2424406513428936832,3.9032755,-11.9382687,12.884,0.937,0.0,0.0,0.0,-3.1,-3.1,1.32,2.764,,,,0.956,,Gaia_DR3,15.272,-30.159,15.272,0.022,-30.159,0.014
Gaia,DR3,2424743238864381056,5.8645645,-11.1221866,14.425,1.407,4.305,2.0878,15.5642,-2.94,12.32,4.84,2.831,,,,0.917,,Gaia_DR3,15.912,-30.753,13.954,0.025,-32.417,0.02
Gaia,DR3,2428502430464880384,3.860291,-9.11045,19.809,2.626,1.892,2.8281,17.8603,-5.66,,,2.773,,,,1.045,,,15.312,-30.126,14.584,0.461,-30.959,0.313
Gaia,DR3,2421265238772678528,1.5878377,-12.8064731,17.409,2.433,2.603,2.4226,18.7319,-3.33,,,2.852,,,,1.059,,,15.411,-31.282,16.619,0.092,-30.287,0.077
Gaia,DR3,2428203470676547840,5.1125218,-9.5591452,17.327,2.547,1.638,2.6592,19.3395,-4.69,,,2.843,,,,1.018,,,15.876,-30.857,15.426,0.113,-29.985,0.093
Gaia,DR3,2429149944030206336,2.6851463,-9.3223357,18.943,2.901,2.796,2.8768,22.084,-6.0,,,2.868,,,,0.985,,,15.663,-31.222,16.781,0.365,-32.49,0.178
Gaia,DR3,2421641344764315008,0.6130411,-11.8100125,12.546,0.818,3.794,3.2224,22.3479,-4.66,32.96,1.52,2.842,,,,0.995,,Gaia_DR3,15.201,-31.18,15.012,0.017,-33.445,0.012
Gaia,DR3,2429107883414402944,1.5214411,-8.6991115,19.161,2.331,4.813,3.9977,26.0726,-7.08,,,2.721,,,,1.012,,,14.693,-29.634,14.986,0.362,-26.889,0.254
Gaia,DR3,2422601218414191872,0.5729204,-10.7079779,12.39,,4.565,3.4895,26.3305,-5.68,-9.34,2.09,2.663,,,,1.634,,Gaia_DR3,14.239,-29.166,16.786,0.035,-28.879,0.02
Gaia,DR3,2429600670781845504,3.2862295,-7.7646182,18.876,3.001,0.938,4.2177,27.0683,-7.13,,,2.734,,,,1.03,,,15.018,-29.641,14.527,0.269,-29.868,0.152
Gaia,DR3,2426806468138366336,7.4055836,-8.7365817,18.286,2.543,0.877,4.703,29.9312,-4.37,,,2.743,,,,1.067,,,15.611,-29.637,15.715,0.227,-30.134,0.142
