Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5590921485126584832,110.17040962744052,-33.92232775246021,12.770775,0.85720253,9.587922223215722e-15,0.0,0.0,19.09913445,,,2.636547842472002,nan,,,0.91693515,,                             None,-8.02122252760785,5.0780272033854,-8.02122252760785,0.010371493,5.078027203385394,0.012835094
Gaia,DR3,5591113869603402368,110.03065992458849,-33.79895569657812,17.60735,2.6925087,1.505853559251221,0.16937434505460333,1.4040899790260228,19.147929589064823,,,2.6306971316003676,nan,,,0.9610225,,                             None,-7.975050520373925,5.054764696166513,-7.3339875851616325,0.07223846,5.589975802474811,0.08738823
Gaia,DR3,5590866784426915072,110.75855693656575,-33.89835063259366,19.538107,3.0362358,0.6034088015514517,0.4886981656493321,3.2873329295133926,18.979159424089623,,,2.6325892666300383,nan,,,1.0374329,,                             None,-8.128147818771332,5.019769797456819,-8.380716638987492,0.2651873,4.799878970559114,0.28162444
Gaia,DR3,5591130151821320064,110.15770283337581,-33.433944150644976,18.039417,3.1211567,1.2411724663154435,0.4884980591449399,4.574596323974678,19.178933438551436,,,2.6593318780402986,nan,,,1.0383728,,                             None,-8.087933004192134,5.031385202052785,-7.785171129132484,0.09661394,4.404888072733287,0.10423688
Gaia,DR3,5590905890106791552,110.42661841884198,-34.054395857994045,16.973213,2.921813,2.2067428660017234,0.25014173565503023,4.916831052610555,19.02443404279526,,,2.6691534926805995,nan,,,1.2147049,,                             None,-8.173070179890964,5.145200507618093,-7.026876642026425,0.060212277,5.622755329556272,0.06890965
Gaia,DR3,5590914303941225728,110.69425317467845,-33.84933246858461,16.977526,2.609273,0.24682103234627367,0.4409520784767965,5.2746912898455705,19.00051700086422,,,2.667525925264623,nan,,,0.99305797,,                             None,-8.222877382853497,5.082392139874774,-8.323656169629203,0.052104916,4.986954073285831,0.057294995
Gaia,DR3,5591052945486304384,109.12288328761485,-33.98531448603623,18.455008,3.1687336,1.5328688159960966,0.8711865996173137,5.770973029597138,19.304805466553486,,,2.6383760981885382,nan,,,1.1022149,,                             None,-7.812342084884968,5.174169049654911,-8.627051988107944,0.13629183,4.922905703045034,0.15783387
Gaia,DR3,5592403386284718848,111.11565693886651,-33.51658987225445,18.130468,3.151329,2.419583912060995,0.8847380492696193,6.0025233207910045,18.96257467013634,,,2.6277444887586174,nan,,,0.9871719,,                             None,-8.184873311886985,4.912277984346767,-9.428296050300638,0.09737891,4.411865687740418,0.12208557
Gaia,DR3,5591094383332435840,109.93495469889548,-33.76426027322778,12.388429,0.77569485,2.648173071263994,0.25145398893769694,6.292838540628712,19.17337333842481,,,2.5950509648002535,nan,,,1.0467348,,                             None,-7.847793916173769,4.9872183409823005,-6.50914540535341,0.01013949,5.54111471442747,0.0129022645
Gaia,DR3,5591043702716147200,109.05558231441007,-34.14899264371519,18.935434,2.67914,2.6428854004143054,0.951239456718846,7.709370273273576,19.291801785773767,,,2.6063403643439584,nan,,,1.0588576,,                             None,-7.7037838697222485,5.1467274198848045,-7.62848055201429,0.1811527,6.596887769572206,0.217476
