GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 5590921485126584832 110.1704096 -33.9223278 12.771  0.857       0.000   0.0000   0.0000    19.10      nan      nan    2.637  nan      nan    nan   0.917     nan                                None      -8.021       5.078      -8.021       0.010       5.078       0.013
Gaia DR3 5591113869603402368 110.0306599 -33.7989557 17.607  2.693       1.506   0.1694   1.4041    19.15      nan      nan    2.631  nan      nan    nan   0.961     nan                                None      -7.975       5.055      -7.334       0.072       5.590       0.087
Gaia DR3 5590866784426915072 110.7585569 -33.8983506 19.538  3.036       0.603   0.4887   3.2873    18.98      nan      nan    2.633  nan      nan    nan   1.037     nan                                None      -8.128       5.020      -8.381       0.265       4.800       0.282
Gaia DR3 5591130151821320064 110.1577028 -33.4339442 18.039  3.121       1.241   0.4885   4.5746    19.18      nan      nan    2.659  nan      nan    nan   1.038     nan                                None      -8.088       5.031      -7.785       0.097       4.405       0.104
Gaia DR3 5590905890106791552 110.4266184 -34.0543959 16.973  2.922       2.207   0.2501   4.9168    19.02      nan      nan    2.669  nan      nan    nan   1.215     nan                                None      -8.173       5.145      -7.027       0.060       5.623       0.069
Gaia DR3 5590914303941225728 110.6942532 -33.8493325 16.978  2.609       0.247   0.4410   5.2747    19.00      nan      nan    2.668  nan      nan    nan   0.993     nan                                None      -8.223       5.082      -8.324       0.052       4.987       0.057
Gaia DR3 5591052945486304384 109.1228833 -33.9853145 18.455  3.169       1.533   0.8712   5.7710    19.30      nan      nan    2.638  nan      nan    nan   1.102     nan                                None      -7.812       5.174      -8.627       0.136       4.923       0.158
Gaia DR3 5592403386284718848 111.1156569 -33.5165899 18.130  3.151       2.420   0.8847   6.0025    18.96      nan      nan    2.628  nan      nan    nan   0.987     nan                                None      -8.185       4.912      -9.428       0.097       4.412       0.122
Gaia DR3 5591094383332435840 109.9349547 -33.7642603 12.388  0.776       2.648   0.2515   6.2928    19.17      nan      nan    2.595  nan      nan    nan   1.047     nan                                None      -7.848       4.987      -6.509       0.010       5.541       0.013
Gaia DR3 5591043702716147200 109.0555823 -34.1489926 18.935  2.679       2.643   0.9512   7.7094    19.29      nan      nan    2.606  nan      nan    nan   1.059     nan                                None      -7.704       5.147      -7.628       0.181       6.597       0.217
Gaia DR3 5590709451182280064 109.9251859 -35.0630788 19.388  3.103       1.159   1.1585   7.7733    18.96      nan      nan    2.628  nan      nan    nan   0.994     nan                                None      -7.946       5.291      -7.377       0.231       5.589       0.227
Gaia DR3 5592407475090407040 111.4958145 -33.3896071 10.022  0.227       0.194   1.2251   8.2909    18.90      nan      nan    2.649  nan      nan    nan   3.402     nan                                None      -8.328       4.899      -8.239       0.049       4.960       0.054
Gaia DR3 5591049651250573824 108.9917405 -34.0269267 14.073  1.616       2.467   0.9830   8.6425    19.32      nan      nan    2.677  nan      nan    nan   2.372     nan                                None      -7.900       5.268      -6.885       0.031       6.222       0.040
Gaia DR3 5591637370276050432 111.7394220 -33.7077003 11.271  0.589       0.905   1.3211   8.8078    18.80      nan      nan    2.630  nan      nan    nan   0.907     nan                                None      -8.316       4.902      -8.818       0.013       4.892       0.015
Gaia DR3 5603232854261298304 109.5604190 -32.7166358 18.705  3.330       0.161   1.3090   8.8749    19.42      nan      nan    2.651  nan      nan    nan   1.011     nan                                None      -7.939       4.925      -7.891       0.137       4.849       0.177
Gaia DR3 5592714277498549376 109.8646119 -32.9700360 18.695  3.449       1.078   0.9859   8.9330    19.31      nan      nan    2.680  nan      nan    nan   1.042     nan                                None      -8.090       5.005      -8.498       0.152       5.458       0.194
Gaia DR3 5592483238314279936 111.0092851 -32.9206135 17.939  3.130       0.470   1.2221   9.3767    19.08      nan      nan    2.605  nan      nan    nan   1.175     nan                                None      -8.092       4.769      -7.894       0.108       4.934       0.129
Gaia DR3 5592750733181682688 110.2081843 -32.5351855 17.069  2.675       0.229   1.3875   9.3979    19.31      nan      nan    2.651  nan      nan    nan   0.970     nan                                None      -8.074       4.843      -7.997       0.058       4.946       0.063
Gaia DR3 5590965710406881280 109.0006294 -34.4555974 19.651  2.850       1.541   1.1048   9.5191    19.25      nan      nan    2.680  nan      nan    nan   1.022     nan                                None      -7.910       5.355      -8.733       0.312       5.071       0.406
